Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
s3nkyh_Library,ID Required,src/main/generator/com/example/jooq/tables/Authors.java,45,45,"public final TableField<AuthorsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'author_id'. Consider renaming the column to 'author_id' to make it self-documenting and avoid ambiguity in queries with joins.
s3nkyh_Library,ID Required,src/main/generator/com/example/jooq/tables/Books.java,50,50,"public final TableField<BooksRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'book_id'. Consider renaming the primary key to 'book_id' to make it self-documenting and to avoid ambiguity when joining tables.
s3nkyh_Library,Beware of the Unknown,src/main/generator/com/example/jooq/tables/Books.java,75,75,"public final TableField<BooksRecord, Integer> AVAILABLE_COPIES = createField(DSL.name(""available_copies""), SQLDataType.INTEGER.defaultValue(DSL.field(DSL.raw(""1""), SQLDataType.INTEGER)), this, """");","The column 'available_copies' has a default value but is still marked as NULLABLE, which can lead to inconsistent data where NULL and the default value might be confused. Consider adding .nullable(false) to enforce that this column always has a meaningful value."
s3nkyh_Library,Beware of the Unknown,src/main/generator/com/example/jooq/tables/Books.java,80,80,"public final TableField<BooksRecord, Integer> TOTAL_COPIES = createField(DSL.name(""total_copies""), SQLDataType.INTEGER.defaultValue(DSL.field(DSL.raw(""1""), SQLDataType.INTEGER)), this, """");","The column 'total_copies' has a default value but is still marked as NULLABLE, which can lead to inconsistent data where NULL and the default value might be confused. Consider adding .nullable(false) to enforce that this column always has a meaningful value."
s3nkyh_Library,ID Required,src/main/generator/com/example/jooq/tables/Borrowings.java,50,50,"public final TableField<BorrowingsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'borrowing_id'. Consider renaming the column to 'borrowing_id' to make it self-documenting and avoid ambiguity in joins.
s3nkyh_Library,31 Flavors,src/main/generator/com/example/jooq/tables/Borrowings.java,80,80,"public final TableField<BorrowingsRecord, BorrowingStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR.nullable(false).defaultValue(DSL.field(DSL.raw(""'BORROWED'::borrowing_status""), SQLDataType.VARCHAR)).asEnumDataType(BorrowingStatus.class), this, """");","The 'status' column uses an ENUM type (BorrowingStatus) to restrict allowed values, which makes adding or removing status values difficult without schema changes. Consider creating a separate 'borrowing_statuses' lookup table and referencing it with a foreign key."
s3nkyh_Library,ID Required,src/main/generator/com/example/jooq/tables/Genres.java,47,47,"public final TableField<GenresRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated 'id' primary key, but there's already a unique constraint on 'name' (GENRES_NAME_KEY) which could serve as a natural primary key since genre names are inherently unique and immutable. Consider using 'name' as the primary key instead of adding a surrogate 'id' column."
s3nkyh_Library,ID Required,src/main/generator/com/example/jooq/tables/Readers.java,49,49,"public final TableField<ReadersRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'id' column as primary key while having a unique constraint on 'email' which could serve as a natural key. Consider using 'reader_id' for clarity or using the email as the primary key if it's stable and immutable.
s3nkyh_Library,Beware of the Unknown,src/main/generator/com/example/jooq/tables/Readers.java,69,69,"public final TableField<ReadersRecord, LocalDate> MEMBERSHIP_DATE = createField(DSL.name(""membership_date""), SQLDataType.LOCALDATE.defaultValue(DSL.field(DSL.raw(""CURRENT_DATE""), SQLDataType.LOCALDATE)), this, """");","The 'membership_date' column has a default value but is marked as NULLABLE, which is inconsistent since a default value implies the column should always have a value. Consider adding .nullable(false) to the column definition."
s3nkyh_Library,Beware of the Unknown,src/main/generator/com/example/jooq/tables/Readers.java,74,74,"public final TableField<ReadersRecord, Boolean> IS_ACTIVE = createField(DSL.name(""is_active""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""true""), SQLDataType.BOOLEAN)), this, """");","The 'is_active' column has a default value of 'true' but is marked as NULLABLE, which is inconsistent since a default value implies the column should always have a value. Consider adding .nullable(false) to the column definition."
s3nkyh_Library,Implicit Columns,src/main/java/org/library/repo/jooq/BorrowingJooqRepo.java,26,26,"return dsl.select(b.asterisk(), a.asterisk(), g.asterisk())","Using asterisk() selects all columns from the Books, Authors, and Genres tables, which fetches unnecessary data and couples the code to the table schema. Replace with explicit column selection like `dsl.select(b.ID, b.TITLE, b.PUBLISHED_YEAR, ..., a.ID, a.NAME, ..., g.ID, g.NAME)`."
s3nkyh_Library,Implicit Columns,src/main/java/org/library/repo/jooq/BorrowingJooqRepo.java,45,45,"return dsl.select(b.asterisk(), a.asterisk(), g.asterisk())","Using asterisk() selects all columns from the Books, Authors, and Genres tables, which fetches unnecessary data and makes the query fragile to schema changes. Replace with explicit column selection specifying only the columns needed for mapping."
