Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Briefing.java,53,53,"public final TableField<BriefingRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'briefing_id' to make it more meaningful and self-documenting when used in joins or foreign key references."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrier.java,57,57,"public final TableField<CarrierRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'carrier_id' to make it more descriptive and avoid ambiguity in queries with joins."
averbraeck_trustgame,31 Flavors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrier.java,82,82,"public final TableField<CarrierRecord, CarrierService> SERVICE = createField(DSL.name(""Service""), SQLDataType.VARCHAR(6).nullable(false).asEnumDataType(org.transsonic.trustgame.data.trustgame.enums.CarrierService.class), this, """");","The 'Service' column uses an ENUM type to restrict allowed values, which makes it difficult to add or modify values without altering the table schema. Consider creating a separate lookup table for service types that can be referenced via a foreign key."
averbraeck_trustgame,31 Flavors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrier.java,87,87,"public final TableField<CarrierRecord, CarrierSustainability> SUSTAINABILITY = createField(DSL.name(""Sustainability""), SQLDataType.VARCHAR(6).nullable(false).asEnumDataType(org.transsonic.trustgame.data.trustgame.enums.CarrierSustainability.class), this, """");","The 'Sustainability' column uses an ENUM type to restrict allowed values, which makes schema changes necessary when values need to be added or modified. Consider creating a separate lookup table for sustainability levels that can be referenced via a foreign key."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrierreview.java,55,55,"public final TableField<CarrierreviewRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'carrierreview_id' or similar to make it more meaningful and self-documenting in queries and joins."
averbraeck_trustgame,Rounding Errors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrierreview.java,70,70,"public final TableField<CarrierreviewRecord, Double> OVERALLSTARS = createField(DSL.name(""OverallStars""), SQLDataType.FLOAT.nullable(false), this, ""Whole of half numbers from 1.0 to 5.0"");","The OVERALLSTARS column uses FLOAT type for storing star ratings (1.0 to 5.0 in half increments), which can cause precision issues due to floating-point representation. Use DECIMAL(2,1) or NUMERIC(2,1) instead to ensure exact representation of these fixed-precision values."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Client.java,55,55,"public final TableField<ClientRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'client_id'. Consider renaming the primary key to 'client_id' to make it self-documenting and easier to identify in queries involving multiple tables.
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Fbreport.java,56,56,"public final TableField<FbreportRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'ID' instead of a more descriptive name like 'fbreport_id'. Consider renaming the column to something more meaningful that identifies the entity, such as 'fbreport_id'."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Game.java,53,53,"public final TableField<GameRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on the 'Code' column (KEY_GAME_CODE_UNIQUE) which could serve as a natural primary key since game codes are typically immutable identifiers. Consider using 'Code' as the primary key or renaming 'ID' to something more descriptive like 'game_id'."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Gameplay.java,56,56,"public final TableField<GameplayRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'gameplay_id'. Consider renaming the column to 'gameplay_id' to make it self-documenting and avoid ambiguity in queries with joins.
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Gameuser.java,57,57,"public final TableField<GameuserRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, ""Users could self-regster or be created upfront. Users are unique per GamePlay."");",The primary key column is generically named 'ID' instead of a more descriptive name like 'gameuser_id'. Consider renaming it to 'gameuser_id' or another meaningful name that reflects the entity it identifies.
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Mission.java,55,55,"public final TableField<MissionRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name. Additionally, there is a unique constraint on GAME_ID (KEY_MISSION_GAME_ID_UNIQUE) which could serve as a natural primary key since each mission belongs to exactly one game. Consider renaming the primary key to 'mission_id' or using GAME_ID as the primary key if the one-to-one relationship with Game is intentional."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Order.java,56,56,"public final TableField<OrderRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'ID' instead of a more descriptive name like 'order_id'. Consider renaming the column to something more meaningful that identifies the entity, such as 'order_id', to improve clarity when joining tables and reading queries."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Ordercarrier.java,55,55,"public final TableField<OrdercarrierRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'ordercarrier_id' or using a natural key like a composite of (Order_ID, Carrier_ID) since this appears to be a junction table."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Review.java,55,55,"public final TableField<ReviewRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'review_id' to make it more meaningful and self-documenting when used in queries and joins."
averbraeck_trustgame,Rounding Errors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Review.java,70,70,"public final TableField<ReviewRecord, Double> STARS = createField(DSL.name(""Stars""), SQLDataType.FLOAT.nullable(false), this, """");","The 'Stars' column uses FLOAT type which can cause precision loss for rating values that need exact representation. Consider using DECIMAL or NUMERIC type (e.g., DECIMAL(2,1)) to store star ratings accurately without floating-point rounding errors."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Round.java,55,55,"public final TableField<RoundRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'round_id'. Consider renaming the column to 'round_id' to make it self-documenting and avoid ambiguity when joining tables.
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Selectedcarrier.java,56,56,"public final TableField<SelectedcarrierRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name. Consider renaming it to something more meaningful like 'selectedcarrier_id' to better identify which table it belongs to when used in queries and joins."
averbraeck_trustgame,Rounding Errors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Selectedcarrier.java,76,76,"public final TableField<SelectedcarrierRecord, Double> USERSCORE = createField(DSL.name(""UserScore""), SQLDataType.FLOAT.defaultValue(DSL.field(""NULL"", SQLDataType.FLOAT)), this, """");",The USERSCORE column uses FLOAT type which can cause precision loss for score values that may need exact representation. Consider using DECIMAL or NUMERIC type instead to ensure accurate storage and calculations of user scores.
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/User.java,56,56,"public final TableField<UserRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name. Additionally, the table has unique constraints on USERNAME and USERCODE which could serve as natural primary keys. Consider renaming the primary key to 'user_id' or using USERNAME/USERCODE as the primary key instead."
averbraeck_trustgame,Fear of the Unknown,src/main/java/org/transsonic/trustgame/data/trustgame/tables/User.java,71,71,"public final TableField<UserRecord, String> EMAIL = createField(DSL.name(""Email""), SQLDataType.VARCHAR(90).defaultValue(DSL.field(""''"", SQLDataType.VARCHAR)), this, """");",The EMAIL column uses an empty string as a default value instead of NULL to represent missing data. This makes it harder to distinguish between 'no email provided' and 'intentionally empty email'. Consider using NULL as the default value and making the column nullable.
averbraeck_trustgame,Fear of the Unknown,src/main/java/org/transsonic/trustgame/data/trustgame/tables/User.java,81,81,"public final TableField<UserRecord, String> PASSWORD = createField(DSL.name(""Password""), SQLDataType.VARCHAR(90).defaultValue(DSL.field(""''"", SQLDataType.VARCHAR)), this, """");",The PASSWORD column uses an empty string as a default value instead of NULL to represent missing data. This conflates 'no password set' with 'empty password'. Consider using NULL as the default value and making the column nullable to properly represent missing passwords.
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Usercarrier.java,55,55,"public final TableField<UsercarrierRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key when a natural composite key of (GameUser_ID, Carrier_ID, RoundNumber) could serve as a more meaningful primary key. Consider renaming the column to 'usercarrier_id' or using the natural composite key instead."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Userclick.java,56,56,"public final TableField<UserclickRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'ID' instead of a more descriptive name like 'userclick_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'userclick_id'."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Usergroup.java,53,53,"public final TableField<UsergroupRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'usergroup_id' or 'group_id' to make it more meaningful and to avoid ambiguity in queries with joins."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Userorder.java,55,55,"public final TableField<UserorderRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name. Additionally, there is a unique constraint (KEY_USERORDER_ID_UNIQUE) on the same column, and the table appears to be a junction table between Userround and Order, where the combination of USERROUND_ID and ORDER_ID could serve as a natural composite primary key. Consider renaming to 'userorder_id' or using the natural key (USERROUND_ID, ORDER_ID) as the primary key."
averbraeck_trustgame,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Userround.java,55,55,"public final TableField<UserroundRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, ""The table indicates that a user reached a certain round"");","The primary key is named just 'ID' which is a generic name that doesn't convey meaning about the table's domain. Consider renaming it to 'userround_id' or using a natural key based on the combination of GAMEPLAY_ID, ROUND_ID, and GAMEUSER_ID which appears to uniquely identify a user's round participation."
averbraeck_trustgame,Implicit Columns,src/main/java/org/transsonic/trustgame/SqlUtils.java,46,47,"return dslContext.selectFrom(Tables.MISSION)
        .where(Tables.MISSION.GAME_ID.eq(gameId)).fetchAny();","Using selectFrom(Tables.MISSION) fetches all columns from the MISSION table into a record, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this operation."
averbraeck_trustgame,Implicit Columns,src/main/java/org/transsonic/trustgame/SqlUtils.java,52,52,return dslContext.selectFrom(Tables.GAME).where(Tables.GAME.ID.eq(gameId)).fetchAny();,Using selectFrom(Tables.GAME) fetches all columns from the GAME table. Consider selecting only the specific columns required to reduce data transfer and improve performance.
averbraeck_trustgame,Implicit Columns,src/main/java/org/transsonic/trustgame/SqlUtils.java,57,57,return dslContext.selectFrom(Tables.GAMEPLAY).where(Tables.GAMEPLAY.ID.eq(gamePlayId)).fetchAny();,Using selectFrom(Tables.GAMEPLAY) fetches all columns from the GAMEPLAY table. Consider selecting only the specific columns needed for this operation.
averbraeck_trustgame,Implicit Columns,src/main/java/org/transsonic/trustgame/SqlUtils.java,62,63,"GameplayRecord gamePlay = dslContext.selectFrom(Tables.GAMEPLAY).where(Tables.GAMEPLAY.ID.eq(gamePlayId))
        .fetchAny();",Using selectFrom(Tables.GAMEPLAY) fetches all columns from the GAMEPLAY table when only the gameId field is needed. Consider using select(Tables.GAMEPLAY.GAME_ID) instead.
averbraeck_trustgame,Implicit Columns,src/main/java/org/transsonic/trustgame/SqlUtils.java,64,64,return dslContext.selectFrom(Tables.GAME).where(Tables.GAME.ID.eq(gamePlay.getGameId())).fetchAny();,Using selectFrom(Tables.GAME) fetches all columns from the GAME table. Consider selecting only the specific columns required.
averbraeck_trustgame,Implicit Columns,src/main/java/org/transsonic/trustgame/SqlUtils.java,69,69,return dslContext.selectFrom(Tables.GAME).where(Tables.GAME.ID.eq(gamePlay.getGameId())).fetchAny();,Using selectFrom(Tables.GAME) fetches all columns from the GAME table. Consider selecting only the specific columns needed for this operation.
averbraeck_trustgame,Implicit Columns,src/main/java/org/transsonic/trustgame/SqlUtils.java,74,74,return dslContext.selectFrom(Tables.GAMEUSER).where(Tables.GAMEUSER.ID.eq(gameUserId)).fetchAny();,Using selectFrom(Tables.GAMEUSER) fetches all columns from the GAMEUSER table. Consider selecting only the specific columns required.
averbraeck_trustgame,Implicit Columns,src/main/java/org/transsonic/trustgame/SqlUtils.java,83,84,"GameuserRecord gameUser = dslContext.selectFrom(Tables.GAMEUSER).where(Tables.GAMEUSER.ID.eq(gameUserId))
        .fetchAny();",Using selectFrom(Tables.GAMEUSER) fetches all columns when only the gameplayId field is needed. Consider using select(Tables.GAMEUSER.GAMEPLAY_ID) instead.
