Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
unlessiamwrong_Tinkoff-Java-course-2,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Links.java,56,57,"public final TableField<LinksRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key named 'ID' even though there's already a unique constraint on the 'NAME' column (CONSTRAINT_45) which could serve as a natural primary key. Consider using 'NAME' as the primary key since it's already unique and meaningful, or rename the ID column to something more descriptive like 'link_id'."
unlessiamwrong_Tinkoff-Java-course-2,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Users.java,53,54,"public final TableField<UsersRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key while having a 'CHAT_ID' column that appears to be a natural unique identifier for users. Consider using 'CHAT_ID' as the primary key since it's a natural identifier, or rename 'ID' to something more descriptive like 'USER_ID'."
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqLinkRepository.java,40,40,create.selectFrom(LINKS),"Using `selectFrom(LINKS)` fetches all columns from the LINKS table, but only the ID is needed. Replace with `select(LINKS.ID).from(LINKS)` to explicitly select only the required column."
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqUserRepository.java,24,24,create.selectFrom(USER_LINKS).where(USER_LINKS.USER_ID.eq(userId)),Using selectFrom(USER_LINKS) fetches all columns from the USER_LINKS table when only LINK_ID is needed. Replace with select(USER_LINKS.LINK_ID).from(USER_LINKS) to fetch only the required column.
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqUserRepository.java,28,28,create.selectFrom(USER_LINKS).where(USER_LINKS.USER_ID.notEqual(userId)),Using selectFrom(USER_LINKS) fetches all columns from the USER_LINKS table when only LINK_ID is needed. Replace with select(USER_LINKS.LINK_ID).from(USER_LINKS) to fetch only the required column.
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqUserRepository.java,42,42,create.selectFrom(USERS).fetch().map(r -> r.get(USERS.ID)),Using selectFrom(USERS) fetches all columns from the USERS table when only ID is needed. Replace with select(USERS.ID).from(USERS) to fetch only the required column.
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqUserRepository.java,51,51,create.selectFrom(USERS).where(USERS.CHAT_ID.eq(chatId)).fetchOne().into(User.class),Using selectFrom(USERS) fetches all columns from the USERS table. Consider explicitly selecting only the columns needed for the User class to improve query efficiency.
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/jooq/JooqLinkRepositoryTest.java,53,53,var links = context.selectFrom(LINKS);,"Using selectFrom(LINKS) fetches all columns from the LINKS table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the columns needed for the assertion, such as context.select(LINKS.ID).from(LINKS)."
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/jooq/JooqLinkRepositoryTest.java,68,68,var userLinks = context.selectFrom(USER_LINKS);,"Using selectFrom(USER_LINKS) fetches all columns from the USER_LINKS table unnecessarily. Since only the count is checked, consider using context.selectCount().from(USER_LINKS) or selecting specific columns."
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/jooq/JooqLinkRepositoryTest.java,85,85,var links = context.selectFrom(LINKS);,Using selectFrom(LINKS) retrieves all columns from the LINKS table when only the row count is needed. Consider using context.selectCount().from(LINKS) or explicitly selecting required columns.
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/jooq/JooqLinkRepositoryTest.java,102,102,var userLinks = context.selectFrom(USER_LINKS);,Using selectFrom(USER_LINKS) fetches all columns when only verifying the table is empty. Consider using context.selectCount().from(USER_LINKS) or selecting only specific columns needed.
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/jooq/JooqUserRepositoryTest.java,18,18,var users = context.selectFrom(USERS);,"Using selectFrom(USERS) fetches all columns from the USERS table, which retrieves unnecessary data. Consider explicitly selecting only the columns needed for the assertion, such as context.select(USERS.ID).from(USERS)."
unlessiamwrong_Tinkoff-Java-course-2,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/jooq/JooqUserRepositoryTest.java,33,33,var users = context.selectFrom(USERS);,Using selectFrom(USERS) fetches all columns from the USERS table when only the row count is needed. Consider using context.selectCount().from(USERS) or explicitly selecting only required columns.
