Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
xJade00_TavernMaid,ID Required,src/main/java/dev/xjade/tavern/generated/jooq/tables/Debug.java,45,46,"public final TableField<DebugRecord, Long> ID =
    createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'debug_id'. Consider renaming the column to 'debug_id' to make it more meaningful and to avoid ambiguity when joining tables.
xJade00_TavernMaid,Keyless Entry,src/main/java/dev/xjade/tavern/generated/jooq/tables/Debug.java,49,50,"public final TableField<DebugRecord, Long> SERVER =
    createField(DSL.name(""server""), SQLDataType.BIGINT.nullable(false), this, """");","The 'server' column appears to reference another table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Consider adding a foreign key constraint to ensure referential integrity with the appropriate server table."
xJade00_TavernMaid,ID Required,src/main/java/dev/xjade/tavern/generated/jooq/tables/Logging.java,46,47,"public final TableField<LoggingRecord, Long> ID =
    createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'logging_id'. Consider renaming the column to 'logging_id' to make it self-documenting and avoid ambiguity in queries with joins.
xJade00_TavernMaid,Keyless Entry,src/main/java/dev/xjade/tavern/generated/jooq/tables/Logging.java,72,73,"public final TableField<LoggingRecord, Long> SERVER =
    createField(DSL.name(""server""), SQLDataType.BIGINT, this, """");","The 'server' column appears to reference another table (likely a servers table with CONFIG_OVERRIDES_PKEY containing SERVER), but lacks a foreign key constraint. Add a foreign key constraint to ensure referential integrity and prevent orphaned records."
xJade00_TavernMaid,Implicit Columns,src/main/java/dev/xjade/tavern/maid/commands/CommandManager.java,216,216,.selectFrom(CONFIG_OVERRIDES),"Using `selectFrom(CONFIG_OVERRIDES)` fetches all columns from the CONFIG_OVERRIDES table, but only the VALUE column is actually used. Replace with `.select(CONFIG_OVERRIDES.VALUE).from(CONFIG_OVERRIDES)` to fetch only the required column."
xJade00_TavernMaid,Implicit Columns,src/main/java/dev/xjade/tavern/maid/commands/impl/RemoveFromWhitelistCommand.java,50,50,.selectFrom(CONFIG_OVERRIDES),"Using selectFrom() fetches all columns from the CONFIG_OVERRIDES table, but only the VALUE column is actually used. Replace with .select(CONFIG_OVERRIDES.VALUE).from(CONFIG_OVERRIDES) to fetch only the required column."
xJade00_TavernMaid,Implicit Columns,src/main/java/dev/xjade/tavern/maid/commands/impl/UploadFileBlockerCommand.java,101,101,.selectFrom(CONFIG_OVERRIDES),"Using `selectFrom` fetches all columns from the CONFIG_OVERRIDES table, but only the VALUE column is actually used. Replace with `.select(CONFIG_OVERRIDES.VALUE).from(CONFIG_OVERRIDES)` to fetch only the required column."
xJade00_TavernMaid,Implicit Columns,src/main/java/dev/xjade/tavern/maid/commands/impl/WhitelistCommand.java,46,46,.selectFrom(CONFIG_OVERRIDES),"Using selectFrom() fetches all columns from the CONFIG_OVERRIDES table, but only the VALUE column is actually used. Replace with a targeted select like `select(CONFIG_OVERRIDES.VALUE).from(CONFIG_OVERRIDES)` to fetch only the needed column."
xJade00_TavernMaid,Implicit Columns,src/main/java/dev/xjade/tavern/maid/events/MessageEvents.java,28,28,.selectFrom(CONFIG_OVERRIDES),"Using selectFrom() fetches all columns from the CONFIG_OVERRIDES table, but only the VALUE column is actually used. Replace with a targeted select: ctx.select(CONFIG_OVERRIDES.VALUE).from(CONFIG_OVERRIDES)."
xJade00_TavernMaid,Implicit Columns,src/main/java/dev/xjade/tavern/maid/logging/Logger.java,41,41,dsl.selectFrom(CONFIG_OVERRIDES),"Using selectFrom() fetches all columns from the CONFIG_OVERRIDES table, but only the VALUE column is needed. Replace with dsl.select(CONFIG_OVERRIDES.VALUE).from(CONFIG_OVERRIDES) to fetch only the required column."
xJade00_TavernMaid,Implicit Columns,src/main/java/dev/xjade/tavern/maid/logging/Logger.java,54,54,dsl.selectFrom(CONFIG_OVERRIDES),Using selectFrom() fetches all columns from the CONFIG_OVERRIDES table when only the VALUE column is used. Replace with dsl.select(CONFIG_OVERRIDES.VALUE).from(CONFIG_OVERRIDES) to improve query efficiency.
