Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
PKNU-CERT-IS_BE,ID Required,src/main/java/org/certis/generated/jooq/tables/Blog.java,67,67,"public final TableField<BlogRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'blog_id'. Consider renaming the column to 'blog_id' to make it self-documenting and avoid ambiguity in queries with joins.
PKNU-CERT-IS_BE,Fear of the Unknown,src/main/java/org/certis/generated/jooq/tables/Blog.java,122,122,"public final TableField<BlogRecord, Boolean> IS_PUBLIC = createField(DSL.name(""is_public""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""true""), SQLDataType.BOOLEAN)), this, """");","The 'is_public' column has a default value but is marked as NULLABLE, which can lead to ambiguous semantics where NULL, true, and false all have different meanings. Consider adding a NOT NULL constraint since the column has a default value and NULL likely has no distinct meaning from the default."
PKNU-CERT-IS_BE,ID Required,src/main/java/org/certis/generated/jooq/tables/BlogTag.java,63,63,"public final TableField<BlogTagRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'blog_tag_id' to make it more meaningful and to avoid ambiguity in queries with joins."
PKNU-CERT-IS_BE,Fear of the Unknown,src/main/java/org/certis/generated/jooq/tables/BlogTag.java,78,78,"public final TableField<BlogTagRecord, OffsetDateTime> CREATED_AT = createField(DSL.name(""created_at""), SQLDataType.TIMESTAMPWITHTIMEZONE(6).defaultValue(DSL.field(DSL.raw(""now()""), SQLDataType.TIMESTAMPWITHTIMEZONE)), this, """");","The 'created_at' column has a default value but is marked as NULLABLE, which means it can never be NULL in practice since it defaults to the current timestamp. Consider adding .nullable(false) to the column definition to enforce this constraint explicitly."
PKNU-CERT-IS_BE,Fear of the Unknown,src/main/java/org/certis/generated/jooq/tables/BlogTag.java,83,83,"public final TableField<BlogTagRecord, OffsetDateTime> UPDATED_AT = createField(DSL.name(""updated_at""), SQLDataType.TIMESTAMPWITHTIMEZONE(6).defaultValue(DSL.field(DSL.raw(""now()""), SQLDataType.TIMESTAMPWITHTIMEZONE)), this, """");","The 'updated_at' column has a default value but is marked as NULLABLE, which means it can never be NULL in practice since it defaults to the current timestamp. Consider adding .nullable(false) to the column definition to enforce this constraint explicitly."
PKNU-CERT-IS_BE,ID Required,src/main/java/org/certis/generated/jooq/tables/BlogView.java,63,63,"public final TableField<BlogViewRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'blog_view_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'blog_view_id'."
PKNU-CERT-IS_BE,ID Required,src/main/java/org/certis/generated/jooq/tables/Board.java,66,66,"public final TableField<BoardRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning and can cause ambiguity in queries with joins. Consider renaming it to 'board_id' to make it self-documenting and avoid confusion when joining with other tables."
PKNU-CERT-IS_BE,ID Required,src/main/java/org/certis/generated/jooq/tables/BoardAttached.java,64,64,"public final TableField<BoardAttachedRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'board_attached_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'board_attached_id'."
PKNU-CERT-IS_BE,ID Required,src/main/java/org/certis/generated/jooq/tables/BoardLike.java,64,64,"public final TableField<BoardLikeRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but the combination of (board_id, member_id) would be a more meaningful natural key since a like is uniquely identified by which member liked which board. Consider using a composite primary key on (board_id, member_id) instead of a synthetic 'id' column."
PKNU-CERT-IS_BE,ID Required,src/main/java/org/certis/generated/jooq/tables/BoardView.java,63,63,"public final TableField<BoardViewRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'board_view_id' to make it more meaningful and to avoid ambiguity in queries with joins."
