Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
liuyueyi_spring-boot-demo,ID Required,spring-boot/107-jooq-aop/src/main/java/com/git/hui/boot/jooq/h2/tables/Poet.java,62,62,"public final TableField<PoetRecord, Integer> ID = createField(DSL.name(""ID""), org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","The primary key column is named simply 'ID', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'poet_id' to make it more descriptive and to avoid ambiguity in queries with joins."
liuyueyi_spring-boot-demo,Fear of the Unknown,spring-boot/107-jooq-aop/src/main/java/com/git/hui/boot/jooq/h2/tables/Poet.java,67,67,"public final TableField<PoetRecord, String> NAME = createField(DSL.name(""NAME""), org.jooq.impl.SQLDataType.VARCHAR(20).nullable(false).defaultValue(org.jooq.impl.DSL.field(""''"", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The NAME column uses an empty string as a default value to represent missing data instead of using NULL. This makes it difficult to distinguish between intentionally empty names and missing values. Consider allowing NULL values and removing the empty string default, or ensure the empty string has a specific semantic meaning in your domain."
liuyueyi_spring-boot-demo,Implicit Columns,spring-boot/107-jooq-aop/src/main/java/com/git/hui/boot/jooq/service/PoetService.java,28,28,PoetRecord record = dsl.selectFrom(POET).where(POET.ID.eq(id)).fetchOne();,"Using `selectFrom(POET)` fetches all columns from the POET table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns, e.g., `dsl.select(POET.ID, POET.NAME).from(POET)`."
liuyueyi_spring-boot-demo,Implicit Columns,spring-boot/107-jooq-aop/src/main/java/com/git/hui/boot/jooq/service/PoetService.java,35,35,PoetRecord record = dsl.selectFrom(POET).where(POET.ID.eq(id)).fetchOne();,"Using `selectFrom(POET)` fetches all columns from the POET table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns, e.g., `dsl.select(POET.ID, POET.NAME).from(POET)`."
liuyueyi_spring-boot-demo,Implicit Columns,spring-boot/107-jooq-aop/src/main/java/com/git/hui/boot/jooq/service/PoetService.java,50,50,return dsl.selectFrom(POET).fetch();,"Using `selectFrom(POET)` fetches all columns from the POET table for all records, which may retrieve unnecessary data. Consider explicitly selecting only the required columns, e.g., `dsl.select(POET.ID, POET.NAME).from(POET)`."
liuyueyi_spring-boot-demo,ID Required,spring-boot/108-jooq-curd/src/main/java/com/git/hui/boot/jooq/h2/tables/PoetryTB.java,63,63,"public final TableField<PoetryPO, Integer> ID = createField(DSL.name(""ID""), org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'poetry_id' to make it more meaningful and to avoid ambiguity in queries with joins."
liuyueyi_spring-boot-demo,Keyless Entry,spring-boot/108-jooq-curd/src/main/java/com/git/hui/boot/jooq/h2/tables/PoetryTB.java,68,68,"public final TableField<PoetryPO, Integer> POET_ID = createField(DSL.name(""POET_ID""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).defaultValue(org.jooq.impl.DSL.field(""'0'"", org.jooq.impl.SQLDataType.INTEGER)), this, """");","The POET_ID column appears to reference the POET table (which has PK_T_POET primary key) but lacks a foreign key constraint, allowing orphaned records and data integrity issues. Add a foreign key constraint referencing the POET table's primary key."
liuyueyi_spring-boot-demo,Fear of the Unknown,spring-boot/108-jooq-curd/src/main/java/com/git/hui/boot/jooq/h2/tables/PoetryTB.java,73,73,"public final TableField<PoetryPO, String> TITLE = createField(DSL.name(""TITLE""), org.jooq.impl.SQLDataType.VARCHAR(128).nullable(false).defaultValue(org.jooq.impl.DSL.field(""''"", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","Using an empty string as a default value for TITLE masks missing data instead of using NULL, making it difficult to distinguish between intentionally empty titles and missing values. Remove the default value and allow NULL, or require a meaningful value."
liuyueyi_spring-boot-demo,Fear of the Unknown,spring-boot/108-jooq-curd/src/main/java/com/git/hui/boot/jooq/h2/tables/PoetryTB.java,78,78,"public final TableField<PoetryPO, String> CONTENT = createField(DSL.name(""CONTENT""), org.jooq.impl.SQLDataType.VARCHAR(128).nullable(false).defaultValue(org.jooq.impl.DSL.field(""''"", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","Using an empty string as a default value for CONTENT masks missing data instead of using NULL, making it impossible to differentiate between empty content and unknown content. Remove the default value and allow NULL, or require a meaningful value."
liuyueyi_spring-boot-demo,ID Required,spring-boot/108-jooq-curd/src/main/java/com/git/hui/boot/jooq/h2/tables/PoetTB.java,62,62,"public final TableField<PoetPO, Integer> ID = createField(DSL.name(""ID""), org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'poet_id'. Consider renaming the column to 'poet_id' to make it self-documenting and avoid ambiguity in joins.
