Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
emapfff_Link-Tracker,ID Required,scrapper/src/main/java/edu/java/domain/jooq/generation/tables/Chat.java,65,66,"public final TableField<ChatRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'ID' column as the primary key when 'TG_CHAT_ID' appears to be a natural unique identifier for chats. Consider using 'TG_CHAT_ID' as the primary key or renaming 'ID' to something more descriptive like 'CHAT_ID'.
emapfff_Link-Tracker,Beware of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/generation/tables/Chat.java,71,72,"public final TableField<ChatRecord, Long> TG_CHAT_ID =
    createField(DSL.name(""TG_CHAT_ID""), SQLDataType.BIGINT, this, """");",The 'TG_CHAT_ID' column is marked as NULLABLE but represents a Telegram chat ID which should always have a value for a valid chat record. Consider adding a NOT NULL constraint to this column to prevent invalid data.
emapfff_Link-Tracker,ID Required,scrapper/src/main/java/edu/java/domain/jooq/generation/tables/GithubLinks.java,59,60,"public final TableField<GithubLinksRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, which is a non-descriptive name that doesn't convey the table's purpose. Consider renaming it to 'github_link_id' to make the column's purpose clearer and to avoid ambiguity when joining tables."
emapfff_Link-Tracker,Beware of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/generation/tables/GithubLinks.java,65,66,"public final TableField<GithubLinksRecord, Long> LINK_ID =
    createField(DSL.name(""LINK_ID""), SQLDataType.BIGINT, this, """");","The LINK_ID column is nullable but represents a foreign key reference to the LINK table, which should logically always have a value for a valid GitHub link record. Consider adding a NOT NULL constraint to ensure referential integrity."
emapfff_Link-Tracker,ID Required,scrapper/src/main/java/edu/java/domain/jooq/generation/tables/Link.java,66,67,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'link_id'. Consider renaming the column to 'link_id' to make it self-documenting and avoid ambiguity when joining tables.
emapfff_Link-Tracker,ID Required,scrapper/src/main/java/edu/java/domain/jooq/generation/tables/StackoverflowLink.java,59,60,"public final TableField<StackoverflowLinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'ID' column as the primary key instead of a more descriptive name. Consider renaming it to 'stackoverflow_link_id' or using LINK_ID as a natural primary key since this table appears to extend the Link table with additional attributes.
emapfff_Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/JooqChatRepository.java,53,53,.selectFrom(CHAT),"Using `selectFrom(CHAT)` fetches all columns from the CHAT table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the columns needed, e.g., `select(CHAT.ID, CHAT.TG_CHAT_ID)`."
emapfff_Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/JooqConsistsRepository.java,28,28,.selectFrom(CONSISTS),"Using selectFrom(CONSISTS) fetches all columns from the CONSISTS table, which may retrieve unnecessary data and reduce query performance. Consider explicitly selecting only the required columns using .select(CONSISTS.CHAT_ID, CONSISTS.LINK_ID).from(CONSISTS) instead."
emapfff_Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/JooqGithubLinkRepository.java,50,50,.selectFrom(GITHUB_LINKS),"Using selectFrom() fetches all columns from the GITHUB_LINKS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns (e.g., GITHUB_LINKS.ID, GITHUB_LINKS.LINK_ID, GITHUB_LINKS.COUNT_BRANCHES) to improve query performance."
emapfff_Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/JooqGithubLinkRepository.java,58,58,.selectFrom(GITHUB_LINKS),"Using selectFrom() fetches all columns from the GITHUB_LINKS table, which may include columns not needed by GithubLinkDto. Consider using an explicit select() with only the required columns to reduce data transfer and improve performance."
emapfff_Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/JooqLinkRepository.java,45,45,.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns using .select(LINK.ID, LINK.URL, LINK.LAST_UPDATE).from(LINK)."
emapfff_Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/JooqLinkRepository.java,85,85,.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which couples the query to the table schema and may fetch unnecessary data. Consider explicitly selecting only the columns needed: .select(LINK.ID, LINK.URL, LINK.LAST_UPDATE).from(LINK)."
emapfff_Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/JooqStackOverflowLinkRepository.java,50,50,.selectFrom(STACKOVERFLOW_LINK),"Using selectFrom() fetches all columns from the STACKOVERFLOW_LINK table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for StackOverflowDto (e.g., .select(STACKOVERFLOW_LINK.ID, STACKOVERFLOW_LINK.LINK_ID, STACKOVERFLOW_LINK.ANSWER_COUNT))."
emapfff_Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/JooqStackOverflowLinkRepository.java,58,58,.selectFrom(STACKOVERFLOW_LINK),"Using selectFrom() fetches all columns from the STACKOVERFLOW_LINK table, which transfers unnecessary data when only specific fields are needed. Replace with an explicit column selection like .select(STACKOVERFLOW_LINK.ID, STACKOVERFLOW_LINK.LINK_ID, STACKOVERFLOW_LINK.ANSWER_COUNT)."
