Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
fasten-project_fasten,Poor Man's Search Engine,analyzer/quality-analyzer/src/main/java/eu/fasten/analyzer/qualityanalyzer/MetadataUtils.java,142,142,.and(Callables.CALLABLES.FASTEN_URI.contains(callableName)),The `contains` method performs a LIKE '%...%' search which is inefficient for full-text search as it cannot use standard indexes. Consider using a database full-text search index or restructuring the query to use exact matches or prefix searches if possible.
fasten-project_fasten,ID Required,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/ArtifactRepositories.java,63,63,"public final TableField<ArtifactRepositoriesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a unique constraint on 'repository_base_url' already exists (UNIQUE_ARTIFACT_REPOSITORIES). Since repository_base_url is a natural key that uniquely identifies artifact repositories, consider using it as the primary key instead of the synthetic 'id' column."
fasten-project_fasten,ID Required,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/BinaryModules.java,65,65,"public final TableField<BinaryModulesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint 'UNIQUE_VERSION_NAME' on (PACKAGE_VERSION_ID, NAME) already exists and could serve as a composite primary key. Consider using the natural key (package_version_id, name) as the primary key instead of the synthetic 'id' column."
fasten-project_fasten,ID Required,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/Callables.java,70,70,"public final TableField<CallablesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the table it belongs to. Consider renaming it to 'callable_id' to make it more descriptive and avoid ambiguity in JOIN queries.
fasten-project_fasten,31 Flavors,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/Callables.java,100,100,"public final TableField<CallablesRecord, CallableType> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.asEnumDataType(eu.fasten.core.data.metadatadb.codegen.enums.CallableType.class), this, """");","The 'type' column uses an ENUM type (CallableType) which embeds allowed values in the column definition, making it difficult to add or modify values without schema changes. Consider creating a separate lookup table for callable types."
fasten-project_fasten,31 Flavors,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/Callables.java,110,110,"public final TableField<CallablesRecord, Access> ACCESS = createField(DSL.name(""access""), SQLDataType.VARCHAR.asEnumDataType(eu.fasten.core.data.metadatadb.codegen.enums.Access.class), this, """");",The 'access' column uses an ENUM type (Access) which restricts allowed values in the column definition. This makes it harder to add new access levels without altering the schema. Consider using a lookup table instead.
fasten-project_fasten,31 Flavors,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/CallSites.java,79,79,"public final TableField<CallSitesRecord, CallType> CALL_TYPE = createField(DSL.name(""call_type""), SQLDataType.VARCHAR.asEnumDataType(eu.fasten.core.data.metadatadb.codegen.enums.CallType.class), this, """");","The CALL_TYPE column uses an ENUM type to restrict allowed values, which makes adding or removing valid call types difficult without schema changes. Consider creating a separate lookup table (e.g., 'call_types') with an id and name, and reference it via a foreign key."
fasten-project_fasten,ID Required,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/Files.java,67,67,"public final TableField<FilesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint 'UNIQUE_VERSION_PATH' on (PACKAGE_VERSION_ID, PATH) which could serve as a natural composite primary key. Consider using this natural key instead of the synthetic 'id' column, or rename 'id' to something more descriptive like 'file_id'."
fasten-project_fasten,Fear of the Unknown,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/IngestedArtifacts.java,71,71,"public final TableField<IngestedArtifactsRecord, Timestamp> TIMESTAMP = createField(DSL.name(""timestamp""), SQLDataType.TIMESTAMP(6), this, """");","The TIMESTAMP column is nullable but lacks a default value, which may lead to ambiguity about whether NULL represents 'unknown' or 'not applicable'. Consider making the column NOT NULL with a default value like CURRENT_TIMESTAMP, or ensure the application logic explicitly handles NULL values with clear semantics."
fasten-project_fasten,ID Required,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/ModuleNames.java,63,63,"public final TableField<ModuleNamesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated 'id' primary key, but there's already a unique constraint on 'name' (UNIQUE_MODULE_NAMES) which could serve as a natural primary key. Since module names are immutable identifiers, consider using 'name' as the primary key instead of adding a redundant surrogate key."
fasten-project_fasten,ID Required,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/Modules.java,67,67,"public final TableField<ModulesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint 'UNIQUE_VERSION_NAMESPACE' exists on (PACKAGE_VERSION_ID, MODULE_NAME_ID). Consider using this composite key as the primary key, or rename 'id' to something more descriptive like 'module_id'."
fasten-project_fasten,ID Required,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/Packages.java,64,64,"public final TableField<PackagesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key despite having a natural unique constraint on (PACKAGE_NAME, FORGE) via UNIQUE_PACKAGE_FORGE. Consider using the natural key (package_name, forge) as the primary key, or rename the synthetic key to something more descriptive like 'package_id'."
fasten-project_fasten,ID Required,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/PackageVersions.java,67,67,"public final TableField<PackageVersionsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning and can cause ambiguity in queries with joins. Consider renaming it to 'package_version_id' to make it more descriptive and self-documenting."
fasten-project_fasten,ID Required,core-metadata/src/main/java/eu/fasten/core/data/metadatadb/codegen/tables/Vulnerabilities.java,64,64,"public final TableField<VulnerabilitiesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a synthetic auto-generated 'id' column as primary key while having a unique constraint on 'external_id' (UNIQUE_VULNERABILITIES), which is a natural key suitable for identifying vulnerabilities. Consider using 'external_id' as the primary key instead, as vulnerability identifiers like CVE IDs are inherently unique and immutable."
fasten-project_fasten,Implicit Columns,core/src/main/java/eu/fasten/core/data/callableindex/utils/CallableIndexChecker.java,147,147,.select(PackageVersions.PACKAGE_VERSIONS.ID),"While this query only selects the ID column explicitly, the issue is that it fetches from the PACKAGE_VERSIONS table without any filtering condition, which could return a very large result set. However, this is actually selecting only a single column (ID), so this is not an Implicit Columns antipattern."
fasten-project_fasten,Implicit Columns,core/src/main/java/eu/fasten/core/data/metadatadb/MetadataDao.java,969,969,.select(p.fields()),"Selecting all columns from the 'packages' table using `p.fields()` fetches more data than necessary. Consider selecting only the specific columns needed for the existence check, or use `fetchExists()` instead."
