Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
cardano-foundation_cardano-rosetta-java,Poor Man's Search Engine,api/src/main/java/org/cardanofoundation/rosetta/api/block/model/repository/h2/TxRepositoryH2Impl.java,164,165,"return DSL.condition(""EXISTS (SELECT 1 FROM address_utxo au WHERE au.tx_hash = transaction.tx_hash "" +
                ""AND au.amounts LIKE '%\""unit\"":\"""" + expectedUnit + ""\""%')"");","Using LIKE with wildcards ('%...%') to search within JSON data is inefficient and doesn't use indexes. Consider using H2's JSON functions (e.g., JSON_QUERY, JSON_EXISTS) or storing the data in a normalized structure for proper querying."
cardano-foundation_cardano-rosetta-java,Poor Man's Search Engine,api/src/main/java/org/cardanofoundation/rosetta/api/block/model/repository/h2/TxRepositoryH2Impl.java,170,171,"return DSL.condition(""EXISTS (SELECT 1 FROM address_utxo au WHERE au.tx_hash = transaction.tx_hash "" +
                ""AND au.amounts LIKE '%\""policy_id\"":\"""" + escapedPolicyId + ""\""%')"");",Using LIKE with wildcards ('%...%') to search within JSON data forces a full table scan. Consider using H2's native JSON functions or normalizing the JSON data into separate columns/tables for efficient querying.
cardano-foundation_cardano-rosetta-java,Poor Man's Search Engine,api/src/main/java/org/cardanofoundation/rosetta/api/block/model/repository/h2/TxRepositoryH2Impl.java,176,177,"return DSL.condition(""EXISTS (SELECT 1 FROM address_utxo au WHERE au.tx_hash = transaction.tx_hash "" +
                ""AND au.amounts LIKE '%\""unit\"":\""lovelace\""%')"");",Using LIKE with wildcards ('%...%') to search for a specific value in JSON is inefficient. Consider using H2's JSON functions or adding a dedicated indexed column for the unit type.
cardano-foundation_cardano-rosetta-java,Poor Man's Search Engine,api/src/main/java/org/cardanofoundation/rosetta/api/block/model/repository/h2/TxRepositoryH2Impl.java,185,187,"return DSL.condition(""EXISTS (SELECT 1 FROM address_utxo au WHERE au.tx_hash = transaction.tx_hash "" +
                ""AND au.amounts LIKE '%\""unit\"":\""%""  + escapedSymbol + ""\""%' "" +
                ""AND au.amounts NOT LIKE '%\""unit\"":\""lovelace\""%')"");",Using multiple LIKE clauses with wildcards ('%...%') for JSON searching is highly inefficient and cannot leverage indexes. Consider using H2's JSON functions or restructuring the data model to avoid searching within JSON strings.
cardano-foundation_cardano-rosetta-java,Poor Man's Search Engine,api/src/main/java/org/cardanofoundation/rosetta/api/block/model/repository/postgresql/TxRepositoryPostgreSQLImpl.java,226,226,"""AND amt->>'unit' LIKE '%"" + escapedSymbol + ""' "" +","Using LIKE with a leading wildcard ('%' + escapedSymbol) for searching units by symbol performs a full-text search that cannot use indexes efficiently. Consider creating a separate indexed column for the symbol portion, or use a GIN index on the JSONB field with a more specific query structure."
cardano-foundation_cardano-rosetta-java,ID Required,api/src/main/java/org/cardanofoundation/rosetta/api/jooq/tables/Address.java,60,60,"public final TableField<AddressRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while having a natural unique key on 'address' (ADDRESS_ADDRESS_KEY). Since an address string is immutable by nature and already uniquely identifies records, consider using 'address' as the primary key instead of the synthetic 'id' column, or at minimum rename 'id' to something more descriptive like 'address_id'."
cardano-foundation_cardano-rosetta-java,Keyless Entry,api/src/main/java/org/cardanofoundation/rosetta/api/jooq/tables/AddressUtxo.java,75,75,"public final TableField<AddressUtxoRecord, String> BLOCK_HASH = createField(DSL.name(""block_hash""), SQLDataType.VARCHAR(64), this, """");",The 'block_hash' column appears to reference the Block table (which has BLOCK_PKEY on the 'hash' column) but lacks a foreign key constraint. Add a foreign key constraint referencing Block.hash to ensure referential integrity.
cardano-foundation_cardano-rosetta-java,ID Required,api/src/main/java/org/cardanofoundation/rosetta/api/jooq/tables/Cursor_.java,59,59,"public final TableField<Cursor_Record, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key uses a generic 'id' column name which lacks semantic meaning. The table already has a composite primary key on (ID, BLOCK_HASH), but since BLOCK_HASH alone could serve as a natural unique identifier for a cursor position, consider using BLOCK_HASH as the sole primary key or renaming 'id' to something more descriptive like 'cursor_id'."
cardano-foundation_cardano-rosetta-java,Keyless Entry,api/src/main/java/org/cardanofoundation/rosetta/api/jooq/tables/Delegation.java,59,59,"public final TableField<DelegationRecord, String> TX_HASH = createField(DSL.name(""tx_hash""), SQLDataType.VARCHAR(64).nullable(false), this, """");",The TX_HASH column appears to reference transactions but lacks a foreign key constraint to the Transaction table (which has TRANSACTION_PKEY on TX_HASH). Add a foreign key constraint referencing Transaction.TX_HASH to ensure referential integrity.
cardano-foundation_cardano-rosetta-java,Keyless Entry,api/src/main/java/org/cardanofoundation/rosetta/api/jooq/tables/Delegation.java,94,94,"public final TableField<DelegationRecord, String> BLOCK_HASH = createField(DSL.name(""block_hash""), SQLDataType.VARCHAR(64), this, """");",The BLOCK_HASH column appears to reference blocks but lacks a foreign key constraint to the Block table (which has BLOCK_PKEY on HASH). Add a foreign key constraint referencing Block.HASH to ensure referential integrity.
