Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/auth/AuthUser.java,89,89,dsl.fetchCount(dsl.selectFrom(MODERATOR).where(MODERATOR.ID.eq(id))),"Using `selectFrom(MODERATOR)` selects all columns from the MODERATOR table, which is unnecessary when only counting rows. Replace with `dsl.fetchCount(dsl.select().from(MODERATOR).where(MODERATOR.ID.eq(id)))` or use `dsl.selectCount().from(MODERATOR).where(...)`."
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/auth/TinfoilLoginForm.java,51,51,AccountRecord account = dsl.selectFrom(ACCOUNT),"Using `selectFrom(ACCOUNT)` fetches all columns from the ACCOUNT table, but only `username` and `email` are used. Consider using `select(ACCOUNT.USERNAME, ACCOUNT.EMAIL).from(ACCOUNT)` to fetch only the required columns."
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/auth/UsernameForm.java,94,94,"AccountRecord account = DbMisc.fetchOne(dsl, ACCOUNT.ID, auth.id());","This call fetches all columns from the ACCOUNT table into an AccountRecord, which retrieves more data than may be needed. Consider fetching only the specific columns required for the subsequent AuthUser.login() call."
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/common/DbMisc.java,43,43,return dsl.selectFrom(keyField.getTable()).where(keyField.eq(key)).fetchOne();,"Using `selectFrom()` fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider selecting only the specific columns needed using `dsl.select(...).from(...)` instead."
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/common/DbMisc.java,47,47,return dsl.selectFrom(keyField.getTable()).where(keyField.eq(key)).fetchOne(valueField);,Using `selectFrom()` fetches all columns from the table even though only `valueField` is needed. Replace with `dsl.select(valueField).from(keyField.getTable())` to fetch only the required column.
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/common/DbMisc.java,51,51,return dsl.selectFrom(keyField.getTable()).where(keyField.eq(key));,"Using `selectFrom()` selects all columns from the table, which may retrieve more data than necessary. Consider using explicit column selection with `dsl.select(...).from(...)` to improve query efficiency."
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/common/Mods.java,67,67,moderatorEmails = dsl.select(),"Using select() without specifying columns fetches all columns from the joined tables, even though only ACCOUNT.EMAIL is needed. Replace with dsl.select(ACCOUNT.EMAIL) to explicitly select only the required column."
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/controllers/BookmarkApi.java,64,64,"List<BookmarkRecord> records = DbMisc.selectWhere(dsl, BOOKMARK.SAVED_BY, auth.id()).fetch();","This query fetches all columns from the BOOKMARK table into BookmarkRecord objects, even though only four fields (SAVED_ON, FACT, CUT_START, CUT_END) are used in the toPojo method. Consider explicitly selecting only the required columns using .select(BOOKMARK.SAVED_ON, BOOKMARK.FACT, BOOKMARK.CUT_START, BOOKMARK.CUT_END)."
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/controllers/DiscourseAuth.java,74,74,"AccountRecord account = DbMisc.fetchOne(dsl, ACCOUNT.ID, auth.id());","This query fetches all columns from the ACCOUNT table into an AccountRecord, even though only a few fields (name, username, email, id) are used. Consider using a projection to select only the required columns: dsl.select(ACCOUNT.NAME, ACCOUNT.USERNAME, ACCOUNT.EMAIL, ACCOUNT.ID).from(ACCOUNT).where(ACCOUNT.ID.eq(auth.id())).fetchOne()."
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/controllers/Drafts.java,56,56,TakedraftRecord draft = dsl.selectFrom(TAKEDRAFT),"Using selectFrom(TAKEDRAFT) fetches all columns from the TAKEDRAFT table into a record, which may retrieve more data than needed. Consider using an explicit select() with only the required columns."
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/controllers/Drafts.java,182,182,TakerevisionRecord rev = dsl.selectFrom(TAKEREVISION),"Using selectFrom(TAKEREVISION) fetches all columns from the TAKEREVISION table, potentially retrieving unnecessary data. Consider selecting only the specific columns needed (e.g., TAKEREVISION.TITLE, TAKEREVISION.BLOCKS, TAKEREVISION.ID)."
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/controllers/Profile.java,179,179,int authorId = dsl.selectFrom(ACCOUNT),Using `selectFrom(ACCOUNT)` fetches all columns from the ACCOUNT table when only the ID column is needed. Replace with `dsl.select(ACCOUNT.ID).from(ACCOUNT)` to fetch only the required column.
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/controllers/TakeReaction.java,73,73,String email = dsl.selectFrom(ACCOUNT),Using selectFrom(ACCOUNT) fetches all columns from the ACCOUNT table when only the EMAIL column is needed. Replace with dsl.select(ACCOUNT.EMAIL).from(ACCOUNT) to fetch only the required column.
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/controllers/TakeReaction.java,80,80,String authorUsername = dsl.selectFrom(ACCOUNT),Using selectFrom(ACCOUNT) fetches all columns from the ACCOUNT table when only the USERNAME column is needed. Replace with dsl.select(ACCOUNT.USERNAME).from(ACCOUNT) to fetch only the required column.
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/controllers/TakeReaction.java,128,128,return dsl.selectFrom(TAKEREACTION),Using selectFrom(TAKEREACTION) fetches all columns from the TAKEREACTION table when only the KIND column is needed. Replace with dsl.select(TAKEREACTION.KIND).from(TAKEREACTION) to fetch only the required column.
mytakedotorg_mtdo,Implicit Columns,server/src/main/java/controllers/Takes.java,45,45,TakepublishedRecord take = dsl.selectFrom(TAKEPUBLISHED),"Using selectFrom() fetches all columns from the TAKEPUBLISHED table into a record, which may retrieve more data than needed. Consider using select() with only the specific columns required (e.g., TITLE_SLUG, USER_ID, IMAGE_URL)."
mytakedotorg_mtdo,ID Required,server/src/main/jooq-generated/db/tables/Account.java,56,56,"public final TableField<AccountRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but has unique constraints on EMAIL, USERNAME, and USERNAME_TYPOHARD that could serve as natural keys. Consider using EMAIL as the primary key since it's already NOT NULL and unique, or rename the primary key to 'account_id' to be more descriptive."
mytakedotorg_mtdo,Keyless Entry,server/src/main/jooq-generated/db/tables/Moderator.java,53,53,"public final TableField<ModeratorRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");",The 'id' column appears to reference an Account but lacks a foreign key constraint. Consider adding a foreign key to the Account table's primary key (ACCOUNT_PKEY) to ensure referential integrity.
mytakedotorg_mtdo,ID Required,server/src/main/jooq-generated/db/tables/Takedraft.java,54,54,"public final TableField<TakedraftRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'takedraft_id'. Consider renaming the column to 'takedraft_id' to make foreign key references more self-documenting and to avoid ambiguity in queries with multiple joined tables.
mytakedotorg_mtdo,ID Required,server/src/main/jooq-generated/db/tables/Takepublished.java,59,59,"public final TableField<TakepublishedRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'takepublished_id' or 'take_id' to make it more meaningful and avoid ambiguity in joins."
mytakedotorg_mtdo,Fear of the Unknown,server/src/main/jooq-generated/db/tables/Takepublished.java,129,129,"public final TableField<TakepublishedRecord, String> IMAGE_URL = createField(DSL.name(""image_url""), SQLDataType.CLOB.nullable(false).defaultValue(DSL.field(""''::text"", SQLDataType.CLOB)), this, """");",The IMAGE_URL column uses an empty string as a default value to represent missing data instead of using NULL. This makes it harder to distinguish between intentionally empty values and missing values. Consider making the column nullable and using NULL to represent missing image URLs.
mytakedotorg_mtdo,31 Flavors,server/src/main/jooq-generated/db/tables/Takereaction.java,66,66,"public final TableField<TakereactionRecord, Reaction> KIND = createField(DSL.name(""kind""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(db.enums.Reaction.class), this, """");","The 'kind' column uses an ENUM type (Reaction) to restrict allowed values, which makes adding or removing reaction types difficult without schema changes. Consider using a lookup table (e.g., 'reaction_type') with a foreign key reference instead."
mytakedotorg_mtdo,ID Required,server/src/main/jooq-generated/db/tables/Takerevision.java,57,57,"public final TableField<TakerevisionRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'takerevision_id'. Consider renaming the column to 'takerevision_id' to make it self-documenting and avoid ambiguity in queries with joins.
mytakedotorg_mtdo,Implicit Columns,server/src/test/java/common/DataHarness.java,42,42,dsl.selectFrom(ACCOUNT),"Using selectFrom(ACCOUNT) fetches all columns from the ACCOUNT table, but only the ID column is needed. Replace with dsl.select(ACCOUNT.ID).from(ACCOUNT) to fetch only the required column."
mytakedotorg_mtdo,Implicit Columns,server/src/test/java/common/DataHarness.java,48,48,dsl.selectFrom(TAKEPUBLISHED),"Using selectFrom(TAKEPUBLISHED) fetches all columns from the TAKEPUBLISHED table, but only the ID column is needed. Replace with dsl.select(TAKEPUBLISHED.ID).from(TAKEPUBLISHED) to fetch only the required column."
mytakedotorg_mtdo,Implicit Columns,server/src/test/java/common/ProdData.java,43,43,return dsl.selectFrom(ACCOUNT),"Using `selectFrom(ACCOUNT)` fetches all columns from the ACCOUNT table, which may retrieve unnecessary data and reduce query performance. Consider explicitly selecting only the required columns, e.g., `dsl.select(ACCOUNT.USERNAME, ACCOUNT.ID).from(ACCOUNT)`."
mytakedotorg_mtdo,Implicit Columns,server/src/test/java/controllers/HomeFeedBuilder.java,64,64,int userId = dsl.selectFrom(ACCOUNT),Using selectFrom(ACCOUNT) fetches all columns from the ACCOUNT table when only the ID column is needed. Replace with dsl.select(ACCOUNT.ID).from(ACCOUNT) to fetch only the required column.
mytakedotorg_mtdo,Implicit Columns,server/src/test/java/controllers/HomeFeedBuilder.java,67,67,TakepublishedRecord published = dsl.selectFrom(TAKEPUBLISHED),"Using selectFrom(TAKEPUBLISHED) fetches all columns from the TAKEPUBLISHED table when only TITLE and BLOCKS columns are used. Replace with dsl.select(TAKEPUBLISHED.TITLE, TAKEPUBLISHED.BLOCKS).from(TAKEPUBLISHED) to fetch only the required columns."
