Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
spacedragon_dgit,Beware of the Unknown,dgit-jdbc/src/main/generated/io/insight/jgit/jdbc/jooq/tables/GitConfig.java,59,59,"public final TableField<GitConfigRecord, String> REPO = createField(""repo"", org.jooq.impl.SQLDataType.VARCHAR(255).nullable(false).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The REPO column uses an empty string as a default value instead of NULL to represent missing values, which can lead to confusion between intentionally empty values and missing data. Consider removing the default value and allowing NULL, or use a meaningful default value if one exists."
spacedragon_dgit,Beware of the Unknown,dgit-jdbc/src/main/generated/io/insight/jgit/jdbc/jooq/tables/GitObjects.java,52,52,"public final TableField<GitObjectsRecord, String> REPO = createField(""repo"", org.jooq.impl.SQLDataType.VARCHAR(255).nullable(false).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The REPO column uses an empty string as a default value instead of NULL to represent missing values, which can lead to confusion between intentionally empty values and missing data. Consider removing the default value and allowing NULL, or use a meaningful default value if one exists."
spacedragon_dgit,Beware of the Unknown,dgit-jdbc/src/main/generated/io/insight/jgit/jdbc/jooq/tables/GitRefs.java,59,59,"public final TableField<GitRefsRecord, String> REPO = createField(""repo"", org.jooq.impl.SQLDataType.VARCHAR(255).nullable(false).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The REPO column uses an empty string as a default value instead of NULL to represent missing data, which can lead to confusion between intentionally empty values and missing values. Consider removing the default value and allowing NULL, or use a meaningful default if the column should never be empty."
spacedragon_dgit,Beware of the Unknown,dgit-jdbc/src/main/generated/io/insight/jgit/jdbc/jooq/tables/GitRefs.java,64,64,"public final TableField<GitRefsRecord, String> NAME = createField(""name"", org.jooq.impl.SQLDataType.VARCHAR(255).nullable(false).defaultValue(org.jooq.impl.DSL.inline("""", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The NAME column uses an empty string as a default value instead of NULL to represent missing data, which obscures the distinction between a deliberately empty name and a missing name. Consider removing the default value and allowing NULL, or ensure the application always provides a meaningful value."
spacedragon_dgit,Beware of the Unknown,dgit-jdbc/src/main/generated/io/insight/jgit/jdbc/jooq/tables/GitRefs.java,69,69,"public final TableField<GitRefsRecord, Byte> SYMBOLIC = createField(""symbolic"", org.jooq.impl.SQLDataType.TINYINT, this, """");",The SYMBOLIC column is marked as NULLABLE but likely represents a boolean flag that should always have a value (true/false). Consider adding a NOT NULL constraint with a default value of 0 or 1 to ensure data integrity.
spacedragon_dgit,Beware of the Unknown,dgit-jdbc/src/main/generated/io/insight/jgit/jdbc/jooq/tables/GitRefs.java,74,74,"public final TableField<GitRefsRecord, String> TARGET = createField(""target"", org.jooq.impl.SQLDataType.VARCHAR(255), this, """");","The TARGET column is marked as NULLABLE but may need a value in practice depending on the SYMBOLIC flag. Consider adding a NOT NULL constraint if a target is always required, or document when NULL is acceptable."
spacedragon_dgit,Beware of the Unknown,dgit-jdbc/src/main/generated/io/insight/jgit/jdbc/jooq/tables/GitRefs.java,79,79,"public final TableField<GitRefsRecord, String> STORAGE = createField(""storage"", org.jooq.impl.SQLDataType.VARCHAR(16), this, """");",The STORAGE column is marked as NULLABLE but likely should always have a value indicating the storage type for a git reference. Consider adding a NOT NULL constraint with a default value to ensure data integrity.
spacedragon_dgit,Beware of the Unknown,dgit-jdbc/src/main/generated/io/insight/jgit/jdbc/jooq/tables/GitRefs.java,84,84,"public final TableField<GitRefsRecord, String> OBJECT_ID = createField(""object_id"", org.jooq.impl.SQLDataType.CHAR(40), this, """");","The OBJECT_ID column is marked as NULLABLE but likely should always contain a valid git object hash for non-symbolic references. Consider adding a NOT NULL constraint if an object ID is always required, or use a CHECK constraint to ensure it's only NULL when SYMBOLIC is true."
spacedragon_dgit,Implicit Columns,dgit-jdbc/src/main/java/io/insight/jgit/jdbc/JdbcRefService.java,36,36,dsl.select().from(GIT_REFS).where(GIT_REFS.REPO.equal(repositoryName)),"Using `select()` without specifying columns fetches all columns from the GIT_REFS table, which can retrieve unnecessary data and impact performance. Replace with `selectFrom(GIT_REFS)` if all columns are needed, or explicitly list only the required columns like `select(GIT_REFS.NAME, GIT_REFS.SYMBOLIC, ...)`."
spacedragon_dgit,Implicit Columns,dgit-jdbc/src/main/java/io/insight/jgit/jdbc/JdbcRefService.java,61,61,DSL.using(configuration).select().from(GIT_REFS),"Using `select()` without specifying columns fetches all columns from the GIT_REFS table, which may retrieve more data than needed. Replace with `selectFrom(GIT_REFS)` if all columns are intentionally needed, or explicitly specify only the required columns."
spacedragon_dgit,Implicit Columns,dgit-jdbc/src/main/java/io/insight/jgit/jdbc/JdbcRefService.java,85,85,DSL.using(configuration).select().from(GIT_REFS),"Using `select()` without specifying columns fetches all columns from the GIT_REFS table, which may retrieve more data than needed. Replace with `selectFrom(GIT_REFS)` if all columns are intentionally needed, or explicitly specify only the required columns."
