Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
tsemkaloalena-mirea_vk_education,Implicit Columns,practice 6/dao/src/main/java/com/tsemkalo/homework6/InvoiceItemDAO.java,20,20,.selectFrom(INVOICE_ITEM),"Using selectFrom(INVOICE_ITEM) fetches all columns from the INVOICE_ITEM table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using .select(INVOICE_ITEM.COLUMN1, INVOICE_ITEM.COLUMN2, ...).from(INVOICE_ITEM)."
tsemkaloalena-mirea_vk_education,Implicit Columns,practice 6/dao/src/main/java/com/tsemkalo/homework6/OrganisationDAO.java,29,29,.select(ORGANISATION.fields()),"Using `ORGANISATION.fields()` selects all columns from the ORGANISATION table, which can fetch unnecessary data and cause maintenance issues if the table schema changes. Instead, explicitly select only the columns needed for this query."
tsemkaloalena-mirea_vk_education,Implicit Columns,practice 6/dao/src/main/java/com/tsemkalo/homework6/OrganisationDAO.java,41,41,.select(ORGANISATION.fields()),"Using `ORGANISATION.fields()` selects all columns from the ORGANISATION table, which retrieves potentially unnecessary data and couples the code to the full table schema. Explicitly list only the required columns instead."
tsemkaloalena-mirea_vk_education,ID Required,practice 6/jooq-generated/src/main/java/generated/tables/Invoice.java,59,59,"public final TableField<InvoiceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'invoice_id'. Consider renaming the column to 'invoice_id' to make it self-documenting and avoid ambiguity in queries with joins.
tsemkaloalena-mirea_vk_education,ID Required,practice 6/jooq-generated/src/main/java/generated/tables/InvoiceItem.java,58,58,"public final TableField<InvoiceItemRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'invoice_item_id'. Consider renaming the column to 'invoice_item_id' to make it self-documenting and avoid ambiguity in queries with joins.
tsemkaloalena-mirea_vk_education,ID Required,practice 6/jooq-generated/src/main/java/generated/tables/Product.java,56,56,"public final TableField<ProductRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'product_id'. Consider renaming the column to 'product_id' to make it self-documenting and avoid ambiguity when joining tables.
tsemkaloalena-mirea_vk_education,Implicit Columns,practice 7/dao/src/main/java/com/tsemkalo/homework7/ManufacturerDAO.java,22,22,.selectFrom(MANUFACTURER),"Using selectFrom(MANUFACTURER) fetches all columns from the MANUFACTURER table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Manufacturer object."
tsemkaloalena-mirea_vk_education,Implicit Columns,practice 7/dao/src/main/java/com/tsemkalo/homework7/ProductDAO.java,24,24,.selectFrom(PRODUCT),"Using selectFrom(PRODUCT) fetches all columns from the PRODUCT table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using .select(PRODUCT.COLUMN1, PRODUCT.COLUMN2, ...).from(PRODUCT)."
tsemkaloalena-mirea_vk_education,ID Required,practice 7/entities/src/main/java/generated/tables/Product.java,58,58,"public final TableField<ProductRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'product_id'. Consider renaming the primary key to 'product_id' to make it more meaningful and to avoid ambiguity when joining tables.
tsemkaloalena-mirea_vk_education,Implicit Columns,practice 8/dao/src/main/java/com/tsemkalo/homework8/ManufacturerDAO.java,22,22,.selectFrom(MANUFACTURER),"Using selectFrom(MANUFACTURER) fetches all columns from the MANUFACTURER table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed, such as context.select(MANUFACTURER.ID, MANUFACTURER.NAME).from(MANUFACTURER)."
tsemkaloalena-mirea_vk_education,Implicit Columns,practice 8/dao/src/main/java/com/tsemkalo/homework8/ProductDAO.java,26,26,.selectFrom(PRODUCT),"Using selectFrom(PRODUCT) fetches all columns from the PRODUCT table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this query."
tsemkaloalena-mirea_vk_education,Implicit Columns,practice 8/dao/src/main/java/com/tsemkalo/homework8/ProductDAO.java,36,36,.selectFrom(PRODUCT),Using selectFrom(PRODUCT) fetches all columns when only the product IDs are needed for the deletion logic. Consider using select(PRODUCT.ID) instead to retrieve only the required column.
tsemkaloalena-mirea_vk_education,Implicit Columns,practice 8/dao/src/main/java/com/tsemkalo/homework8/ProductDAO.java,51,51,.selectFrom(PRODUCT),"Using selectFrom(PRODUCT) fetches all columns from the PRODUCT table, which may include unnecessary data. Consider using select() with explicit column names to fetch only the required fields."
tsemkaloalena-mirea_vk_education,ID Required,practice 8/entities/src/main/java/com/tsemkalo/homework8/generated/tables/Product.java,58,58,"public final TableField<ProductRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'product_id'. Consider renaming the column to 'product_id' to make it self-documenting and avoid ambiguity in queries with joins.
