Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
self-xdsd_self-storage,ID Required,src/main/java/com/selfxdsd/storage/generated/jooq/tables/SlfInvoicedtasksXdsd.java,57,57,"public final TableField<SlfInvoicedtasksXdsdRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'invoicedtask_id' or similar to make it more descriptive and avoid ambiguity in JOIN queries."
self-xdsd_self-storage,Fear of the Unknown,src/main/java/com/selfxdsd/storage/generated/jooq/tables/SlfInvoicesXdsd.java,107,107,"public final TableField<SlfInvoicesXdsdRecord, BigInteger> EURTORON = createField(DSL.name(""eurToRon""), org.jooq.impl.SQLDataType.DECIMAL_INTEGER.precision(20).defaultValue(org.jooq.impl.DSL.inline(""0"", org.jooq.impl.SQLDataType.DECIMAL_INTEGER)), this, """");","The EURTORON column has a default value of 0 but is marked as NULLABLE, which means it can never be NULL in practice when using the default. Either make the column NOT NULL since it has a meaningful default, or remove the default value if NULL is intended to represent missing data."
self-xdsd_self-storage,Fear of the Unknown,src/main/java/com/selfxdsd/storage/generated/jooq/tables/SlfPaymentsXdsd.java,79,79,"public final TableField<SlfPaymentsXdsdRecord, String> FAILREASON = createField(DSL.name(""failReason""), org.jooq.impl.SQLDataType.CLOB.nullable(false), this, """");","The FAILREASON column is marked as NOT NULL, but a failure reason only makes sense when a payment fails. For successful payments, this column should be NULL rather than requiring a placeholder value. Consider making this column nullable to properly represent the absence of a failure reason."
self-xdsd_self-storage,ID Required,src/main/java/com/selfxdsd/storage/generated/jooq/tables/SlfPlatforminvoicesXdsd.java,57,57,"public final TableField<SlfPlatforminvoicesXdsdRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'platforminvoice_id' or 'platform_invoice_id' to improve clarity when joining tables."
self-xdsd_self-storage,ID Required,src/main/java/com/selfxdsd/storage/generated/jooq/tables/SlfPmsXdsd.java,54,54,"public final TableField<SlfPmsXdsdRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'pm_id' or 'project_manager_id' to better reflect the table's purpose."
self-xdsd_self-storage,Keyless Entry,src/main/java/com/selfxdsd/storage/generated/jooq/tables/SlfResignationsXdsd.java,55,55,"public final TableField<SlfResignationsXdsdRecord, String> REPO_FULLNAME = createField(DSL.name(""repo_fullname""), org.jooq.impl.SQLDataType.VARCHAR(256).nullable(false), this, """");","The REPO_FULLNAME column, combined with ISSUEID, PROVIDER, and ISPULLREQUEST, appears to reference the SlfTasksXdsd table (which has a primary key on ISSUEID, PROVIDER, REPO_FULLNAME, ISPULLREQUEST), but there is no foreign key constraint defined for this relationship. Consider adding a foreign key constraint referencing KEY_SLF_TASKS_XDSD_PRIMARY to ensure referential integrity."
self-xdsd_self-storage,Keyless Entry,src/main/java/com/selfxdsd/storage/generated/jooq/tables/SlfTasksXdsd.java,80,80,"public final TableField<SlfTasksXdsdRecord, String> USERNAME = createField(DSL.name(""username""), org.jooq.impl.SQLDataType.VARCHAR(100), this, """");","The USERNAME column appears to reference a contributor but lacks a foreign key constraint to the SlfContributorsXdsd table. Consider adding a foreign key referencing KEY_SLF_CONTRIBUTORS_XDSD_PRIMARY (username, provider) to ensure referential integrity."
self-xdsd_self-storage,Implicit Columns,src/main/java/com/selfxdsd/storage/SelfApiTokens.java,76,76,.select(),"Using select() without specifying columns fetches all columns from both joined tables (SLF_APITOKENS_XDSD and SLF_USERS_XDSD), which retrieves unnecessary data. Explicitly list only the required columns, e.g., .select(SLF_APITOKENS_XDSD.NAME, SLF_APITOKENS_XDSD.TOKEN, SLF_USERS_XDSD.USERNAME, ...)."
self-xdsd_self-storage,Implicit Columns,src/main/java/com/selfxdsd/storage/SelfApiTokens.java,105,105,.select(),"Using select() without specifying columns fetches all columns from both joined tables, retrieving more data than needed. Explicitly specify only the columns required for building the ApiToken object."
self-xdsd_self-storage,Implicit Columns,src/main/java/com/selfxdsd/storage/SelfContracts.java,322,322,.select(),"Using select() without specifying columns fetches all columns from all joined tables (SLF_CONTRACTS_XDSD, SLF_CONTRIBUTORS_XDSD, SLF_PROJECTS_XDSD, SLF_USERS_XDSD, SLF_PMS_XDSD), which may include unnecessary data and reduce query performance. Explicitly list only the required columns needed to build the Contract object."
self-xdsd_self-storage,Implicit Columns,src/main/java/com/selfxdsd/storage/SelfContributors.java,113,115,"rec = this.database.jooq()
    .select()
    .from(SLF_CONTRIBUTORS_XDSD)","Using `select()` without specifying columns fetches all columns from SLF_CONTRIBUTORS_XDSD, which is inefficient when only USERNAME and PROVIDER are needed. Explicitly list the required columns: `.select(SLF_CONTRIBUTORS_XDSD.USERNAME, SLF_CONTRIBUTORS_XDSD.PROVIDER)`."
