Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
serje3_BotDiscordBackend,ID Required,src/generated/jooq/com/serje3/generated/jooq/tables/EventLog.java,59,59,"public final TableField<EventLogRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'event_log_id'. Consider renaming the primary key to 'event_log_id' to make it self-documenting and avoid ambiguity in joins.
serje3_BotDiscordBackend,ID Required,src/generated/jooq/com/serje3/generated/jooq/tables/Guild.java,59,59,"public final TableField<GuildRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while having a natural unique key on 'guild_id' (which appears to be an external Discord guild identifier). Consider using 'guild_id' as the primary key since it's already unique and immutable, or rename 'id' to something more descriptive like 'guild_pk'."
serje3_BotDiscordBackend,ID Required,src/generated/jooq/com/serje3/generated/jooq/tables/LavalinkNode.java,58,58,"public final TableField<LavalinkNodeRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on 'url' (LAVALINK_NODE_URL_KEY) which could serve as a natural primary key since URLs are inherently unique identifiers for Lavalink nodes. Consider using 'url' as the primary key or renaming the synthetic key to something more descriptive like 'lavalink_node_id'."
serje3_BotDiscordBackend,Beware of the Unknown,src/generated/jooq/com/serje3/generated/jooq/tables/LavalinkNode.java,78,78,"public final TableField<LavalinkNodeRecord, Boolean> ENABLED = createField(DSL.name(""enabled""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""true""), SQLDataType.BOOLEAN)), this, """");","The 'enabled' column has a default value of 'true' but is marked as NULLABLE (no .nullable(false) specified), which means it can contain NULL values even though it has a meaningful default. Consider adding .nullable(false) to ensure the column always has a valid boolean value."
serje3_BotDiscordBackend,ID Required,src/generated/jooq/com/serje3/generated/jooq/tables/Members.java,59,59,"public final TableField<MembersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint 'UNIQUE_USER_GUILD_PAIR' on (USER_ID, GUILD_ID) already exists and could serve as a composite primary key. Consider using the (user_id, guild_id) combination as the primary key instead of the synthetic 'id' column."
serje3_BotDiscordBackend,Keyless Entry,src/generated/jooq/com/serje3/generated/jooq/tables/Members.java,69,69,"public final TableField<MembersRecord, Long> GUILD_ID = createField(DSL.name(""guild_id""), SQLDataType.BIGINT.nullable(false), this, """");","The GUILD_ID column appears to reference the Guild table (similar to how EVENT_LOG and RECENT_TRACKS reference it) but lacks a foreign key constraint, which could lead to orphaned records. Add a foreign key constraint referencing Guild.GUILD_ID to ensure referential integrity."
serje3_BotDiscordBackend,Beware of the Unknown,src/generated/jooq/com/serje3/generated/jooq/tables/Members.java,79,79,"public final TableField<MembersRecord, Boolean> IS_ADMIN = createField(DSL.name(""is_admin""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The IS_ADMIN column has a default value but is marked as NULLABLE, which is inconsistent since a column with a default value should typically be NOT NULL. Add a NOT NULL constraint to this column to prevent ambiguous NULL values."
serje3_BotDiscordBackend,Beware of the Unknown,src/generated/jooq/com/serje3/generated/jooq/tables/Members.java,84,84,"public final TableField<MembersRecord, LocalDateTime> JOIN_DATE = createField(DSL.name(""join_date""), SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The JOIN_DATE column has a default value of CURRENT_TIMESTAMP but is marked as NULLABLE, which is inconsistent since a column with a meaningful default should typically be NOT NULL. Add a NOT NULL constraint to this column to prevent ambiguous NULL values."
serje3_BotDiscordBackend,ID Required,src/generated/jooq/com/serje3/generated/jooq/tables/RecentTracks.java,58,58,"public final TableField<RecentTracksRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named generically 'id' instead of a more descriptive name like 'recent_track_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'recent_track_id'."
serje3_BotDiscordBackend,Beware of the Unknown,src/generated/jooq/com/serje3/generated/jooq/tables/SunoLogin.java,66,66,"public final TableField<SunoLoginRecord, String> SESSION_ID = createField(DSL.name(""session_id""), SQLDataType.VARCHAR(128), this, """");","The SESSION_ID column is marked as NULLABLE (no .nullable(false)) but appears to be a meaningful session identifier that should either always have a value or explicitly use NULL to indicate missing data. Consider adding .nullable(false) if a session ID is always required, or ensure the application logic properly handles NULL values rather than relying on empty strings."
serje3_BotDiscordBackend,ID Required,src/generated/jooq/com/serje3/generated/jooq/tables/YoutubeSearchQueryCache.java,57,57,"public final TableField<YoutubeSearchQueryCacheRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named generically 'id' instead of a more descriptive name like 'query_cache_id'. Consider renaming the primary key to something more meaningful that reflects the table's purpose, such as 'query_cache_id' or 'youtube_search_query_cache_id'."
serje3_BotDiscordBackend,ID Required,src/generated/jooq/com/serje3/generated/jooq/tables/YoutubeSearchResponseCache.java,59,59,"public final TableField<YoutubeSearchResponseCacheRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'youtube_search_response_cache_id'. Consider renaming the primary key to include the table name for clarity and to avoid ambiguity in joins.
serje3_BotDiscordBackend,Implicit Columns,src/main/java/org/serje3/BotBackend/discord/events/log/EventLogRepository.java,37,37,dsl.selectFrom(EVENT_LOG),"Using selectFrom() fetches all columns from the EVENT_LOG table, which may retrieve unnecessary data. Consider using an explicit select() with only the columns needed for EventLog.Ref."
serje3_BotDiscordBackend,Implicit Columns,src/main/java/org/serje3/BotBackend/discord/events/log/EventLogRepository.java,46,46,dsl.selectFrom(EVENT_LOG),"Using selectFrom() fetches all columns from the EVENT_LOG table, which may retrieve unnecessary data. Consider using an explicit select() with only the columns needed for EventLog.Ref."
serje3_BotDiscordBackend,Implicit Columns,src/main/java/org/serje3/BotBackend/discord/guilds/GuildRepository.java,21,21,dsl.selectFrom(GUILD),"Using selectFrom(GUILD) fetches all columns from the GUILD table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for the Guild.Ref class, e.g., dsl.select(GUILD.ID, GUILD.GUILD_ID, ...).from(GUILD)."
