Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-2/src/main/java/com/apress/jooq/executable/JooqInsert.java,22,22,"DSL.selectFrom(""vehicle"")","Using selectFrom without specifying columns selects all columns from the 'vehicle' table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Specify only the required columns explicitly, e.g., DSL.select(field1, field2).from(""vehicle"")."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-2/src/main/java/com/apress/jooq/executable/JooqSelect.java,45,45,"context.select().from(table(""complete_car_listing""))","Using `select()` without specifying columns fetches all columns from the table, which can retrieve unnecessary data and hurt performance. Explicitly list only the columns needed, e.g., `context.select(field(""brand""), field(""model"")).from(...)`."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-2/src/main/java/com/apress/jooq/executable/JooqSelect.java,56,56,"context.select().from(table(""complete_car_listing""))","Using `select()` without specifying columns fetches all columns from the table, which wastes bandwidth and memory. Specify only the required columns explicitly in the select clause."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-2/src/main/java/com/apress/jooq/executable/JooqSelect.java,67,67,"context.select().from(table(""complete_car_listing""))","Using `select()` without specifying columns retrieves all columns from the table, which is inefficient. List only the columns you need, such as `context.select(field(""brand""), field(""model""), field(""price"")).from(...)`."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-2/src/main/java/com/apress/jooq/executable/JooqSelect.java,178,178,"context.select().from(table(name(""complete_car_listing"")))","Using `select()` without specifying columns fetches all columns from the table, which may include unnecessary data. Explicitly specify the columns needed for the query."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-2/src/main/java/com/apress/jooq/executable/JooqSelect.java,200,200,"context.select().from(table(""complete_car_listing""))","Using `select()` without specifying columns retrieves all columns from the table, which is wasteful if only some columns are needed. Specify the required columns explicitly in the select clause."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-2/src/main/java/com/apress/jooq/executable/JooqSelect.java,208,208,"context.resultQuery(""SELECT * FROM edens_car.complete_car_listing"")","Using `SELECT *` fetches all columns from the table, which retrieves unnecessary data and can cause issues if the schema changes. Replace with explicit column names like `SELECT brand, model, trim, color, style, price FROM ...`."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-2/src/main/java/com/apress/jooq/executable/JooqSelect.java,227,227,"context.resultQuery(""SELECT * FROM edens_car.complete_car_listing"")","Using `SELECT *` fetches all columns from the table, which is inefficient and fragile if the table schema changes. Specify only the columns needed explicitly."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-2/src/main/java/com/apress/jooq/executable/JooqWithDataSource.java,20,20,"ResultQuery resultQuery = context.resultQuery(""SELECT * FROM edens_car.complete_car_listing"");","Using SELECT * fetches all columns from the table, which can lead to unnecessary data transfer and maintenance issues when the table schema changes. Replace the wildcard with an explicit list of only the columns needed for the CompleteVehicleRecord class."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqBatch.java,19,19,Result<Record> results = context.select().from(VEHICLE).fetch();,"Using select() without specifying columns fetches all columns from the VEHICLE table, which can retrieve unnecessary data and hurt performance. Explicitly list only the columns needed, e.g., context.select(VEHICLE.VEHICLE_ID, VEHICLE.VEHICLE_COLOR, ...).from(VEHICLE).fetch()."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqInsert.java,22,22,".select(DSL.selectFrom(""vehicle"").where(""datediff(date(now()),created) > 365""))","Using `selectFrom(""vehicle"")` selects all columns from the vehicle table, which fetches unnecessary data and can cause issues if the table schema changes. Explicitly specify only the columns needed for the vehicle_archive table."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqJoin.java,41,41,.select(VEHICLE_MANUFACTURER.fields()),"Using `fields()` selects all columns from the VEHICLE_MANUFACTURER table, which may fetch unnecessary data and reduce query performance. Explicitly list only the required columns from VEHICLE_MANUFACTURER instead of using `fields()`."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqJoin.java,74,74,.select(VEHICLE_MANUFACTURER.fields()),"Using `fields()` selects all columns from the VEHICLE_MANUFACTURER table, which couples the query to the table schema and may retrieve unneeded data. Replace with an explicit list of only the columns needed for the VehicleManufacturer mapping."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqJoin.java,91,91,context.select(VEHICLE_MANUFACTURER.fields()),"Using `fields()` fetches all columns from VEHICLE_MANUFACTURER, which can lead to performance issues and maintenance problems if the table schema changes. Specify only the columns required for the VehicleManufacturerRecord grouping."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqSelect.java,42,42,"VehicleRecord vehicleRecord = context.fetchOne(VEHICLE, VEHICLE.VEHICLE_ID.eq(val(7L)));",Using `fetchOne` on a table fetches all columns from the VEHICLE table into a VehicleRecord. Specify only the required columns explicitly using `select(...).from(VEHICLE)` to avoid fetching unnecessary data.
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqSelect.java,58,58,"Result<VehicleRecord> vehicles = context.fetch(VEHICLE, VEHICLE.VEHICLE_MANUFACTURER.eq(val(2L)));",Using `fetch` on a table fetches all columns from the VEHICLE table into VehicleRecords. Specify only the required columns explicitly using `select(...).from(VEHICLE)` to improve query efficiency.
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqSelect.java,94,94,"final Cursor<Record> records = context.select().from(table(""complete_car_listing"")).fetchSize(100).fetchLazy()",Using `select()` without specifying columns fetches all columns from the table. Explicitly list only the columns needed for CompleteVehicleRecord to reduce data transfer and improve performance.
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqSelect.java,105,105,"final Stream<Record> records = context.select().from(table(""complete_car_listing"")).fetchSize(100).fetchStream()",Using `select()` without specifying columns fetches all columns from the table. Explicitly list only the required columns to avoid unnecessary data retrieval.
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqSelect.java,116,116,"List<CompleteVehicleRecord> allVehicles = context.select().from(table(""complete_car_listing"")).fetchInto(CompleteVehicleRecord.class);",Using `select()` without specifying columns fetches all columns from the table. Specify only the columns needed for CompleteVehicleRecord to optimize the query.
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqSelect.java,226,226,"SelectConditionStep<Record> potentialDealsQuery = context.select().from(table(name(""complete_car_listing""))).where(row(vehicleId, price).in(mostRecentPriceReduction));",Using `select()` without specifying columns fetches all columns from the complete_car_listing table. Explicitly list only the columns required for the CompleteVehicleRecord to improve query performance.
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqSelect.java,248,248,"List<CompleteVehicleRecord> allVehicles = context.select().from(table(""complete_car_listing"")).where(customCondition).fetchInto(CompleteVehicleRecord.class);",Using `select()` without specifying columns fetches all columns from the table. Specify only the columns needed for CompleteVehicleRecord to avoid fetching unnecessary data.
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-3/src/main/java/com/apress/jooq/executable/JooqWithDataSource.java,20,20,"ResultQuery resultQuery = context.resultQuery(""SELECT * FROM edens_car.complete_car_listing"");","Using SELECT * fetches all columns from the table, which can lead to performance issues and brittle code if the table schema changes. Replace the wildcard with an explicit list of only the columns needed for the CompleteVehicleRecord class."
Apress_beginning-jooq,Keyless Entry,jooq-demo-ch-3/target/generated-sources/java/com/apress/jooq/generated/tables/Vehicle.java,94,94,"public final TableField<VehicleRecord, Long> VEHICLE_TRIM = createField(DSL.name(""vehicle_trim""), SQLDataType.BIGINT.nullable(false), this, """");","The VEHICLE_TRIM column appears to reference the VehicleTrim table (which has KEY_VEHICLE_TRIM_PRIMARY on TRIM_ID) but lacks a foreign key constraint, risking referential integrity. Add a foreign key constraint referencing VehicleTrim.TRIM_ID to ensure data consistency."
Apress_beginning-jooq,Keyless Entry,jooq-demo-ch-3/target/generated-sources/java/com/apress/jooq/generated/tables/VehicleArchive.java,94,94,"public final TableField<VehicleArchiveRecord, Long> VEHICLE_TRIM = createField(DSL.name(""vehicle_trim""), SQLDataType.BIGINT.nullable(false), this, """");","The VEHICLE_TRIM column appears to reference the VehicleTrim table (based on naming convention and the existence of KEY_VEHICLE_TRIM_PRIMARY), but no foreign key constraint is defined for it in the Keys class. Add a foreign key constraint referencing VehicleTrim.TRIM_ID to ensure referential integrity."
Apress_beginning-jooq,ID Required,jooq-demo-ch-3/target/generated-sources/java/com/apress/jooq/generated/tables/VehicleManufacturer.java,54,54,"public final TableField<VehicleManufacturerRecord, Long> MANUFACTURER_ID = createField(DSL.name(""manufacturer_id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key (manufacturer_id) even though a unique constraint exists on manufacturer_name, which could serve as a natural primary key. Consider using manufacturer_name as the primary key if it is stable and immutable, or keep the surrogate key if the name may change."
Apress_beginning-jooq,Beware of the Unknown,jooq-demo-ch-3/target/generated-sources/java/com/apress/jooq/generated/tables/VehicleModel.java,76,76,"public final TableField<VehicleModelRecord, Long> VERSION = createField(DSL.name(""version""), SQLDataType.BIGINT, this, """");",The VERSION column is marked as NULLABLE but version columns typically should never be NULL in practice as they are used for optimistic locking. Consider making this column NOT NULL with a default value of 0 or 1.
Apress_beginning-jooq,Beware of the Unknown,jooq-demo-ch-3/target/generated-sources/java/com/apress/jooq/generated/tables/VehiclePriceChange.java,78,78,"public final TableField<VehiclePriceChangeRecord, LocalDateTime> LAST_CHANGED = createField(DSL.name(""last_changed""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(""CURRENT_TIMESTAMP"", SQLDataType.LOCALDATETIME)), this, """");","The LAST_CHANGED column has a default value but is marked as NULLABLE (no explicit .nullable(false)), which means it can never be NULL in practice since it defaults to CURRENT_TIMESTAMP. Consider adding .nullable(false) to the column definition to enforce this constraint at the database level."
Apress_beginning-jooq,Beware of the Unknown,jooq-demo-ch-3/target/generated-sources/java/com/apress/jooq/generated/tables/VehiclePriceChange.java,83,83,"public final TableField<VehiclePriceChangeRecord, Long> VERSION = createField(DSL.name(""version""), SQLDataType.BIGINT, this, """");",The VERSION column is marked as NULLABLE without any clear semantic reason for allowing NULL values. Version columns typically should not be NULL as they track record changes. Consider making this column NOT NULL with a default value of 0 or 1.
Apress_beginning-jooq,Beware of the Unknown,jooq-demo-ch-3/target/generated-sources/java/com/apress/jooq/generated/tables/VehicleStyle.java,66,66,"public final TableField<VehicleStyleRecord, Long> VERSION = createField(DSL.name(""version""), SQLDataType.BIGINT, this, """");",The VERSION column is marked as NULLABLE but version columns are typically always set (either to an initial value or incremented on updates) and should never be NULL in practice. Consider adding a NOT NULL constraint with a default value of 0 or 1.
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-4/src/main/java/com/apress/jooq/executable/JooqBatch.java,18,18,Result<Record> results = context.select().from(VEHICLE).fetch();,"Using `select()` without specifying columns fetches all columns from the VEHICLE table, which can retrieve unnecessary data and hurt performance. Explicitly list only the columns needed, e.g., `context.select(VEHICLE.VEHICLE_ID, VEHICLE.VEHICLE_COLOR, ...).from(VEHICLE).fetch()`."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-4/src/main/java/com/apress/jooq/executable/JooqInsert.java,22,22,".select(DSL.selectFrom(""vehicle"").where(""datediff(date(now()),created) > 365""))","Using `selectFrom(""vehicle"")` selects all columns from the vehicle table, which fetches unnecessary data and can cause issues if the table schema changes. Explicitly specify only the columns needed for the vehicle_archive table."
Apress_beginning-jooq,Implicit Columns,jooq-demo-ch-4/src/main/java/com/apress/jooq/executable/JooqJoin.java,41,41,.select(VEHICLE_MANUFACTURER.fields()),"Using `fields()` selects all columns from the VEHICLE_MANUFACTURER table, which may fetch unnecessary data and reduce query performance. Explicitly list only the required columns from VEHICLE_MANUFACTURER instead of using `fields()`."
