Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresCategoryGateway.java,29,29,return dsl.selectFrom(CATEGORIES),"Using selectFrom(CATEGORIES) fetches all columns from the CATEGORIES table, even though only id, title, and image are used. Replace with an explicit select statement: dsl.select(CATEGORIES.ID, CATEGORIES.TITLE, CATEGORIES.IMAGE).from(CATEGORIES)."
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresCategoryGateway.java,39,39,return dsl.selectFrom(CATEGORIES),"Using selectFrom(CATEGORIES) fetches all columns from the CATEGORIES table when only id, title, and image are needed. Replace with an explicit select: dsl.select(CATEGORIES.ID, CATEGORIES.TITLE, CATEGORIES.IMAGE).from(CATEGORIES)."
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresCommentGateway.java,25,25,return dsl.selectFrom(COMMENTS),"Using selectFrom(COMMENTS) fetches all columns from the COMMENTS table, which may retrieve unnecessary data. Consider using an explicit select() with only the columns needed for building the Comment object."
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresCommentGateway.java,31,31,return dsl.selectFrom(COMMENTS),"Using selectFrom(COMMENTS) fetches all columns from the COMMENTS table when only specific fields are used. Replace with an explicit select() specifying only the required columns (ID, POST_ID, USER_ID, CONTENT, RATING, CREATED_AT)."
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresCommentGateway.java,38,38,return dsl.selectFrom(COMMENTS),Using selectFrom(COMMENTS) retrieves all columns from the COMMENTS table implicitly. Use select() with explicit column references to fetch only the columns needed for the Comment mapping.
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresPostGateway.java,28,28,return dsl.selectFrom(POSTS),"Using selectFrom(POSTS) fetches all columns from the POSTS table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for building the Post object."
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresPostGateway.java,34,34,return dsl.selectFrom(POSTS),"Using selectFrom(POSTS) fetches all columns from the POSTS table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for building the Post object."
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresPostGateway.java,41,41,return dsl.selectFrom(POSTS),"Using selectFrom(POSTS) fetches all columns from the POSTS table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for building the Post object."
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresPostGateway.java,48,48,return dsl.selectFrom(POSTS),"Using selectFrom(POSTS) fetches all columns from the POSTS table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for building the Post object."
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresUserGateway.java,27,27,return dsl.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table, including potentially sensitive data like PASSWORD_HASH that may not be needed. Consider using an explicit select() with only the required columns."
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresUserGateway.java,33,33,return dsl.selectFrom(USERS),Using selectFrom(USERS) retrieves all columns from the USERS table when only specific user fields are needed. Replace with an explicit select() listing only the columns required for building the User object.
matuolis_vehicle-marketplace-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresUserGateway.java,86,86,Optional<UsersRecord> userByUsername = dsl.selectFrom(USERS),Using selectFrom(USERS) fetches all columns into a UsersRecord when only USERNAME and PASSWORD_HASH are needed for login verification. Use an explicit select() with only the necessary columns to improve performance and security.
matuolis_vehicle-marketplace-be,ID Required,src/main/java/org/example/generated/jooq/tables/Categories.java,60,60,"public final TableField<CategoriesRecord, Object> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.OTHER.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'category_id'. Consider renaming the column to 'category_id' to make it self-documenting and avoid ambiguity when joining tables.
matuolis_vehicle-marketplace-be,ID Required,src/main/java/org/example/generated/jooq/tables/Comments.java,60,60,"public final TableField<CommentsRecord, Object> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.OTHER.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'comment_id'. Consider renaming the column to 'comment_id' to make it self-documenting and avoid ambiguity when joining tables.
