Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
GAIM-Tech-OM_killbill-ompay-plugin,Beware of the Unknown,src/main/java/org/killbill/billing/plugin/ompay/dao/gen/tables/OmpayPaymentMethods.java,72,72,"public final TableField<OmpayPaymentMethodsRecord, String> OMPAY_PAYER_ID = createField(DSL.name(""ompay_payer_id""), SQLDataType.VARCHAR(255).defaultValue(DSL.field(""NULL::character varying"", SQLDataType.VARCHAR)), this, """");","The column OMPAY_PAYER_ID has a default value of NULL but is implicitly nullable, which is redundant and confusing. If the column is intended to be nullable, explicitly mark it as nullable without a default value, or if it should always have a value, make it NOT NULL with a meaningful default."
GAIM-Tech-OM_killbill-ompay-plugin,Beware of the Unknown,src/main/java/org/killbill/billing/plugin/ompay/dao/gen/tables/OmpayPaymentMethods.java,93,93,"public final TableField<OmpayPaymentMethodsRecord, String> ADDITIONAL_DATA = createField(DSL.name(""additional_data""), SQLDataType.CLOB.defaultValue(DSL.field(""NULL::text"", SQLDataType.CLOB)), this, """");","The column ADDITIONAL_DATA has a default value of NULL but is implicitly nullable, which is redundant and confusing. If the column is intended to be nullable, explicitly mark it as nullable without a default value, or if it should always have a value, make it NOT NULL with a meaningful default."
GAIM-Tech-OM_killbill-ompay-plugin,Implicit Columns,src/main/java/org/killbill/billing/plugin/ompay/dao/OmPayDao.java,183,183,return dslContext.selectFrom(OMPAY_RESPONSES),"Using selectFrom() fetches all columns from the OMPAY_RESPONSES table, which may retrieve more data than needed. Consider using select() with only the specific columns required for the toPaymentTransactionInfoPlugin mapping."
GAIM-Tech-OM_killbill-ompay-plugin,Implicit Columns,src/main/java/org/killbill/billing/plugin/ompay/dao/OmPayDao.java,200,200,List<OmpayResponsesRecord> records = dslContext.selectFrom(OMPAY_RESPONSES),Using selectFrom() fetches all columns from the OMPAY_RESPONSES table when only specific fields may be needed. Consider selecting only the columns required for the subsequent filtering and processing.
GAIM-Tech-OM_killbill-ompay-plugin,Implicit Columns,src/main/java/org/killbill/billing/plugin/ompay/dao/OmPayDao.java,302,302,return dslContext.selectFrom(OMPAY_RESPONSES),Using selectFrom() retrieves all columns from OMPAY_RESPONSES when only specific fields may be needed. Consider using select() with explicit column names to improve query efficiency.
GAIM-Tech-OM_killbill-ompay-plugin,Implicit Columns,src/main/java/org/killbill/billing/plugin/ompay/dao/OmPayDao.java,317,317,return dslContext.selectFrom(OMPAY_PAYMENT_METHODS),Using selectFrom() fetches all columns from OMPAY_PAYMENT_METHODS. Consider selecting only the columns actually needed for the operation.
GAIM-Tech-OM_killbill-ompay-plugin,Implicit Columns,src/main/java/org/killbill/billing/plugin/ompay/dao/OmPayDao.java,436,436,List<OmpayPaymentMethodsRecord> localPms = dslContext.selectFrom(OMPAY_PAYMENT_METHODS),"Using selectFrom() retrieves all columns from OMPAY_PAYMENT_METHODS when only RECORD_ID, OMPAY_CREDIT_CARD_ID, and KB_PAYMENT_METHOD_ID are used. Consider selecting only the required columns."
GAIM-Tech-OM_killbill-ompay-plugin,Poor Man's Search Engine,src/main/java/org/killbill/billing/plugin/ompay/dao/OmPayDao.java,546,551,"Condition searchCondition = OMPAY_RESPONSES.KB_PAYMENT_ID.likeIgnoreCase(""%"" + searchKey + ""%"")
                    .or(OMPAY_RESPONSES.KB_PAYMENT_TRANSACTION_ID.likeIgnoreCase(""%"" + searchKey + ""%""))
                    .or(OMPAY_RESPONSES.OMPAY_TRANSACTION_ID.likeIgnoreCase(""%"" + searchKey + ""%""))
                    .or(OMPAY_RESPONSES.OMPAY_REFERENCE_ID.likeIgnoreCase(""%"" + searchKey + ""%""))
                    .or(OMPAY_RESPONSES.OMPAY_PAYER_ID.likeIgnoreCase(""%"" + searchKey + ""%""))
                    .or(OMPAY_RESPONSES.ADDITIONAL_DATA.likeIgnoreCase(""%"" + searchKey + ""%""));",Using LIKE with wildcards on both sides ('%searchKey%') for full-text search is inefficient and cannot use indexes. Consider using a proper full-text search engine like PostgreSQL's tsvector/tsquery or Elasticsearch for better performance.
GAIM-Tech-OM_killbill-ompay-plugin,Implicit Columns,src/main/java/org/killbill/billing/plugin/ompay/dao/OmPayDao.java,553,553,return dslContext.selectFrom(OMPAY_RESPONSES),Using selectFrom() fetches all columns from OMPAY_RESPONSES. Consider selecting only the columns needed for the toPaymentTransactionInfoPlugin mapping.
GAIM-Tech-OM_killbill-ompay-plugin,Poor Man's Search Engine,src/main/java/org/killbill/billing/plugin/ompay/dao/OmPayDao.java,578,583,"Condition searchCondition = OMPAY_RESPONSES.KB_PAYMENT_ID.likeIgnoreCase(""%"" + searchKey + ""%"")
                    .or(OMPAY_RESPONSES.KB_PAYMENT_TRANSACTION_ID.likeIgnoreCase(""%"" + searchKey + ""%""))
                    .or(OMPAY_RESPONSES.OMPAY_TRANSACTION_ID.likeIgnoreCase(""%"" + searchKey + ""%""))
                    .or(OMPAY_RESPONSES.OMPAY_REFERENCE_ID.likeIgnoreCase(""%"" + searchKey + ""%""))
                    .or(OMPAY_RESPONSES.OMPAY_PAYER_ID.likeIgnoreCase(""%"" + searchKey + ""%""))
                    .or(OMPAY_RESPONSES.ADDITIONAL_DATA.likeIgnoreCase(""%"" + searchKey + ""%""));",Using LIKE with wildcards on both sides for searching across multiple columns is inefficient and will result in full table scans. Consider implementing a dedicated full-text search solution or creating appropriate indexes.
