Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Missssha_Tinkofff-Back,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Chat.java,59,60,"public final TableField<ChatRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is generically named 'ID' instead of a more descriptive name like 'chat_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'chat_id'."
Missssha_Tinkofff-Back,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/ChatLink.java,61,62,"public final TableField<ChatLinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a synthetic auto-generated 'ID' primary key even though a natural composite unique key (CHAT_ID, LINK_ID) already exists via CONSTRAINT_8, which would serve as a suitable primary key for this junction table. Consider removing the synthetic ID column and using the composite key (CHAT_ID, LINK_ID) as the primary key instead."
Missssha_Tinkofff-Back,Keyless Entry,scrapper/src/main/java/edu/java/domain/jooq/tables/ChatLink.java,67,68,"public final TableField<ChatLinkRecord, Long> CHAT_ID =
    createField(DSL.name(""CHAT_ID""), SQLDataType.BIGINT.nullable(false), this, """");","The CHAT_ID column references the Chat table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing PK_CHAT (Chat.ID) to ensure data consistency."
Missssha_Tinkofff-Back,Keyless Entry,scrapper/src/main/java/edu/java/domain/jooq/tables/ChatLink.java,73,74,"public final TableField<ChatLinkRecord, Long> LINK_ID =
    createField(DSL.name(""LINK_ID""), SQLDataType.BIGINT.nullable(false), this, """");","The LINK_ID column references the Link table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing PK_LINK (Link.ID) to ensure data consistency."
Missssha_Tinkofff-Back,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Link.java,62,63,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' as the primary key name, while a unique constraint on 'URL' (CONSTRAINT_2) already exists and could serve as a natural primary key. Consider using 'URL' as the primary key since URLs are unique and immutable, or rename the synthetic key to something more descriptive like 'link_id'."
Missssha_Tinkofff-Back,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/LinksSof.java,59,60,"public final TableField<LinksSofRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but the LINK_ID column could serve as a natural primary key since it likely references a unique link. Consider using LINK_ID as the primary key or renaming ID to something more descriptive like 'links_sof_id'."
Missssha_Tinkofff-Back,Keyless Entry,scrapper/src/main/java/edu/java/domain/jooq/tables/LinksSof.java,65,66,"public final TableField<LinksSofRecord, Long> LINK_ID =
    createField(DSL.name(""LINK_ID""), SQLDataType.BIGINT.nullable(false), this, """");","The LINK_ID column appears to reference the Link table (which has PK_LINK defined) but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing Link.ID to ensure data consistency."
Missssha_Tinkofff-Back,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqChatRepository.java,28,28,return dslContext.selectFrom(CHAT).fetch();,"Using selectFrom(CHAT) fetches all columns from the CHAT table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns using select(CHAT.CHAT_ID, ...).from(CHAT)."
Missssha_Tinkofff-Back,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,36,36,return dslContext.selectFrom(LINK).fetch();,"Using selectFrom(LINK) fetches all columns from the LINK table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using select(LINK.ID, LINK.URL, ...).from(LINK)."
Missssha_Tinkofff-Back,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,46,46,"return dslContext.resultQuery(""select * from LINK where EXTRACT(SECOND FROM (now() -last_check_time )) > 30"")","Using 'select *' fetches all columns from the LINK table, which retrieves unnecessary data and reduces maintainability. Consider explicitly listing only the required columns in the SELECT clause."
Missssha_Tinkofff-Back,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,59,59,return dslContext.selectFrom(LINKS_SOF),"Using selectFrom(LINKS_SOF) fetches all columns from the LINKS_SOF table, which can retrieve unnecessary data. Consider explicitly selecting only the required columns using select(...).from(LINKS_SOF)."
