Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
KEN3pei_oauth-hands-on,Implicit Columns,authorization_server/src/main/java/com/example/authorization_server/infrastructure/client/ClientRepository.java,25,25,ClientsRecord clientRecord = create.selectFrom(CLIENTS),"Using `selectFrom(CLIENTS)` fetches all columns from the CLIENTS table into a record, which may retrieve unnecessary data. Consider using `select()` with only the specific columns needed for this operation."
KEN3pei_oauth-hands-on,Implicit Columns,authorization_server/src/main/java/com/example/authorization_server/infrastructure/code/CodeRepository.java,24,24,CodesRecord codesRecord = create.selectFrom(CODES),"Using `selectFrom(CODES)` fetches all columns from the CODES table into a CodesRecord, which may retrieve unnecessary data. Consider using an explicit column selection like `select(CODES.CODE, CODES.QUERY).from(CODES)` to fetch only the required columns."
KEN3pei_oauth-hands-on,Implicit Columns,authorization_server/src/main/java/com/example/authorization_server/infrastructure/request/RequestRepository.java,24,24,RequestsRecord requestRecord = create.selectFrom(REQUESTS),"Using selectFrom(REQUESTS) fetches all columns from the REQUESTS table into a record, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this operation."
KEN3pei_oauth-hands-on,Implicit Columns,authorization_server/src/main/java/com/example/authorization_server/infrastructure/user/UserRepository.java,26,26,UsersRecord userRecord = create.selectFrom(USERS),"Using `selectFrom(USERS)` fetches all columns from the USERS table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `select(USERS.ID, USERS.EMAIL, ...).from(USERS)`."
KEN3pei_oauth-hands-on,Beware of the Unknown,authorization_server/src/main/java/com/example/authorization_server/jooq/com/example/authorization_server/jooq/tables/Codes.java,61,61,"public final TableField<CodesRecord, JSON> QUERY = createField(DSL.name(""query""), SQLDataType.JSON, this, """");","The QUERY column is marked as NULLABLE (no .nullable(false) constraint) but likely should always have a value since it stores the query data associated with a code. Consider adding a NOT NULL constraint if a query is always required, or document why NULL is a valid state for this column."
KEN3pei_oauth-hands-on,Keyless Entry,authorization_server/src/main/java/com/example/authorization_server/jooq/com/example/authorization_server/jooq/tables/Token.java,60,60,"public final TableField<TokenRecord, String> CLIENT_ID = createField(DSL.name(""client_id""), SQLDataType.VARCHAR(100).nullable(false), this, """");",The CLIENT_ID column appears to reference the Clients table (which has KEY_CLIENTS_PRIMARY on CLIENT_ID) but lacks a foreign key constraint. Add a foreign key constraint referencing the Clients table to ensure referential integrity.
KEN3pei_oauth-hands-on,ID Required,authorization_server/src/main/java/com/example/authorization_server/jooq/com/example/authorization_server/jooq/tables/Users.java,57,57,"public final TableField<UsersRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(10).nullable(false), this, """");","The table uses a synthetic primary key named 'id' even though there's already a unique constraint on 'email' which could serve as a natural primary key. Consider using 'email' as the primary key since it's already unique and immutable by nature, or rename the primary key to something more descriptive like 'user_id'."
KEN3pei_oauth-hands-on,Implicit Columns,client_application/src/main/java/com/auth/client_application/infrastructures/user/UserRepository.java,24,24,UsersRecord userRecord = create.selectFrom(Users.USERS),"Using selectFrom(Users.USERS) fetches all columns from the Users table into a UsersRecord, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this operation."
KEN3pei_oauth-hands-on,Implicit Columns,client_application/src/main/java/com/auth/client_application/infrastructures/user/UserRepository.java,35,35,UsersRecord userRecord = create.selectFrom(Users.USERS),"Using selectFrom(Users.USERS) fetches all columns from the Users table into a UsersRecord, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this operation."
KEN3pei_oauth-hands-on,ID Required,client_application/src/main/java/com/auth/client_application/jooq/tables/Users.java,57,57,"public final TableField<UsersRecord, String> ID = createField(DSL.name(""id""), SQLDataType.VARCHAR(10).nullable(false), this, """");","The table uses a generic 'id' column as the primary key while a unique constraint on 'email' already exists, which could serve as a natural primary key. Consider using 'email' as the primary key or renaming the synthetic key to something more descriptive like 'user_id'."
