Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/EpisodeMiddlewares.java,23,23,if (create.select(),"Using select() without specifying columns fetches all columns from the EPISODES table, which is inefficient for an existence check. Use fetchExists() instead, or select only the primary key column like select(EPISODES.EPISODEID)."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/EpisodeMiddlewares.java,41,41,if (!create.select(),Using select() without specifying columns fetches all columns from the EPISODES table when only checking for existence. Replace with fetchExists() or select only the necessary column like select(EPISODES.EPISODEID).
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/EpisodeMiddlewares.java,63,63,if (create.select(),Using select() without specifying columns fetches all columns from the joined SEASONS and EPISODES tables unnecessarily. Use fetchExists() for existence checks or explicitly select only the required columns.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/EpisodeMiddlewares.java,85,85,peopleList = create.select(),"Using select() without specifying columns fetches all columns from PEOPLE, PEOPLEEPISODES, and EPISODES tables when only checking if records exist. Use fetchExists() or select only the columns needed for the check."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/EpisodeMiddlewares.java,111,111,peopleList = create.select(),Using select() without specifying columns fetches all columns from the joined tables when only checking for existence. Use fetchExists() or explicitly select only the required columns to improve performance.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/GenresMiddlewares.java,22,22,create.select(),"Using select() without specifying columns fetches all columns from the GENRES table, which is inefficient for an existence check. Use fetchExists() instead, or select only the specific column needed like select(GENRES.GENREID)."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/GenresMiddlewares.java,42,42,create.select(),"Using select() without specifying columns fetches all columns from the GENRES table, which is inefficient for an existence check. Use fetchExists() instead, or select only the specific column needed like select(GENRES.GENREID)."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/GenresMiddlewares.java,61,61,create.select(),"Using select() without specifying columns fetches all columns from the GENRES table into Genres POJOs, which is inefficient for an existence check. Use fetchExists() instead, or select only the specific column needed like select(GENRES.GENREID)."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/ListMiddlewares.java,27,27,if (create.select(),"Using select() without specifying columns fetches all columns from the LISTS table, but only the existence check is needed. Replace with fetchExists() or select a specific column like LISTS.LISTID."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/ListMiddlewares.java,45,45,if (create.select(),Using select() without specifying columns fetches all columns from both LISTS and LISTMEDIA tables when only checking for existence. Replace with fetchExists() or select a specific column.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/ListMiddlewares.java,65,65,if (create.select(),Using select() without specifying columns fetches all columns from both tables when only checking if a record exists. Replace with fetchExists() or select a specific column.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/ListMiddlewares.java,85,85,if (!create.select(),Using select() without specifying columns fetches all columns from LISTS when only LISTS.USERID is needed. Replace with select(LISTS.USERID) to fetch only the required column.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/MediaMiddlewares.java,37,37,if (create.select(),"Using select() without specifying columns fetches all columns from the MEDIA table, which is inefficient for an existence check. Replace with selectOne() or fetchExists() to only check if a record exists."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/MediaMiddlewares.java,57,57,List<Media> oldMediaList = create.select(),"Using select() without specifying columns fetches all columns from the joined tables, but only Media fields are needed. Explicitly select only the columns required for the Media POJO (e.g., MEDIA.MEDIAID, MEDIA.TITLE, etc.)."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/MediaMiddlewares.java,82,82,List<Media> oldMedia = create.select(),Using select() without specifying columns fetches all columns when only checking for existence. Use fetchExists() or selectOne() instead to improve query efficiency.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/MediaMiddlewares.java,102,102,if (create.select(),Using select() without specifying columns fetches all columns from the joined tables for a simple existence check. Replace with fetchExists() or selectOne() to avoid fetching unnecessary data.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/MediaMiddlewares.java,122,122,if (!create.select(),Using select() without specifying columns fetches all columns from the joined tables for a simple existence check. Replace with fetchExists() or selectOne() to avoid fetching unnecessary data.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/MediaMiddlewares.java,147,147,peopleList = create.select(),Using select() without specifying columns fetches all columns from multiple joined tables when only checking for existence. Use fetchExists() or selectOne() instead.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/MediaMiddlewares.java,177,177,peopleList = create.select(),Using select() without specifying columns fetches all columns from multiple joined tables when only checking for existence. Use fetchExists() or selectOne() instead.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/MediaMiddlewares.java,203,203,Result<Record> reviewList = create.select(),Using select() without specifying columns fetches all columns from the joined tables for a simple existence check. Replace with fetchExists() or selectOne() to avoid fetching unnecessary data.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/MediaMiddlewares.java,227,227,Result<Record> reviewList = create.select(),Using select() without specifying columns fetches all columns from the joined tables for a simple existence check. Replace with fetchExists() or selectOne() to avoid fetching unnecessary data.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/PeopleMiddlewares.java,22,22,if(create.select(),"Using select() without specifying columns fetches all columns from the PEOPLE table, which is inefficient for an existence check. Replace with selectOne() or use fetchExists() instead."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/PeopleMiddlewares.java,42,43,"if(person.getBirthdate()!=null && !create.select()
                    .from(PEOPLE)",Using select() without specifying columns fetches all columns from the PEOPLE table when only checking for existence. Replace with selectOne() or use fetchExists() instead.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/PeopleMiddlewares.java,50,51,"} else if(!create.select()
                    .from(PEOPLE)",Using select() without specifying columns fetches all columns from the PEOPLE table when only checking for existence. Replace with selectOne() or use fetchExists() instead.
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/PlatformsMiddlewares.java,25,25,platformList = create.select(),"Using select() without specifying columns fetches all columns from the PLATFORMS table, which is inefficient when only checking for existence. Use fetchExists() or select specific columns like PLATFORMS.PLATFORMID instead."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/PlatformsMiddlewares.java,30,30,platformList = create.select(),"Using select() without specifying columns fetches all columns from the PLATFORMS table, which is inefficient when only checking for existence. Use fetchExists() or select specific columns like PLATFORMS.PLATFORMID instead."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/PlatformsMiddlewares.java,54,54,platformList = create.select(),"Using select() without specifying columns fetches all columns from the PLATFORMS table, which is inefficient when only checking for existence. Use fetchExists() or select specific columns like PLATFORMS.PLATFORMID instead."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/PlatformsMiddlewares.java,59,59,platformList = create.select(),"Using select() without specifying columns fetches all columns from the PLATFORMS table, which is inefficient when only checking for existence. Use fetchExists() or select specific columns like PLATFORMS.PLATFORMID instead."
TunixR_HarmonyAPI,Implicit Columns,src/main/java/api/middlewares/ReportMiddlewares.java,24,24,Result<Record> reportList = create.select(),"Using `select()` without specifying columns fetches all columns from the REPORTS table, which is inefficient when only checking for existence. Replace with `fetchExists()` or select only the primary key column."
