Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
hevan_agri-cloud,ID Required,agri-mis/src/main/java/com/agri/mis/db/tables/Address.java,57,57,"public final TableField<AddressRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' rather than a more descriptive name like 'address_id'. Consider renaming the column to 'address_id' to make foreign key references self-documenting and avoid ambiguity in queries with multiple joined tables.
hevan_agri-cloud,ID Required,agri-mis/src/main/java/com/agri/mis/db/tables/BatchBase.java,57,57,"public final TableField<BatchBaseRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'batch_base_id'. Consider renaming the primary key to include the table name for better clarity when used in joins and foreign key references.
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchBase.java,62,62,"public final TableField<BatchBaseRecord, Long> BATCH_ID = createField(DSL.name(""batch_id""), SQLDataType.BIGINT, this, """");",The column 'batch_id' appears to reference another table (likely BatchProduct based on the naming convention and available keys) but lacks a foreign key constraint. Add a foreign key constraint to ensure referential integrity.
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchBase.java,67,67,"public final TableField<BatchBaseRecord, Long> PARK_BASE_ID = createField(DSL.name(""park_base_id""), SQLDataType.BIGINT, this, """");",The column 'park_base_id' appears to reference the CorpParkBase table (PARK_BASE_PKEY exists) but lacks a foreign key constraint. Add a foreign key constraint to CorpParkBase.ID to ensure referential integrity.
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchBase.java,92,92,"public final TableField<BatchBaseRecord, Long> CORP_ID = createField(DSL.name(""corp_id""), SQLDataType.BIGINT, this, """");",The column 'corp_id' appears to reference the Corp table (CORP_PKEY exists) but lacks a foreign key constraint. Add a foreign key constraint to Corp.ID to ensure referential integrity.
hevan_agri-cloud,Rounding Errors,agri-mis/src/main/java/com/agri/mis/db/tables/BatchBase.java,72,72,"public final TableField<BatchBaseRecord, Double> AREA = createField(DSL.name(""area""), SQLDataType.DOUBLE, this, """");",The 'area' column uses DOUBLE which can cause rounding errors for precise measurements. Consider using DECIMAL or NUMERIC with appropriate precision and scale for accurate area calculations.
hevan_agri-cloud,Rounding Errors,agri-mis/src/main/java/com/agri/mis/db/tables/BatchBase.java,77,77,"public final TableField<BatchBaseRecord, Double> QUANTITY = createField(DSL.name(""quantity""), SQLDataType.DOUBLE, this, """");",The 'quantity' column uses DOUBLE which can cause rounding errors for precise values. Consider using DECIMAL or NUMERIC with appropriate precision and scale for accurate quantity tracking.
hevan_agri-cloud,ID Required,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycle.java,59,59,"public final TableField<BatchCycleRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'batch_cycle_id'. Consider renaming the column to 'batch_cycle_id' to make foreign key references self-documenting and avoid ambiguity in joins.
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycle.java,94,94,"public final TableField<BatchCycleRecord, Long> BATCH_ID = createField(DSL.name(""batch_id""), SQLDataType.BIGINT, this, """");","The 'batch_id' column appears to reference the BatchBase table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the BatchBase table's primary key."
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycle.java,104,104,"public final TableField<BatchCycleRecord, Long> PARENT_ID = createField(DSL.name(""parent_id""), SQLDataType.BIGINT, this, """");",The 'parent_id' column appears to be a self-referencing foreign key to the BatchCycle table but lacks a foreign key constraint. Add a foreign key constraint referencing the BatchCycle table's primary key to ensure referential integrity.
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycle.java,114,114,"public final TableField<BatchCycleRecord, Long> CREATED_USER_ID = createField(DSL.name(""created_user_id""), SQLDataType.BIGINT, this, """");",The 'created_user_id' column appears to reference the Users table but lacks a foreign key constraint. Add a foreign key constraint referencing the Users table's primary key to maintain data integrity.
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycle.java,134,134,"public final TableField<BatchCycleRecord, Long> CORP_ID = createField(DSL.name(""corp_id""), SQLDataType.BIGINT, this, """");",The 'corp_id' column appears to reference the Corp table but lacks a foreign key constraint. Add a foreign key constraint referencing the Corp table's primary key to prevent orphaned records.
hevan_agri-cloud,Rounding Errors,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycle.java,109,109,"public final TableField<BatchCycleRecord, Double> PROGRESS = createField(DSL.name(""progress""), SQLDataType.DOUBLE, this, """");","The 'progress' column uses DOUBLE which can cause rounding errors for precise calculations. If this represents a percentage or fixed-precision value, consider using NUMERIC or DECIMAL type instead for accurate storage and calculations."
hevan_agri-cloud,ID Required,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycleExecute.java,58,58,"public final TableField<BatchCycleExecuteRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' rather than a more descriptive name like 'batch_cycle_execute_id'. Consider renaming the column to include the table name for clarity when joining tables and to avoid ambiguity in queries.
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycleExecute.java,78,78,"public final TableField<BatchCycleExecuteRecord, Long> CREATED_USER_ID = createField(DSL.name(""created_user_id""), SQLDataType.BIGINT, this, """");","The 'created_user_id' column appears to reference the Users table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Users table's primary key."
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycleExecute.java,83,83,"public final TableField<BatchCycleExecuteRecord, Long> BATCH_CYCLE_ID = createField(DSL.name(""batch_cycle_id""), SQLDataType.BIGINT, this, """");","The 'batch_cycle_id' column appears to reference the BatchCycle table but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing the BatchCycle table's primary key."
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycleExecute.java,108,108,"public final TableField<BatchCycleExecuteRecord, Long> CORP_ID = createField(DSL.name(""corp_id""), SQLDataType.BIGINT, this, """");","The 'corp_id' column appears to reference the Corp table but lacks a foreign key constraint, which could allow invalid corporation references. Add a foreign key constraint referencing the Corp table's primary key."
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycleExecute.java,113,113,"public final TableField<BatchCycleExecuteRecord, Long> BATCH_ID = createField(DSL.name(""batch_id""), SQLDataType.BIGINT, this, """");","The 'batch_id' column appears to reference the BatchBase table but lacks a foreign key constraint, risking data integrity issues. Add a foreign key constraint referencing the BatchBase table's primary key."
hevan_agri-cloud,Rounding Errors,agri-mis/src/main/java/com/agri/mis/db/tables/BatchCycleExecute.java,103,103,"public final TableField<BatchCycleExecuteRecord, Double> PROGRESS = createField(DSL.name(""progress""), SQLDataType.DOUBLE, this, """");",The 'progress' column uses DOUBLE which can cause rounding errors for fixed-precision values like percentages. Consider using DECIMAL or NUMERIC type instead for accurate representation of progress values.
hevan_agri-cloud,ID Required,agri-mis/src/main/java/com/agri/mis/db/tables/BatchProduct.java,59,59,"public final TableField<BatchProductRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'batch_product_id'. Consider renaming the column to include the table name for clarity and to avoid ambiguity in joins.
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchProduct.java,74,74,"public final TableField<BatchProductRecord, Long> PRODUCT_ID = createField(DSL.name(""product_id""), SQLDataType.BIGINT, this, """");","The 'product_id' column appears to reference the Product table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Product table's primary key."
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchProduct.java,104,104,"public final TableField<BatchProductRecord, Long> CORP_ID = createField(DSL.name(""corp_id""), SQLDataType.BIGINT, this, """");","The 'corp_id' column appears to reference the Corp table but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing the Corp table's primary key."
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchProduct.java,114,114,"public final TableField<BatchProductRecord, Long> PARK_ID = createField(DSL.name(""park_id""), SQLDataType.BIGINT.nullable(false), this, """");","The 'park_id' column appears to reference the CorpPark table but lacks a foreign key constraint, which could allow invalid park references. Add a foreign key constraint referencing the CorpPark table's primary key."
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchProduct.java,119,119,"public final TableField<BatchProductRecord, Long> CREATED_USER_ID = createField(DSL.name(""created_user_id""), SQLDataType.BIGINT, this, """");","The 'created_user_id' column appears to reference the Users table but lacks a foreign key constraint, which could lead to references to non-existent users. Add a foreign key constraint referencing the Users table's primary key."
hevan_agri-cloud,Rounding Errors,agri-mis/src/main/java/com/agri/mis/db/tables/BatchProduct.java,99,99,"public final TableField<BatchProductRecord, Double> AREA = createField(DSL.name(""area""), SQLDataType.DOUBLE, this, """");",The 'area' column uses DOUBLE which can cause floating-point precision errors in calculations. Consider using NUMERIC or DECIMAL with appropriate precision and scale for accurate area measurements.
hevan_agri-cloud,Rounding Errors,agri-mis/src/main/java/com/agri/mis/db/tables/BatchProduct.java,139,139,"public final TableField<BatchProductRecord, Double> QUANTITY = createField(DSL.name(""quantity""), SQLDataType.DOUBLE, this, """");",The 'quantity' column uses DOUBLE which can introduce rounding errors in inventory or production calculations. Consider using NUMERIC or DECIMAL with appropriate precision and scale for accurate quantity tracking.
hevan_agri-cloud,ID Required,agri-mis/src/main/java/com/agri/mis/db/tables/BatchRisk.java,59,59,"public final TableField<BatchRiskRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'batch_risk_id'. Consider renaming the column to 'batch_risk_id' to make foreign key references self-documenting and avoid ambiguity in queries with multiple joined tables.
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchRisk.java,64,64,"public final TableField<BatchRiskRecord, Long> PRODUCT_ID = createField(DSL.name(""product_id""), SQLDataType.BIGINT, this, """");","The column 'product_id' appears to reference the Product table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Product table's primary key to ensure referential integrity."
hevan_agri-cloud,Keyless Entry,agri-mis/src/main/java/com/agri/mis/db/tables/BatchRisk.java,69,69,"public final TableField<BatchRiskRecord, Long> BATCH_ID = createField(DSL.name(""batch_id""), SQLDataType.BIGINT, this, """");",The column 'batch_id' appears to reference a batch table (likely BatchProduct or BatchBase) but lacks a foreign key constraint. Add a foreign key constraint to ensure data integrity and prevent invalid batch references.
