Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
NurtilekMamashakirov_Bot-Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/impls/JooqLinkRepository.java,24,24,.select(),"Using select() without specifying columns fetches all columns from the joined tables, which may retrieve unnecessary data and reduce performance. Explicitly list only the required columns, e.g., .select(LINK.ID, LINK.URL, LINK.UPDATED_AT, LINK.CHECKED_AT)."
NurtilekMamashakirov_Bot-Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/impls/JooqLinkRepository.java,39,39,.selectFrom(LINK),"Using selectFrom() fetches all columns from the LINK table, which may include unnecessary data. Specify only the columns needed for the Link object, e.g., .select(LINK.ID, LINK.URL).from(LINK)."
NurtilekMamashakirov_Bot-Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/impls/JooqLinkRepository.java,57,57,.selectFrom(LINK),"Using selectFrom() fetches all columns from the LINK table when only specific fields may be needed. Replace with an explicit column selection like .select(LINK.ID, LINK.URL).from(LINK)."
NurtilekMamashakirov_Bot-Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/impls/JooqLinkRepository.java,73,73,.selectFrom(LINK),"Using selectFrom() retrieves all columns from the LINK table, potentially fetching more data than necessary. Explicitly select only the required columns for the Link class."
NurtilekMamashakirov_Bot-Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/impls/JooqLinkRepository.java,102,102,.selectFrom(LINK),Using selectFrom() fetches all columns from the LINK table when only checking for existence. Consider using fetchExists() or select only the necessary columns.
NurtilekMamashakirov_Bot-Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/impls/JooqLinkRepository.java,118,118,.select(),Using select() without specifying columns fetches all columns from CHAT_AND_LINK when only checking for existence. Consider using context.fetchExists() instead or explicitly select only the required columns.
NurtilekMamashakirov_Bot-Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/impls/JooqTgChatRepository.java,43,43,.select(),"Using select() without specifying columns fetches all columns from the joined tables, which retrieves unnecessary data and reduces query performance. Specify only the required columns explicitly, e.g., .select(CHAT.ID, CHAT.STATUS)."
NurtilekMamashakirov_Bot-Link-Tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/impls/JooqTgChatRepository.java,53,53,context.selectFrom(CHAT),Using selectFrom(CHAT) fetches all columns from the CHAT table when only checking for existence. Replace with context.fetchExists() or select only the necessary columns like CHAT.ID.
NurtilekMamashakirov_Bot-Link-Tracker,ID Required,scrapper/src/main/java/edu/java/repository/jooq/tables/Chat.java,65,66,"public final TableField<ChatRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'chat_id' to make it more descriptive and to avoid ambiguity in queries with joins."
NurtilekMamashakirov_Bot-Link-Tracker,ID Required,scrapper/src/main/java/edu/java/repository/jooq/tables/Link.java,65,66,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' as the primary key name, while a natural key based on the unique 'URL' column would be more meaningful since URLs are inherently unique identifiers for links. Consider using 'URL' as the primary key or renaming 'ID' to something more descriptive like 'link_id'."
