Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
bifidok_TinkoffBackend,31 Flavors,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/generated/tables/Chats.java,69,75,"public final TableField<ChatsRecord, ChatState> STATUS = createField(DSL.name(""STATUS""),
    SQLDataType.VARCHAR.nullable(false)
        .asEnumDataType(edu.java.scrapper.repositories.jooq.generated.enums.State.class),
    this,
    """",
    new EnumConverter<State, ChatState>(State.class, ChatState.class)
);","The STATUS column uses an ENUM type to restrict allowed values, which makes adding or removing states difficult and requires schema changes. Consider creating a separate lookup table (e.g., 'chat_states') with the allowed status values and reference it via a foreign key."
bifidok_TinkoffBackend,ID Required,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/generated/tables/Links.java,64,65,"public final TableField<LinksRecord, Integer> ID =
    createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key named 'ID' even though there's already a unique constraint on the 'URL' column (CONSTRAINT_4), which could serve as a natural primary key. Consider using the URL as the primary key or renaming the ID column to something more descriptive like 'link_id'."
bifidok_TinkoffBackend,ID Required,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/generated/tables/Questions.java,62,63,"public final TableField<QuestionsRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'ID' column as primary key, but there's already a unique constraint on LINK_ID (CONSTRAINT_3BDD) which could serve as a natural primary key since each question is uniquely identified by its link. Consider using LINK_ID as the primary key instead of the synthetic ID column."
bifidok_TinkoffBackend,ID Required,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/generated/tables/Repositories.java,64,65,"public final TableField<RepositoriesRecord, Integer> ID =
    createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as primary key, but there's already a unique constraint on LINK_ID (CONSTRAINT_81) which could serve as a natural primary key since each repository is uniquely identified by its link. Consider using LINK_ID as the primary key instead of adding a synthetic ID column."
bifidok_TinkoffBackend,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqChatRepository.java,31,31,.selectFrom(CHATS),"Using selectFrom(CHATS) fetches all columns from the CHATS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using .select(CHATS.ID, CHATS.STATUS).from(CHATS)."
bifidok_TinkoffBackend,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqChatRepository.java,38,38,.selectFrom(CHATS),"Using selectFrom(CHATS) fetches all columns from the CHATS table even though only ID and STATUS are needed for the Chat model. Consider using .select(CHATS.ID, CHATS.STATUS).from(CHATS) to explicitly specify the required columns."
bifidok_TinkoffBackend,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqGitHubRepositoryRepository.java,30,30,.selectFrom(REPOSITORIES),"Using selectFrom(REPOSITORIES) fetches all columns from the REPOSITORIES table, but the RECORD_MAPPER only uses id and lastCommitDate fields. Consider using select(REPOSITORIES.ID, REPOSITORIES.LAST_COMMIT_DATE).from(REPOSITORIES) to explicitly specify only the needed columns."
bifidok_TinkoffBackend,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkRepository.java,34,34,.selectFrom(LINKS),"Using selectFrom(LINKS) fetches all columns from the LINKS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using .select(LINKS.ID, LINKS.URL, LINKS.LAST_ACTIVITY, LINKS.LAST_CHECK_TIME).from(LINKS)."
bifidok_TinkoffBackend,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkRepository.java,41,41,.selectFrom(LINKS),"Using selectFrom(LINKS) fetches all columns from the LINKS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using .select(LINKS.ID, LINKS.URL, LINKS.LAST_ACTIVITY, LINKS.LAST_CHECK_TIME).from(LINKS)."
bifidok_TinkoffBackend,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkRepository.java,49,49,.selectFrom(LINKS),"Using selectFrom(LINKS) fetches all columns from the LINKS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using .select(LINKS.ID, LINKS.URL, LINKS.LAST_ACTIVITY, LINKS.LAST_CHECK_TIME).from(LINKS)."
bifidok_TinkoffBackend,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqQuestionRepository.java,30,30,.selectFrom(QUESTIONS),"Using selectFrom(QUESTIONS) fetches all columns from the QUESTIONS table, even though only ID and ANSWER_COUNT are used by the RECORD_MAPPER. Use an explicit select with only the required columns: dslContext.select(QUESTIONS.ID, QUESTIONS.ANSWER_COUNT).from(QUESTIONS)."
