Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
WolfOfBad_TinkoffJavaCourse2024,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/generated/tables/Chat.java,68,69,"public final TableField<ChatRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key while a unique constraint already exists on TG_CHAT_ID, which is a natural key (Telegram chat identifier) that could serve as the primary key. Consider using TG_CHAT_ID as the primary key instead of the synthetic ID column, or at minimum rename ID to something more descriptive like CHAT_ID."
WolfOfBad_TinkoffJavaCourse2024,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/generated/tables/Link.java,69,70,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on the 'URI' column (CONSTRAINT_23) which could serve as a natural primary key since URIs are immutable identifiers for links. Consider using 'URI' as the primary key or renaming the synthetic key to something more descriptive like 'link_id'."
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqChatRepository.java,17,17,return dslContext.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which can fetch unnecessary data and break if the schema changes. Explicitly list only the columns needed for TelegramChat (e.g., CHAT.ID, CHAT.TG_CHAT_ID)."
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqChatRepository.java,24,24,return dslContext.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which retrieves more data than may be necessary. Specify only the required columns explicitly (e.g., CHAT.ID, CHAT.TG_CHAT_ID)."
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqChatRepository.java,35,35,.returning(CHAT.fields()),Using CHAT.fields() in the RETURNING clause fetches all columns from the CHAT table. Explicitly specify only the columns needed for TelegramChat to avoid unnecessary data transfer.
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqChatRepository.java,44,44,.returning(CHAT.fields()),Using CHAT.fields() in the RETURNING clause retrieves all columns from the CHAT table. List only the specific columns required for TelegramChat to improve maintainability and performance.
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqLinkRepository.java,22,22,return dslContext.select(LINK.fields()),"Using LINK.fields() fetches all columns from the LINK table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the columns needed for the Link DTO."
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqLinkRepository.java,29,29,return dslContext.select(LINK.fields()),"Using LINK.fields() fetches all columns from the LINK table, which may include columns not needed for this query. Specify only the required columns explicitly, such as LINK.ID, LINK.URI, LINK.LAST_UPDATE."
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqLinkRepository.java,37,37,return dslContext.select(LINK.fields()),Using LINK.fields() retrieves all columns from the LINK table blindly. Replace with an explicit column list to improve query clarity and avoid fetching unnecessary data.
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqLinkRepository.java,46,46,return dslContext.select(LINK.fields()),Using LINK.fields() fetches all columns from the LINK table without explicit specification. List the specific columns needed for the Link class to make the query more maintainable.
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqLinkRepository.java,57,57,.returning(LINK.fields()),Using LINK.fields() in the RETURNING clause fetches all columns from the LINK table. Explicitly specify only the columns required for the Link DTO.
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqLinkRepository.java,84,84,.returning(LINK.fields()),Using LINK.fields() in the RETURNING clause retrieves all columns blindly. Specify only the columns needed for the Link class to improve maintainability.
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqLinkRepository.java,94,94,.returning(LINK.fields()),Using LINK.fields() in the RETURNING clause fetches all columns from the LINK table. Replace with explicit column references to avoid fetching unnecessary data.
WolfOfBad_TinkoffJavaCourse2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/jooq/JooqLinkRepository.java,143,143,return dslContext.select(CHAT.fields()),"Using CHAT.fields() fetches all columns from the CHAT table, which may include unnecessary data. Explicitly list only the columns needed for the TelegramChat DTO."
