Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Claydelas_dashboard-fx,Implicit Columns,src/main/java/group18/dashboard/controllers/BounceDefinitionController.java,91,91,"query.fetch(CAMPAIGN, CAMPAIGN.CID.eq(campaignID).and(CAMPAIGN.PARSED))","Using `fetch(Table, Condition)` retrieves all columns from the CAMPAIGN table, which may include unnecessary data. Consider using a select statement with only the required columns, e.g., `query.selectFrom(CAMPAIGN).where(...).fetch()` with explicit column selection."
Claydelas_dashboard-fx,Implicit Columns,src/main/java/group18/dashboard/controllers/ChartFactory.java,402,402,.selectFrom(IMPRESSION),"Using `selectFrom(IMPRESSION)` fetches all columns from the IMPRESSION table into ImpressionRecord objects, which may retrieve unnecessary data. Consider selecting only the specific columns needed for the operation, such as `select(IMPRESSION.DATE, IMPRESSION.COST)`."
Claydelas_dashboard-fx,Implicit Columns,src/main/java/group18/dashboard/controllers/ChartFactory.java,411,411,.selectFrom(INTERACTION),"Using `selectFrom(INTERACTION)` fetches all columns from the INTERACTION table into InteractionRecord objects. Select only the required columns like `select(INTERACTION.ENTRY_DATE, INTERACTION.CONVERSION)` to improve query efficiency."
Claydelas_dashboard-fx,Implicit Columns,src/main/java/group18/dashboard/controllers/ChartFactory.java,424,424,.selectFrom(CLICK),"Using `selectFrom(CLICK)` fetches all columns from the CLICK table into ClickRecord objects. Specify only the columns needed for processing, such as `select(CLICK.DATE, CLICK.COST)`, to reduce data transfer overhead."
Claydelas_dashboard-fx,Implicit Columns,src/main/java/group18/dashboard/controllers/DashboardController.java,64,64,"= query.fetch(CAMPAIGN, CAMPAIGN.UID.eq(LoginController.getLoggedUserID()).and(CAMPAIGN.PARSED));","The `fetch(CAMPAIGN, ...)` method retrieves all columns from the CAMPAIGN table, which may include columns not needed by this code. Consider using `selectFrom(CAMPAIGN).where(...).fetch()` with explicit column selection or `select(CAMPAIGN.NAME, CAMPAIGN.IMPRESSIONS, ...)` to fetch only the required columns."
Claydelas_dashboard-fx,Implicit Columns,src/main/java/group18/dashboard/controllers/ImportController.java,350,350,"CampaignRecord result = query.update(CAMPAIGN).set(CAMPAIGN.PARSED, true).where(CAMPAIGN.CID.eq(campaignID)).returning().fetchOne();","Using `returning()` without specifying columns fetches all columns from the CAMPAIGN table into the CampaignRecord. Specify only the needed columns with `returningResult(CAMPAIGN.CID, CAMPAIGN.NAME)` or similar to fetch only what is required."
Claydelas_dashboard-fx,Implicit Columns,src/main/java/group18/dashboard/controllers/LoginController.java,51,51,query.selectFrom(USER),"Using selectFrom(USER) fetches all columns from the USER table, even though only uid, password, and salt are needed. Consider using select(USER.UID, USER.PASSWORD, USER.SALT).from(USER) to fetch only the required columns."
Claydelas_dashboard-fx,Rounding Errors,src/main/java/group18/dashboard/database/tables/Campaign.java,93,93,"public final TableField<CampaignRecord, Double> CTR = createField(DSL.name(""CTR""), org.jooq.impl.SQLDataType.DOUBLE, this, """");",The CTR (Click-Through Rate) column uses DOUBLE which can cause precision loss in calculations. Consider using DECIMAL or NUMERIC for accurate fixed-precision storage of rate values.
Claydelas_dashboard-fx,Rounding Errors,src/main/java/group18/dashboard/database/tables/Campaign.java,98,98,"public final TableField<CampaignRecord, Double> CPA = createField(DSL.name(""CPA""), org.jooq.impl.SQLDataType.DOUBLE, this, """");",The CPA (Cost Per Acquisition) column uses DOUBLE which can introduce rounding errors in financial calculations. Use DECIMAL or NUMERIC to ensure accurate monetary values.
Claydelas_dashboard-fx,Rounding Errors,src/main/java/group18/dashboard/database/tables/Campaign.java,103,103,"public final TableField<CampaignRecord, Double> CPC = createField(DSL.name(""CPC""), org.jooq.impl.SQLDataType.DOUBLE, this, """");",The CPC (Cost Per Click) column uses DOUBLE which is unsuitable for monetary values due to floating-point precision issues. Use DECIMAL or NUMERIC for accurate cost calculations.
Claydelas_dashboard-fx,Rounding Errors,src/main/java/group18/dashboard/database/tables/Campaign.java,108,108,"public final TableField<CampaignRecord, Double> CPM = createField(DSL.name(""CPM""), org.jooq.impl.SQLDataType.DOUBLE, this, """");",The CPM (Cost Per Mille) column uses DOUBLE which can cause precision errors in financial calculations. Use DECIMAL or NUMERIC to store monetary values accurately.
Claydelas_dashboard-fx,Rounding Errors,src/main/java/group18/dashboard/database/tables/Campaign.java,113,113,"public final TableField<CampaignRecord, Double> BOUNCE_RATE = createField(DSL.name(""BOUNCE_RATE""), org.jooq.impl.SQLDataType.DOUBLE, this, """");",The BOUNCE_RATE column uses DOUBLE which may introduce rounding errors for rate calculations. Consider using DECIMAL or NUMERIC for precise fixed-point arithmetic.
Claydelas_dashboard-fx,Rounding Errors,src/main/java/group18/dashboard/database/tables/Campaign.java,118,118,"public final TableField<CampaignRecord, Double> TOTAL_COST = createField(DSL.name(""TOTAL_COST""), org.jooq.impl.SQLDataType.DOUBLE, this, """");",The TOTAL_COST column uses DOUBLE which is inappropriate for storing monetary values as it can lead to rounding errors. Use DECIMAL or NUMERIC to ensure financial accuracy.
Claydelas_dashboard-fx,Fear of the Unknown,src/main/java/group18/dashboard/database/tables/Campaign.java,128,128,"public final TableField<CampaignRecord, Integer> MIN_PAGES = createField(DSL.name(""MIN_PAGES""), org.jooq.impl.SQLDataType.INTEGER.defaultValue(org.jooq.impl.DSL.field(""2"", org.jooq.impl.SQLDataType.INTEGER)), this, """");","The MIN_PAGES column has a default value but is still marked as NULLABLE, which is inconsistent since a column with a default value should typically not be NULL. Consider adding .nullable(false) to the column definition."
Claydelas_dashboard-fx,Fear of the Unknown,src/main/java/group18/dashboard/database/tables/Campaign.java,138,138,"public final TableField<CampaignRecord, Double> MIN_TIME = createField(DSL.name(""MIN_TIME""), org.jooq.impl.SQLDataType.DOUBLE.defaultValue(org.jooq.impl.DSL.field(""3.5"", org.jooq.impl.SQLDataType.DOUBLE)), this, """");","The MIN_TIME column has a default value of 3.5 but is still marked as NULLABLE, which is inconsistent. If a default value is provided, the column should likely be NOT NULL to prevent ambiguous missing value semantics."
Claydelas_dashboard-fx,Rounding Errors,src/main/java/group18/dashboard/database/tables/Click.java,64,64,"public final TableField<ClickRecord, Double> COST = createField(DSL.name(""COST""), org.jooq.impl.SQLDataType.DOUBLE.nullable(false), this, """");","The COST column uses DOUBLE, a floating-point type that can introduce rounding errors when storing monetary values like click costs. Change the column type to DECIMAL or NUMERIC with appropriate precision and scale (e.g., DECIMAL(10,2)) to ensure accurate financial calculations."
Claydelas_dashboard-fx,31 Flavors,src/main/java/group18/dashboard/database/tables/Impression.java,68,68,"public final TableField<ImpressionRecord, ImpressionGender> GENDER = createField(DSL.name(""GENDER""), org.jooq.impl.SQLDataType.VARCHAR.nullable(false).asEnumDataType(group18.dashboard.database.enums.ImpressionGender.class), this, """");","The GENDER column uses an ENUM type to restrict values, which makes adding or removing valid genders difficult without schema changes. Consider creating a separate lookup table for genders that can be modified without altering the schema."
