Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
quinscape_automaton,Implicit Columns,src/main/java/de/quinscape/automaton/runtime/attachment/DefaultAttachmentRepository.java,60,60,return dslContext.select().from(table),"Using `select()` without specifying columns fetches all columns from the table, which can retrieve unnecessary data and cause performance issues. Explicitly list only the required columns, e.g., `select(idField, descriptionField, typeField, urlField)`."
quinscape_automaton,Implicit Columns,src/main/java/de/quinscape/automaton/runtime/auth/AppAuthenticationService.java,47,47,final List<T> appUsers = (List<T>) dslContext.select(),"Using select() without specifying columns fetches all columns from the user table, which retrieves unnecessary data and reduces query performance. Specify only the required columns explicitly, e.g., select(field(""id""), field(""login""), field(""password""), ...)."
quinscape_automaton,Implicit Columns,src/main/java/de/quinscape/automaton/runtime/auth/DefaultPersistentTokenRepository.java,113,113,final List<T> logins = dslContext.select(),"Using `select()` without specifying columns fetches all columns from the table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., `select(DSL.field(DSL.name(USERNAME)), DSL.field(DSL.name(SERIES)), DSL.field(DSL.name(TOKEN_VALUE)), DSL.field(DSL.name(FIELD_LAST_USED)))`."
quinscape_automaton,Implicit Columns,src/main/java/de/quinscape/automaton/runtime/i18n/DefaultTranslationService.java,78,78,.select(),"Using `select()` without specifying columns fetches all columns from the translation table, which retrieves unnecessary data and reduces query efficiency. Specify only the required columns explicitly, e.g., `.select(field(name(""locale"")), field(name(""tag"")), field(name(""process_name"")), field(name(""translation"")))`"
quinscape_automaton,Implicit Columns,src/main/java/de/quinscape/automaton/runtime/merge/EntityVersion.java,118,118,return dslContext.select(),"Using select() without specifying columns fetches all columns from the 'app_version' table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list the required columns: select(ID, FIELD_MASK, OWNER_ID, CREATED, ENTITY_TYPE, ENTITY_ID, PREV)."
quinscape_automaton,Implicit Columns,src/main/java/de/quinscape/automaton/runtime/merge/MergeServiceImpl.java,1141,1142,"final List<?> results = selectQuery.fetchInto(
    domainQL.getTypeRegistry().lookup(domainType).getJavaType()
);","The selectQuery fetches all columns from the table into a Java type without explicitly specifying which columns to select, which can retrieve unnecessary data and cause performance issues. Consider adding explicit column selection using `selectQuery.addSelect()` to fetch only the required fields."
quinscape_automaton,Implicit Columns,src/main/java/de/quinscape/automaton/runtime/provider/AutomatonJsViewProvider.java,264,264,final Record record = dslContext.select(),"Using select() without specifying columns fetches all columns from the app scope table, which is inefficient and may retrieve unnecessary data. Specify only the required columns explicitly, e.g., dslContext.select(field(""scope"")).from(...)."
quinscape_automaton,Implicit Columns,src/main/java/de/quinscape/automaton/runtime/provider/AutomatonJsViewProvider.java,288,288,return dslContext.select(),"Using select() without specifying columns fetches all columns from the user scope table, which retrieves potentially unnecessary data. Specify only the required columns explicitly in the select clause."
quinscape_automaton,ID Required,src/test/java/de/quinscape/automaton/testdomain/tables/AppUser.java,60,60,"public final TableField<AppUserRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(36).nullable(false), this, """");","The table uses a generic 'id' column as the primary key while a natural unique constraint exists on 'login' (UC_APP_USER_LOGIN). Consider using 'login' as the primary key if it's stable and immutable, or rename the synthetic key to something more descriptive like 'app_user_id'."
quinscape_automaton,ID Required,src/test/java/de/quinscape/automaton/testdomain/tables/BazLink.java,60,60,"public final TableField<BazLinkRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(36).nullable(false), this, """");","This table has a synthetic primary key column named 'id' even though a natural composite unique key (baz_id, value_id) already exists that could serve as the primary key. Consider using the composite key (BAZ_ID, VALUE_ID) as the primary key instead, since this is a link/junction table where the combination of foreign keys naturally identifies each row."
quinscape_automaton,ID Required,src/test/java/de/quinscape/automaton/testdomain/tables/BazValue.java,59,59,"public final TableField<BazValueRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(36).nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'baz_value_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'baz_value_id', which also helps avoid ambiguity in JOIN queries."
quinscape_automaton,ID Required,src/test/java/de/quinscape/automaton/testdomain/tables/Foo.java,61,61,"public final TableField<FooRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(36).nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'foo_id' to make it clearer when used in joins and to avoid ambiguity in queries involving multiple tables."
quinscape_automaton,ID Required,src/test/java/de/quinscape/automaton/testdomain/tables/Node.java,60,60,"public final TableField<NodeRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(36).nullable(false), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name. Consider renaming it to something more meaningful like 'node_id' to make it clearer which table it belongs to, especially when used in joins or foreign key references."
