Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
sokolovskayaa_tinkoff-project,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/jooq/tables/Chat.java,42,43,"public final TableField<ChatRecord, Long> ID =
        createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'chat_id'. Consider renaming the column to 'chat_id' to make it self-documenting and avoid ambiguity when joining tables.
sokolovskayaa_tinkoff-project,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/jooq/tables/Link.java,46,46,"public final TableField<LinkRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key while having a natural unique key on 'url' (LINK_URL_KEY). Since URLs are unique and immutable by nature, consider using 'url' as the primary key or renaming 'id' to something more descriptive like 'link_id'."
sokolovskayaa_tinkoff-project,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatRepository.java,25,25,dslContext.selectFrom(CHAT).fetchInto(Chat.class),"Using selectFrom(CHAT) fetches all columns from the CHAT table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns, e.g., dslContext.select(CHAT.ID).from(CHAT).fetchInto(Chat.class)."
sokolovskayaa_tinkoff-project,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatRepository.java,29,29,dslContext.selectFrom(CHAT).where(CHAT.ID.eq(chatId)).fetchInto(Chat.class),"Using selectFrom(CHAT) fetches all columns when only checking existence. Consider using dslContext.fetchExists(selectFrom(CHAT).where(CHAT.ID.eq(chatId))) instead, which is more efficient for existence checks."
sokolovskayaa_tinkoff-project,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,19,19,dslContext.select().from(LINK.join(CHAT_LINK).on(CHAT_LINK.LINK_ID.eq(LINK.ID))),"Using `select()` without specifying columns fetches all columns from both LINK and CHAT_LINK tables, which is inefficient and may include unnecessary data. Explicitly list only the required columns, e.g., `select(LINK.fields())` or specific fields like `select(LINK.ID, LINK.URL)`."
sokolovskayaa_tinkoff-project,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,28,28,dslContext.selectFrom(LINK),"Using `selectFrom(LINK)` fetches all columns from the LINK table, which can be inefficient if not all columns are needed. Consider explicitly selecting only the required columns using `select(LINK.ID, LINK.URL, ...).from(LINK)`."
sokolovskayaa_tinkoff-project,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,32,32,"dslContext.select().from(CHAT_LINK, LINK)","Using `select()` without specifying columns fetches all columns from both CHAT_LINK and LINK tables. Explicitly list only the required columns, e.g., `select(CHAT_LINK.fields())` or specific fields needed for the ChatLink POJO."
sokolovskayaa_tinkoff-project,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,38,38,"dslContext.select().from(CHAT_LINK, LINK)","Using `select()` without specifying columns fetches all columns from both CHAT_LINK and LINK tables. Explicitly list only the required columns, e.g., `select(CHAT_LINK.fields())` or specific fields needed for the ChatLink POJO."
sokolovskayaa_tinkoff-project,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkUpdateRepository.java,21,21,return dslContext.select().from(LINK),"Using select() without specifying columns fetches all columns from the LINK table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., dslContext.select(LINK.ID, LINK.URL, LINK.UPDATED_AT).from(LINK)."
sokolovskayaa_tinkoff-project,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkUpdateRepository.java,32,32,return dslContext.select(),"Using select() without specifying columns fetches all columns from both CHAT_LINK and LINK tables, retrieving more data than needed. Specify only the required columns explicitly, e.g., dslContext.select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID).from(CHAT_LINK, LINK)."
