Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
sjucker_mvu-platform,Implicit Columns,src/main/java/ch/mvurdorf/platform/absenzen/AbsenzenService.java,105,105,"absenzStatusDao.findOptionalById(jooqDsl.newRecord(ABSENZ_STATUS.FK_LOGIN, ABSENZ_STATUS.FK_EVENT).values(loginId, eventId))","The DAO's findOptionalById method fetches all columns from the ABSENZ_STATUS table, even though only the status column needs to be updated. Consider using a direct jOOQ query that selects only the required columns or use an upsert/merge statement instead."
sjucker_mvu-platform,Poor Man's Search Engine,src/main/java/ch/mvurdorf/platform/events/EventsService.java,125,129,"return DSL.or(
        EVENT.TITLE.containsIgnoreCase(filter),
        EVENT.LOCATION.containsIgnoreCase(filter),
        EVENT.DESCRIPTION.containsIgnoreCase(filter)
);",Using `containsIgnoreCase` performs a LIKE '%filter%' search which cannot use indexes and will be slow on large datasets. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch for efficient text searching.
sjucker_mvu-platform,Implicit Columns,src/main/java/ch/mvurdorf/platform/events/EventsService.java,72,72,return jooqDsl.selectFrom(EVENT),"Using `selectFrom(EVENT)` fetches all columns from the EVENT table, which may retrieve unnecessary data and impact performance. Explicitly select only the columns needed for the `toDto` mapping."
sjucker_mvu-platform,Implicit Columns,src/main/java/ch/mvurdorf/platform/events/EventsService.java,157,157,var currentVersion = eventDao.fetchOptionalById(event.getId()).orElseThrow();,"The DAO's `fetchOptionalById` retrieves all columns from the EVENT table. If only specific fields are needed, use a custom query that selects only the required columns."
sjucker_mvu-platform,Implicit Columns,src/main/java/ch/mvurdorf/platform/events/EventsService.java,191,191,var pojo = eventDao.findOptionalById(event.id()).orElseThrow();,The DAO's `findOptionalById` retrieves all columns from the EVENT table when only `deletedAt` needs to be updated. Consider using a direct UPDATE query instead of fetching the entire record.
sjucker_mvu-platform,Implicit Columns,src/main/java/ch/mvurdorf/platform/events/EventsService.java,308,308,var events = jooqDsl.selectFrom(EVENT),Using `selectFrom(EVENT)` fetches all columns from the EVENT table. Explicitly select only the columns needed for the `ProbeplanEntryDto` mapping and version tracking logic.
sjucker_mvu-platform,ID Required,src/main/java/ch/mvurdorf/platform/jooq/tables/Event.java,68,68,"public final TableField<EventRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'event_id' to make it more meaningful and to avoid ambiguity in queries with joins."
sjucker_mvu-platform,Keyless Entry,src/main/java/ch/mvurdorf/platform/jooq/tables/InstrumentPermission.java,55,55,"public final TableField<InstrumentPermissionRecord, Long> FK_LOGIN = createField(DSL.name(""fk_login""), SQLDataType.BIGINT.nullable(false), this, """");","The FK_LOGIN column references the Login table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing Login.ID (PK__LOGIN) to ensure referential integrity."
sjucker_mvu-platform,ID Required,src/main/java/ch/mvurdorf/platform/jooq/tables/Komposition.java,63,63,"public final TableField<KompositionRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'komposition_id'. Consider renaming the column to 'komposition_id' to make foreign key relationships more self-documenting and to avoid ambiguity in queries with multiple joined tables.
sjucker_mvu-platform,ID Required,src/main/java/ch/mvurdorf/platform/jooq/tables/Konzert.java,63,63,"public final TableField<KonzertRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'konzert_id'. Consider renaming the primary key to 'konzert_id' to make foreign key references self-documenting and avoid ambiguity in queries with multiple joined tables.
