Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ehrbase_migration-tool,Implicit Columns,service/src/main/java/org/ehrbase/migration/exporter/v0/CompositionExporter.java,106,110,".select(COMPOSITION.fields())
.select(ENTRY.fields())
.select(PARTICIPATION.fields())
.select(EVENT_CONTEXT.fields())
.select(AUDIT_DETAILS.fields())","Using `.fields()` selects all columns from multiple tables (COMPOSITION, ENTRY, PARTICIPATION, EVENT_CONTEXT, AUDIT_DETAILS), which retrieves more data than may be necessary and couples the code to the table schema. Explicitly list only the required columns for each table instead of using `.fields()`."
ehrbase_migration-tool,Implicit Columns,service/src/main/java/org/ehrbase/migration/exporter/v0/CompositionExporter.java,131,135,".select(COMPOSITION_HISTORY.fields(COMPOSITION.fields()))
.select(ENTRY_HISTORY.fields(ENTRY.fields()))
.select(PARTICIPATION_HISTORY.fields(PARTICIPATION.fields()))
.select(EVENT_CONTEXT_HISTORY.fields(EVENT_CONTEXT.fields()))
.select(AUDIT_DETAILS.fields())","Using `.fields()` selects all columns from multiple history tables and AUDIT_DETAILS, which retrieves more data than may be necessary and couples the code to the table schema. Explicitly list only the required columns for each table instead of using `.fields()`."
ehrbase_migration-tool,Implicit Columns,service/src/main/java/org/ehrbase/migration/exporter/v0/ContributionExporter.java,55,55,.select(CONTRIBUTION.fields()),"Using `CONTRIBUTION.fields()` selects all columns from the CONTRIBUTION table, which fetches unnecessary data and can impact performance. Explicitly list only the required columns, such as `.select(CONTRIBUTION.ID, CONTRIBUTION.EHR_ID, CONTRIBUTION.HAS_AUDIT)`."
ehrbase_migration-tool,Implicit Columns,service/src/main/java/org/ehrbase/migration/exporter/v0/ContributionExporter.java,56,56,.select(AUDIT_DETAILS.fields()),"Using `AUDIT_DETAILS.fields()` selects all columns from the AUDIT_DETAILS table, which may retrieve more data than needed. Explicitly specify only the columns required for the `AuditDetailsRecord` mapping."
ehrbase_migration-tool,Implicit Columns,service/src/main/java/org/ehrbase/migration/exporter/v0/EhrExporter.java,36,36,dslContext.selectFrom(Ehr.EHR_),"Using selectFrom() fetches all columns from the EHR_ table, but only a few fields (id, date_created, date_created_tzid) are actually used. Replace with an explicit select() specifying only the required columns: dslContext.select(Ehr.EHR_.ID, Ehr.EHR_.DATE_CREATED, Ehr.EHR_.DATE_CREATED_TZID).from(Ehr.EHR_)."
ehrbase_migration-tool,Implicit Columns,service/src/main/java/org/ehrbase/migration/exporter/v0/EhrSchemaDataExporter.java,107,107,"Map<UUID, User> byParty = dslContext.select(USERS.fields()).from(USERS).fetch().into(UsersRecord.class).stream()","Using `USERS.fields()` selects all columns from the USERS table, which fetches unnecessary data and couples the code to the table schema. Replace with explicit column selection like `dslContext.select(USERS.PARTY_ID, USERS.USERNAME)` to only fetch the required fields."
ehrbase_migration-tool,Implicit Columns,service/src/main/java/org/ehrbase/migration/exporter/v0/EhrSchemaDataExporter.java,129,130,"SystemRecord defaultRunningSystem = dslContext
                .selectFrom(SYSTEM)","Using `selectFrom(SYSTEM)` fetches all columns from the SYSTEM table, which may retrieve unnecessary data. Replace with an explicit column selection like `dslContext.select(SYSTEM.ID, SYSTEM.DESCRIPTION, SYSTEM.SETTINGS).from(SYSTEM)` to only fetch the columns actually used."
ehrbase_migration-tool,Implicit Columns,service/src/main/java/org/ehrbase/migration/exporter/v0/EhrStatusExporter.java,56,57,".select(STATUS.fields())
.select(AUDIT_DETAILS.fields())","Using `STATUS.fields()` and `AUDIT_DETAILS.fields()` selects all columns from both tables, which may fetch unnecessary data and reduce query performance. Explicitly list only the required columns needed for the `to()` method conversion."
ehrbase_migration-tool,Implicit Columns,service/src/main/java/org/ehrbase/migration/exporter/v0/ExportServiceV0Imp.java,76,77,"dslContext
                .selectFrom(org.ehrbase.migration.exporter.v0.jooq.pg.tables.Tenant.TENANT)
                .fetch()","Using selectFrom() fetches all columns from the TENANT table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed (id, tenantProperties, tenantName, tenantId)."
ehrbase_migration-tool,Implicit Columns,service/src/main/java/org/ehrbase/migration/exporter/v0/FolderExporter.java,68,68,.select(EHR_FOLDER.fields()),"Using `EHR_FOLDER.fields()` selects all columns from the EHR_FOLDER table, which may fetch unnecessary data and reduce query performance. Explicitly list only the columns needed for the operation."
