Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Briefing.java,53,53,"public final TableField<BriefingRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named generically 'ID' instead of a more descriptive name like 'briefing_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'briefing_id'."
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrier.java,57,57,"public final TableField<CarrierRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'ID' instead of a more descriptive name like 'carrier_id'. Consider renaming the column to something more meaningful that identifies the entity, such as 'carrier_id'."
averbraeck_trustgame-scores,31 Flavors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrier.java,82,82,"public final TableField<CarrierRecord, CarrierService> SERVICE = createField(DSL.name(""Service""), SQLDataType.VARCHAR(6).nullable(false).asEnumDataType(org.transsonic.trustgame.data.trustgame.enums.CarrierService.class), this, """");","The 'Service' column uses an ENUM type to restrict allowed values, which makes adding or removing values difficult and requires schema changes. Consider creating a separate lookup table (e.g., 'carrier_service') to store the allowed service values."
averbraeck_trustgame-scores,31 Flavors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrier.java,87,87,"public final TableField<CarrierRecord, CarrierSustainability> SUSTAINABILITY = createField(DSL.name(""Sustainability""), SQLDataType.VARCHAR(6).nullable(false).asEnumDataType(org.transsonic.trustgame.data.trustgame.enums.CarrierSustainability.class), this, """");","The 'Sustainability' column uses an ENUM type to restrict allowed values, which makes adding or removing values difficult and requires schema changes. Consider creating a separate lookup table (e.g., 'carrier_sustainability') to store the allowed sustainability values."
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrierreview.java,55,55,"public final TableField<CarrierreviewRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'carrierreview_id' or similar to make it more meaningful and self-documenting in queries and joins."
averbraeck_trustgame-scores,Rounding Errors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Carrierreview.java,70,70,"public final TableField<CarrierreviewRecord, Double> OVERALLSTARS = createField(DSL.name(""OverallStars""), SQLDataType.FLOAT.nullable(false), this, ""Whole of half numbers from 1.0 to 5.0"");","The OVERALLSTARS column uses FLOAT type for storing star ratings (1.0 to 5.0 in half increments), which can cause precision issues due to floating-point representation. Use DECIMAL(2,1) or NUMERIC(2,1) instead to ensure exact representation of these fixed-precision values."
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Client.java,55,55,"public final TableField<ClientRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'client_id'. Consider renaming the primary key to 'client_id' to make it self-documenting and easier to identify in queries involving multiple tables.
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Fbreport.java,56,56,"public final TableField<FbreportRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'ID' instead of a more descriptive name like 'fbreport_id'. Consider renaming the column to something more meaningful that identifies the entity, such as 'fbreport_id'."
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Game.java,53,53,"public final TableField<GameRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on the 'Code' column (KEY_GAME_CODE_UNIQUE) which could serve as a natural primary key since game codes are typically immutable identifiers. Consider using 'Code' as the primary key or renaming the ID column to something more descriptive like 'game_id'."
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Gameplay.java,56,56,"public final TableField<GameplayRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'gameplay_id'. Consider renaming the column to 'gameplay_id' to make it self-documenting and avoid ambiguity in queries with joins.
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Gameuser.java,57,57,"public final TableField<GameuserRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, ""Users could self-regster or be created upfront. Users are unique per GamePlay."");",The primary key column is generically named 'ID' instead of a more descriptive name like 'gameuser_id'. Consider renaming it to 'gameuser_id' or another meaningful name that reflects the entity it identifies.
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Mission.java,55,55,"public final TableField<MissionRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name. Additionally, there is a unique constraint on GAME_ID (KEY_MISSION_GAME_ID_UNIQUE) which could serve as a natural primary key since each mission belongs to exactly one game. Consider renaming the primary key to 'mission_id' or using GAME_ID as the primary key if the one-to-one relationship with Game is intentional."
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Order.java,56,56,"public final TableField<OrderRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'ID' instead of a more descriptive name like 'order_id'. Consider renaming the column to something more meaningful that identifies the entity, such as 'order_id', to improve clarity when joining tables and reading queries."
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Ordercarrier.java,55,55,"public final TableField<OrdercarrierRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'ordercarrier_id' or similar to make it more meaningful and self-documenting in queries and joins."
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Review.java,55,55,"public final TableField<ReviewRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'review_id' to make it more meaningful and self-documenting when used in queries and joins."
averbraeck_trustgame-scores,Rounding Errors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Review.java,70,70,"public final TableField<ReviewRecord, Double> STARS = createField(DSL.name(""Stars""), SQLDataType.FLOAT.nullable(false), this, """");","The 'Stars' column uses FLOAT type which can cause precision loss for rating values that need exact representation (e.g., 4.5 stars). Consider using DECIMAL or NUMERIC type instead, such as DECIMAL(2,1), to ensure accurate storage and comparison of star ratings."
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Round.java,55,55,"public final TableField<RoundRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'round_id'. Consider renaming the column to 'round_id' to make it self-documenting and avoid ambiguity when joining tables.
averbraeck_trustgame-scores,ID Required,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Selectedcarrier.java,56,56,"public final TableField<SelectedcarrierRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is generically named 'ID' instead of a more descriptive name like 'selectedcarrier_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'selectedcarrier_id'."
averbraeck_trustgame-scores,Rounding Errors,src/main/java/org/transsonic/trustgame/data/trustgame/tables/Selectedcarrier.java,76,76,"public final TableField<SelectedcarrierRecord, Double> USERSCORE = createField(DSL.name(""UserScore""), SQLDataType.FLOAT.defaultValue(DSL.field(""NULL"", SQLDataType.FLOAT)), this, """");",The 'UserScore' column uses FLOAT type which can cause precision loss for fixed-precision values like scores. Consider using DECIMAL or NUMERIC type instead to ensure accurate storage and calculations of user scores.
