Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Garrettc96_cacophony,ID Required,src/main/java/com/example/cacophony/jooq/tables/Channel.java,63,64,"public final TableField<ChannelRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false),
        this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'channel_id'. Consider renaming the primary key to 'channel_id' to make it self-documenting and easier to identify in queries and joins.
Garrettc96_cacophony,ID Required,src/main/java/com/example/cacophony/jooq/tables/Chat.java,62,63,"public final TableField<ChatRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this,
        """");",The primary key column is generically named 'id' instead of a more descriptive name like 'chat_id'. Consider renaming the primary key to 'chat_id' to make it self-documenting and easier to identify in queries involving multiple tables.
Garrettc96_cacophony,ID Required,src/main/java/com/example/cacophony/jooq/tables/Conversation.java,66,68,"public final TableField<ConversationRecord, UUID> ID = createField(DSL.name(""id""),
 SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)),
 this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'conversation_id'. Consider renaming the primary key to 'conversation_id' to make it self-documenting and easier to identify in queries and joins.
Garrettc96_cacophony,ID Required,src/main/java/com/example/cacophony/jooq/tables/CUser.java,66,68,"public final TableField<CUserRecord, UUID> ID = createField(DSL.name(""id""),
 SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)),
 this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'user_id' or 'c_user_id' to make it self-documenting and avoid ambiguity in joins."
Garrettc96_cacophony,ID Required,src/main/java/com/example/cacophony/jooq/tables/Message.java,67,69,"public final TableField<MessageRecord, UUID> ID = createField(DSL.name(""id""),
 SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)),
 this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'message_id'. Consider renaming the column to 'message_id' to make it self-documenting and avoid ambiguity when joining tables.
Garrettc96_cacophony,ID Required,src/main/java/com/example/cacophony/jooq/tables/MessageReact.java,63,63,"public final TableField<MessageReactRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID, this, """");","The table uses a generic 'id' column as the primary key, and the combination of (message_id, react_id, user_id) would form a natural composite key since a user can only react once with a specific react to a specific message. Consider using a composite primary key on these three columns instead of a synthetic 'id' column."
Garrettc96_cacophony,ID Required,src/main/java/com/example/cacophony/jooq/tables/React.java,65,67,"public final TableField<ReactRecord, UUID> ID = createField(DSL.name(""id""),
 SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)),
 this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'react_id'. Consider renaming the primary key to 'react_id' to make it self-documenting and avoid ambiguity when joining tables.
Garrettc96_cacophony,Implicit Columns,src/main/java/com/example/cacophony/repository/ChannelJooqRepository.java,30,30,return this.dsl.selectFrom(CHANNEL).where(CHANNEL.ID.eq(channelId)).fetchOptional();,"Using `selectFrom(CHANNEL)` fetches all columns from the CHANNEL table into a record, which may retrieve unnecessary data. Consider explicitly selecting only the columns you need, e.g., `select(CHANNEL.ID, CHANNEL.NAME, ...).from(CHANNEL)`."
Garrettc96_cacophony,Implicit Columns,src/main/java/com/example/cacophony/repository/ChannelJooqRepository.java,45,45,"var result = this.dsl.select(CHANNEL.asterisk(), USER_CONVERSATION.USER_ID).from(CHANNEL)","Using `CHANNEL.asterisk()` fetches all columns from the CHANNEL table, which may include unnecessary data and makes the query fragile to schema changes. Consider explicitly listing only the required columns from CHANNEL."
Garrettc96_cacophony,Implicit Columns,src/main/java/com/example/cacophony/repository/ChatJooqRepository.java,31,31,return this.dsl.selectFrom(CHAT).where(CHAT.ID.eq(chatId)).fetchOptional();,"Using `selectFrom(CHAT)` fetches all columns from the CHAT table, which may retrieve unnecessary data. Consider explicitly selecting only the columns you need, e.g., `select(CHAT.ID, CHAT.NAME, ...).from(CHAT)`."
