Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
matuolis_financial-analysis-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresAutomaticTransactionGateway.java,29,29,dslContext.selectFrom(AUTOMATIC_TRANSACTIONS),"Using selectFrom() fetches all columns from the AUTOMATIC_TRANSACTIONS table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for building the AutomaticTransaction object."
matuolis_financial-analysis-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresAutomaticTransactionGateway.java,35,35,dslContext.selectFrom(AUTOMATIC_TRANSACTIONS),Using selectFrom() fetches all columns from the AUTOMATIC_TRANSACTIONS table when filtering by org unit ID. Consider explicitly selecting only the columns required by the buildAutomaticTransaction method.
matuolis_financial-analysis-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresAutomaticTransactionGateway.java,42,42,dslContext.selectFrom(AUTOMATIC_TRANSACTIONS),Using selectFrom() fetches all columns from the AUTOMATIC_TRANSACTIONS table when retrieving by ID. Consider using select() to specify only the columns needed for the result.
matuolis_financial-analysis-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresAutomaticTransactionGateway.java,49,49,dslContext.selectFrom(AUTOMATIC_TRANSACTIONS),Using selectFrom() fetches all columns from the AUTOMATIC_TRANSACTIONS table when only the transaction data and latest date are needed. Consider selecting only the specific columns required for the map operation.
matuolis_financial-analysis-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresInvitationGateway.java,22,22,return dslContext.selectFrom(INVITATIONS),"Using selectFrom(INVITATIONS) fetches all columns from the INVITATIONS table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for building the Invitation object."
matuolis_financial-analysis-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresInvitationGateway.java,29,29,return dslContext.selectFrom(INVITATIONS),"Using selectFrom(INVITATIONS) fetches all columns from the INVITATIONS table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for building the Invitation object."
matuolis_financial-analysis-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresInvitationGateway.java,36,36,return dslContext.selectFrom(INVITATIONS),"Using selectFrom(INVITATIONS) fetches all columns from the INVITATIONS table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for building the Invitation object."
matuolis_financial-analysis-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresOrganizationGateway.java,27,27,return dslContext.selectFrom(ORGANIZATIONS),"Using selectFrom(ORGANIZATIONS) fetches all columns from the ORGANIZATIONS table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns: select(ORGANIZATIONS.ID, ORGANIZATIONS.USER_ID, ORGANIZATIONS.TITLE, ORGANIZATIONS.CODE, ORGANIZATIONS.ADDRESS, ORGANIZATIONS.YEARLY_GOAL)."
matuolis_financial-analysis-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresOrganizationGateway.java,33,33,return dslContext.selectFrom(ORGANIZATIONS),"Using selectFrom(ORGANIZATIONS) fetches all columns from the ORGANIZATIONS table, which may include columns not needed by the application. Replace with an explicit select() specifying only the columns used in buildOrganization()."
matuolis_financial-analysis-be,Implicit Columns,src/main/java/org/example/gateway/postgres/PostgresOrganizationGateway.java,40,40,return dslContext.selectFrom(ORGANIZATIONS),"Using selectFrom(ORGANIZATIONS) fetches all columns from the ORGANIZATIONS table, potentially transferring unnecessary data. Use select() with explicit column names to fetch only the required fields."
