Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqCustomerDAO.java,18,18,Customer customer = dsl.selectFrom(CUSTOMERS),"Using selectFrom(CUSTOMERS) fetches all columns from the CUSTOMERS table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed for the Customer object."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqCustomerDAO.java,26,26,Customer customer = dsl.selectFrom(CUSTOMERS),"Using selectFrom(CUSTOMERS) fetches all columns from the CUSTOMERS table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed for the Customer object."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqPaymentDAO.java,27,27,return dsl.selectFrom(PAYMENTS),"Using selectFrom(PAYMENTS) fetches all columns from the PAYMENTS table, which may retrieve unnecessary data and reduce query performance. Consider using an explicit select() with only the columns needed for the Payment class."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqProductDAO.java,21,21,Product product = dsl.selectFrom(PRODUCTS),"Using selectFrom(PRODUCTS) fetches all columns from the PRODUCTS table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Product mapping."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqProductDAO.java,29,29,Product product = dsl.selectFrom(PRODUCTS),"Using selectFrom(PRODUCTS) fetches all columns from the PRODUCTS table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Product mapping."
Hamednallah_Market-POS,Poor Man's Search Engine,src/main/java/com/marketpos/dao/impl/JooqProductDAO.java,39,41,".where(PRODUCTS.NAME_EN.likeIgnoreCase(likePattern)
        .or(PRODUCTS.NAME_AR.likeIgnoreCase(likePattern))
        .or(PRODUCTS.BARCODE.likeIgnoreCase(likePattern)))",Using likeIgnoreCase with wildcards ('%' + q + '%') for searching product names and barcodes performs a full table scan and cannot use indexes efficiently. Consider implementing a full-text search solution using PostgreSQL's tsvector/tsquery or a dedicated search engine like Elasticsearch.
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqProductDAO.java,38,38,return dsl.selectFrom(PRODUCTS),Using selectFrom(PRODUCTS) fetches all columns from the PRODUCTS table for the search results. Consider using select() with only the columns needed for displaying search results to improve query performance.
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqPurchaseOrderDAO.java,23,23,PurchaseOrder po = dsl.selectFrom(PURCHASE_ORDERS),"Using selectFrom(PURCHASE_ORDERS) fetches all columns from the PURCHASE_ORDERS table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed for the PurchaseOrder object."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqPurchaseOrderDAO.java,28,28,List<PurchaseOrderLine> lines = dsl.selectFrom(PURCHASE_LINES),"Using selectFrom(PURCHASE_LINES) fetches all columns from the PURCHASE_LINES table, which may include unnecessary data. Consider using select() to explicitly specify only the columns required for PurchaseOrderLine."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqPurchaseOrderDAO.java,39,39,return dsl.selectFrom(PURCHASE_ORDERS).fetchInto(PurchaseOrder.class);,"Using selectFrom(PURCHASE_ORDERS) fetches all columns from the table for every purchase order, which can be inefficient especially for large result sets. Consider using select() with explicit column names to fetch only the required fields."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqRoleDAO.java,19,19,Role role = dsl.selectFrom(ROLES),"Using selectFrom(ROLES) fetches all columns from the ROLES table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Role object."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqRoleDAO.java,27,27,Role role = dsl.selectFrom(ROLES),"Using selectFrom(ROLES) fetches all columns from the ROLES table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Role object."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqRoleDAO.java,35,35,return dsl.selectFrom(ROLES).fetchInto(Role.class);,"Using selectFrom(ROLES) fetches all columns from the ROLES table for every row, which may transfer unnecessary data. Consider using select() with explicit column names to fetch only the required fields."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqSalesDAO.java,25,25,Sale sale = dsl.selectFrom(SALES),"Using `selectFrom(SALES)` fetches all columns from the SALES table, which may retrieve unnecessary data and reduce query performance. Consider explicitly selecting only the columns needed for the Sale object, e.g., `dsl.select(SALES.ID, SALES.INVOICE_NO, ...).from(SALES)`."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqShiftDAO.java,46,46,Shift shift = dsl.selectFrom(SHIFTS),"Using selectFrom(SHIFTS) fetches all columns from the SHIFTS table, which may retrieve more data than needed. Consider using select() with only the specific columns required for the Shift object."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqShiftDAO.java,54,54,Shift shift = dsl.selectFrom(SHIFTS),"Using selectFrom(SHIFTS) fetches all columns from the SHIFTS table, which may retrieve more data than needed. Consider using select() with only the specific columns required for the Shift object."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqSupplierDAO.java,19,19,dsl.selectFrom(SUPPLIERS),"Using selectFrom(SUPPLIERS) fetches all columns from the SUPPLIERS table, which may retrieve unnecessary data and reduce performance. Consider using an explicit select() with only the columns needed for the Supplier model."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqSupplierDAO.java,27,27,dsl.selectFrom(SUPPLIERS),"Using selectFrom(SUPPLIERS) fetches all columns from the SUPPLIERS table for every row, which can be inefficient if not all columns are needed. Replace with an explicit select() specifying only the required columns."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqUserDAO.java,18,18,User user = dsl.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the User object."
Hamednallah_Market-POS,Implicit Columns,src/main/java/com/marketpos/dao/impl/JooqUserDAO.java,26,26,User user = dsl.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the User object."
