Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
lelup24_blog,Implicit Columns,admin-backend/src/main/java/de/blog/common/CurrentUser.java,25,26,"userEntityDao
.fetchOptionalByUsername(username)","The generated DAO method fetchOptionalByUsername fetches all columns of the UserEntity table into a POJO, even if only specific fields are needed. Consider using a custom jOOQ query that selects only the required columns."
lelup24_blog,Implicit Columns,admin-backend/src/main/java/de/blog/config/security/SecurityUserService.java,31,31,final Optional<UserEntity> userEntityOptional = userEntityDao.fetchOptionalByUsername(username);,"The generated DAO method `fetchOptionalByUsername` fetches all columns of the UserEntity table, even though only `id`, `username`, and `password` are used. Consider writing a custom query that selects only the required columns."
lelup24_blog,Implicit Columns,admin-backend/src/main/java/de/blog/config/security/SessionService.java,44,44,"userEntityDao
                .fetchOptionalByUsername(jwtTokenUtil.getUsername(token))","The DAO's fetchOptionalByUsername method fetches all columns of the UserEntity table when only the user ID is needed. Consider using a custom query that selects only the required columns (e.g., id)."
lelup24_blog,Implicit Columns,admin-backend/src/main/java/de/blog/config/security/SessionService.java,47,47,sessionDao.fetchByUserId(userEntity.getId()),The DAO's fetchByUserId method fetches all columns of the Session table when only the record identifiers are needed for deletion. Consider using a custom query that selects only the required columns or deletes directly by user_id.
lelup24_blog,Implicit Columns,admin-backend/src/main/java/de/blog/config/security/SessionService.java,72,72,sessionDao.fetchOptionalByToken(oldToken),The DAO's fetchOptionalByToken method fetches all columns of the Session table. Consider using a custom query that selects only the columns needed for the update operation.
lelup24_blog,Implicit Columns,admin-backend/src/main/java/de/blog/config/security/SessionService.java,96,96,sessionDao.fetchOptionalByToken(token),"The DAO's fetchOptionalByToken method fetches all columns of the Session table. Consider using a custom query that selects only the columns needed for validation (e.g., id, expires_at, revoked, remote_address)."
lelup24_blog,Implicit Columns,admin-backend/src/main/java/de/blog/config/security/SessionService.java,100,101,userEntityDao.fetchOptionalByUsername(jwtTokenUtil.getUsername(token)),The DAO's fetchOptionalByUsername method fetches all columns of the UserEntity table when only the user ID is needed. Consider using a custom query that selects only the id column.
lelup24_blog,Implicit Columns,admin-backend/src/main/java/de/blog/config/security/SessionService.java,107,107,sessionDao.fetchByUserId(userEntity.get().getId()),The DAO's fetchByUserId method fetches all columns of the Session table when only the record identifiers are needed for updating the revoked flag. Consider using a bulk update query instead.
lelup24_blog,Implicit Columns,admin-backend/src/main/java/de/blog/config/security/SessionService.java,135,135,sessionDao.fetchByUserId(currentUser.getId()),The DAO's fetchByUserId method fetches all columns of the Session table when only the record identifiers are needed for deletion. Consider using a direct delete query with a WHERE clause on user_id instead.
lelup24_blog,Implicit Columns,admin-backend/src/main/java/de/blog/config/security/UserLoginFilter.java,50,51,"userEntityDao
            .fetchOptionalByUsername(userLoginModel.getUsername())","The generated DAO method `fetchOptionalByUsername` fetches all columns of the UserEntity table, even though only the salt field appears to be needed. Consider using a custom query that selects only the required columns (e.g., salt) instead of fetching the entire entity."
