Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
VladimirMorozov_orm-playground,ID Required,src/jooq/java/me/vmorozov/orm/playground/jooq/generated/tables/CompanyTable.java,56,56,"public final TableField<CompanyRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'company_id'. Consider renaming the column to 'company_id' to make it self-documenting and to avoid ambiguity when joining tables.
VladimirMorozov_orm-playground,ID Required,src/jooq/java/me/vmorozov/orm/playground/jooq/generated/tables/DepartmentTable.java,58,58,"public final TableField<DepartmentRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'department_id'. Consider renaming the column to 'department_id' to make it self-documenting and avoid ambiguity in queries with multiple tables.
VladimirMorozov_orm-playground,ID Required,src/jooq/java/me/vmorozov/orm/playground/jooq/generated/tables/EmployeeTable.java,59,59,"public final TableField<EmployeeRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'employee_id'. Consider renaming the column to 'employee_id' to make it self-documenting and avoid ambiguity in queries with multiple joined tables.
VladimirMorozov_orm-playground,Implicit Columns,src/main/java/me/vmorozov/orm/playground/jooq/dao/DepartmentDao.java,44,44,"dslContext.select(fields(prefixed(EMPLOYEE, COMPANY), DEPARTMENT.asterisk()))","Using DEPARTMENT.asterisk() selects all columns from the DEPARTMENT table, which can lead to unnecessary data transfer and fragile code if the table schema changes. Replace with explicit column selection like DEPARTMENT.ID, DEPARTMENT.NAME, etc."
VladimirMorozov_orm-playground,Implicit Columns,src/main/java/me/vmorozov/orm/playground/jooq/dao/DepartmentSearchDao.java,49,49,"DEPARTMENT.asterisk(),","Using asterisk() fetches all columns from the DEPARTMENT table, which can retrieve unnecessary data and break code if the schema changes. Replace with explicit column selection like DEPARTMENT.ID, DEPARTMENT.NAME, etc."
VladimirMorozov_orm-playground,Implicit Columns,src/main/java/me/vmorozov/orm/playground/jooq/dao/DepartmentSearchDao.java,50,50,"COMPANY.asterisk(),","Using asterisk() fetches all columns from the COMPANY table, which couples the query to the table schema and may retrieve unused columns. Explicitly list only the required columns instead."
VladimirMorozov_orm-playground,Poor Man's Search Engine,src/main/java/me/vmorozov/orm/playground/jooq/dao/DepartmentSearchDao.java,58,58,.where(head.NAME.containsIgnoreCase(search.getDepartmentHeadName())),Using containsIgnoreCase performs a LIKE '%value%' search which cannot use indexes and will be slow on large tables. Consider using a full-text search index or database-specific text search features.
VladimirMorozov_orm-playground,Poor Man's Search Engine,src/main/java/me/vmorozov/orm/playground/jooq/dao/DepartmentSearchDao.java,59,59,.and(DEPARTMENT.NAME.containsIgnoreCase(search.getDepartmentName())),Using containsIgnoreCase performs a LIKE '%value%' search which is inefficient for full-text searching. Consider implementing proper full-text search using database features like PostgreSQL's tsvector or Elasticsearch.
VladimirMorozov_orm-playground,Poor Man's Search Engine,src/main/java/me/vmorozov/orm/playground/jooq/dao/DepartmentSearchDao.java,60,60,.and(COMPANY.NAME.containsIgnoreCase(search.getCompanyName())),Using containsIgnoreCase performs a LIKE '%value%' search which results in full table scans. Use a dedicated full-text search solution for better performance.
VladimirMorozov_orm-playground,Poor Man's Search Engine,src/main/java/me/vmorozov/orm/playground/jooq/dao/DepartmentSearchDao.java,86,86,.where(head.NAME.containsIgnoreCase(search.getDepartmentHeadName())),Using containsIgnoreCase performs a LIKE '%value%' search which cannot leverage indexes. Consider using full-text search capabilities provided by your database.
VladimirMorozov_orm-playground,Poor Man's Search Engine,src/main/java/me/vmorozov/orm/playground/jooq/dao/DepartmentSearchDao.java,87,87,.and(DEPARTMENT.NAME.containsIgnoreCase(search.getDepartmentName())),Using containsIgnoreCase performs a LIKE '%value%' search which is inefficient for text searching. Replace with proper full-text search indexing.
VladimirMorozov_orm-playground,Poor Man's Search Engine,src/main/java/me/vmorozov/orm/playground/jooq/dao/DepartmentSearchDao.java,88,88,.and(COMPANY.NAME.containsIgnoreCase(search.getCompanyName())),Using containsIgnoreCase performs a LIKE '%value%' search causing full table scans. Implement database-native full-text search for better performance.
VladimirMorozov_orm-playground,Implicit Columns,src/main/java/me/vmorozov/orm/playground/jooq/dao/EmployeeDao.java,28,28,dslContext.select(EMPLOYEE.asterisk()),"Using `asterisk()` fetches all columns from the EMPLOYEE table, which can retrieve unnecessary data and break if the schema changes. Instead, explicitly select only the columns needed for the Employee POJO."
VladimirMorozov_orm-playground,Implicit Columns,src/main/java/me/vmorozov/orm/playground/jooq/dao/EmployeeDao.java,36,36,dslContext.selectFrom(EMPLOYEE),"Using `selectFrom(EMPLOYEE)` implicitly selects all columns from the EMPLOYEE table, which may fetch more data than needed. Consider using an explicit `select()` with only the required columns."
