Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
svp8_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqAnswerRepository.java,23,23,AnswerEntity answerEntityEntity = dsl.select(ANSWER),"Selecting the entire ANSWER table fetches all columns, which may retrieve unnecessary data and reduce performance. Instead, explicitly select only the required columns, e.g., `dsl.select(ANSWER.ID, ANSWER.CREATED_AT, ANSWER.LINK_ID)`."
svp8_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqAnswerRepository.java,35,35,return dsl.select(ANSWER),"Selecting the entire ANSWER table fetches all columns, which may retrieve unnecessary data and reduce performance. Instead, explicitly select only the required columns, e.g., `dsl.select(ANSWER.ID, ANSWER.CREATED_AT, ANSWER.LINK_ID)`."
svp8_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqAnswerRepository.java,49,49,.returning(ANSWER.fields()),"Using `ANSWER.fields()` in the returning clause fetches all columns from the table, which may include unnecessary data. Instead, explicitly specify only the columns needed, e.g., `.returning(ANSWER.ID, ANSWER.CREATED_AT, ANSWER.LINK_ID)`."
svp8_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqBranchRepository.java,23,23,BranchEntity branchEntity = dsl.select(),"Using `select()` without specifying columns fetches all columns from the BRANCH table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., `dsl.select(BRANCH.ID, BRANCH.NAME, BRANCH.LINK_ID)`."
svp8_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqChatRepository.java,33,33,.returning(CHAT.fields()),"Using CHAT.fields() returns all columns from the CHAT table, which fetches more data than may be needed. Explicitly list only the required columns in the returning clause, e.g., .returning(CHAT.ID, CHAT.CREATED_AT)."
svp8_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqChatRepository.java,43,43,return dsl.select(CHAT),"Selecting the entire CHAT table record fetches all columns, which may include unnecessary data. Explicitly specify only the columns needed, e.g., dsl.select(CHAT.ID, CHAT.CREATED_AT)."
svp8_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqChatRepository.java,54,54,ChatEntity chatEntity = dsl.select(CHAT),"Selecting the entire CHAT table record fetches all columns from the table. Explicitly list only the required columns, e.g., dsl.select(CHAT.ID, CHAT.CREATED_AT)."
svp8_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqCommentRepository.java,23,23,dsl.select(COMMENT),"Selecting the entire COMMENT table fetches all columns, which may retrieve unnecessary data and reduce performance. Explicitly specify only the required columns, e.g., `dsl.select(COMMENT.ID, COMMENT.CREATION_DATE, COMMENT.LINK_ID)`."
svp8_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqCommentRepository.java,35,35,dsl.select(COMMENT),"Selecting the entire COMMENT table fetches all columns, which may retrieve unnecessary data and reduce performance. Explicitly specify only the required columns, e.g., `dsl.select(COMMENT.ID, COMMENT.CREATION_DATE, COMMENT.LINK_ID)`."
svp8_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqCommentRepository.java,49,49,.returning(COMMENT.fields()),"Using `COMMENT.fields()` in the returning clause fetches all columns from the table, which may include unnecessary data. Explicitly list only the columns needed, e.g., `.returning(COMMENT.ID, COMMENT.CREATION_DATE, COMMENT.LINK_ID)`."
