Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
sim1984_fbjavaex,Fear of the Unknown,src/main/java/ru/ibase/fbjavaex/exampledb/tables/PasswordResets.java,64,64,"public final TableField<PasswordResetsRecord, Timestamp> CREATED_AT = createField(""created_at"", org.jooq.impl.SQLDataType.TIMESTAMP, this, """");","The CREATED_AT column is nullable but represents when a password reset was created, which should always have a value. Consider adding a NOT NULL constraint with a default value of the current timestamp, or explicitly mark it as nullable(false) if the application always provides this value."
sim1984_fbjavaex,ID Required,src/main/java/ru/ibase/fbjavaex/exampledb/tables/Users.java,58,58,"public final TableField<UsersRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","The table uses a generic 'id' column as the primary key while a unique constraint on 'email' already exists, which could serve as a natural key. Consider using 'email' as the primary key or renaming the synthetic key to something more descriptive like 'user_id'."
sim1984_fbjavaex,ID Required,src/main/java/ru/ibase/fbjavaex/exampledb/tables/Webrole.java,57,57,"public final TableField<WebroleRecord, Integer> WEBROLE_ID = createField(""WEBROLE_ID"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","The table has a synthetic primary key (WEBROLE_ID) even though a unique constraint (UNQ_WEBROLE) exists on the NAME column, which could serve as a natural primary key for role names. Consider using NAME as the primary key if role names are stable and immutable, eliminating the need for the synthetic WEBROLE_ID column."
sim1984_fbjavaex,ID Required,src/main/java/ru/ibase/fbjavaex/exampledb/tables/Webuser.java,57,57,"public final TableField<WebuserRecord, Integer> WEBUSER_ID = createField(""WEBUSER_ID"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","The table has a synthetic primary key (WEBUSER_ID) even though there's already a unique constraint on EMAIL (UNQ_WEBUSER), which could serve as a natural primary key since email addresses are inherently unique and stable identifiers for users. Consider using EMAIL as the primary key instead of introducing a surrogate key."
sim1984_fbjavaex,ID Required,src/main/java/ru/ibase/fbjavaex/exampledb/tables/Webuserinrole.java,58,58,"public final TableField<WebuserinroleRecord, Integer> ID = createField(""ID"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");","This junction table uses a generic 'ID' column as its primary key, but the combination of WEBUSER_ID and WEBROLE_ID would serve as a natural composite primary key since this table represents a many-to-many relationship. Consider using a composite primary key on (WEBUSER_ID, WEBROLE_ID) instead of the synthetic ID column."
sim1984_fbjavaex,Poor Man's Search Engine,src/main/java/ru/ibase/fbjavaex/jqgrid/JqGridCustomer.java,33,33,query.addConditions(CUSTOMER.NAME.contains(this.searchString));,Using `contains()` (which translates to LIKE '%...%') for text search is inefficient as it cannot use indexes and requires full table scans. Consider implementing a proper full-text search solution using your database's native full-text search capabilities.
sim1984_fbjavaex,Implicit Columns,src/main/java/ru/ibase/fbjavaex/jqgrid/JqGridCustomer.java,68,68,dsl.select(),"Using `select()` without specifying columns fetches all columns from the CUSTOMER table, which retrieves unnecessary data and can cause performance issues. Explicitly list only the required columns, e.g., `dsl.select(CUSTOMER.CUSTOMER_ID, CUSTOMER.NAME)`."
sim1984_fbjavaex,Poor Man's Search Engine,src/main/java/ru/ibase/fbjavaex/jqgrid/JqGridInvoice.java,46,46,query.addConditions(CUSTOMER.NAME.contains(this.searchString));,"The `contains()` method performs a full-text search using LIKE with wildcards on both sides (e.g., '%searchString%'), which cannot use indexes efficiently and results in full table scans. Consider using a dedicated full-text search solution like Firebird's built-in full-text search or an external search engine like Elasticsearch."
sim1984_fbjavaex,Poor Man's Search Engine,src/main/java/ru/ibase/fbjavaex/jqgrid/JqGridProduct.java,30,30,query.addConditions(PRODUCT.NAME.contains(searchString));,The `contains()` method performs a LIKE '%...%' search which cannot use indexes efficiently and results in full table scans. Consider using a full-text search engine like Firebird's built-in full-text search capabilities or an external search solution like Elasticsearch.
sim1984_fbjavaex,Implicit Columns,src/main/java/ru/ibase/fbjavaex/jqgrid/JqGridProduct.java,65,65,dsl.select(),"Using `select()` without specifying columns fetches all columns from the PRODUCT table, which retrieves unnecessary data and can cause performance issues. Explicitly list only the required columns, e.g., `dsl.select(PRODUCT.PRODUCT_ID, PRODUCT.NAME, PRODUCT.PRICE)`."
