Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
KirillSakira_link-tracker,ID Required,scrapper/src/main/java/edu/java/api/domain/jooq/tables/Chat.java,67,67,"public final TableField<ChatRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'chat_id'. Consider renaming the column to 'chat_id' to make it self-documenting and avoid ambiguity when joining tables.
KirillSakira_link-tracker,ID Required,scrapper/src/main/java/edu/java/api/domain/jooq/tables/Link.java,71,71,"public final TableField<LinkRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'ID' column as primary key while having a unique constraint on 'URL' which could serve as a natural primary key. Consider using 'URL' as the primary key or renaming the synthetic key to something more descriptive like 'link_id'.
KirillSakira_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/api/domain/repository/jooq/JooqChatLinkRepository.java,38,38,return dslContext.selectFrom(CHAT_LINK),"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table, even though only CHAT_ID and LINK_ID are used. Replace with an explicit select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID).from(CHAT_LINK) to fetch only the required columns."
KirillSakira_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/api/domain/repository/jooq/JooqChatLinkRepository.java,60,60,return dslContext.selectFrom(CHAT_LINK),"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table, but only CHAT_ID and LINK_ID are mapped. Replace with an explicit select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID).from(CHAT_LINK) to avoid fetching unnecessary columns."
KirillSakira_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/api/domain/repository/jooq/JooqChatRepository.java,35,35,return dslContext.selectFrom(CHAT),"Using `selectFrom(CHAT)` fetches all columns from the CHAT table, but only the ID column is needed. Replace with `dslContext.select(CHAT.ID).from(CHAT)` to explicitly select only the required column."
KirillSakira_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/api/domain/repository/jooq/JooqChatRepository.java,41,41,List<Long> chats = dslContext.selectFrom(CHAT),Using `selectFrom(CHAT)` fetches all columns when only the ID is used. Consider using `dslContext.fetchExists(dslContext.selectOne().from(CHAT).where(CHAT.ID.eq(chatId)))` since you only need to check existence.
KirillSakira_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/api/domain/repository/jooq/JooqLinkRepository.java,58,58,return dslContext.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, even though only specific fields (id, url, updatedAt, checkedAt) are used. Consider using select(LINK.ID, LINK.URL, LINK.UPDATED_AT, LINK.CHECKED_AT).from(LINK) to explicitly specify the required columns."
KirillSakira_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/api/domain/repository/jooq/JooqLinkRepository.java,69,69,return dslContext.selectFrom(LINK),Using selectFrom(LINK) fetches all columns from the LINK table when only the ID is needed. Consider using select(LINK.ID).from(LINK) to fetch only the required column.
KirillSakira_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/api/domain/repository/jooq/JooqLinkRepository.java,78,78,return dslContext.select(),"Using select() without specifying columns fetches all columns from the LINK table. Consider using select(LINK.ID, LINK.URL, LINK.UPDATED_AT, LINK.CHECKED_AT) to explicitly specify the required columns."
KirillSakira_link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/api/domain/repository/jooq/JooqLinkRepository.java,91,91,List<Long> links = dslContext.selectFrom(LINK),Using selectFrom(LINK) fetches all columns when only the ID is needed to check existence. Consider using dslContext.fetchExists(selectFrom(LINK).where(...)) or select(LINK.ID).from(LINK) for better performance.
