Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
nikolay-klekto_FunScrutContactCenterBot,ID Required,model/src/generated/jooq/com/fs/call_models/jooq/tables/CallRequests.java,53,53,"public final TableField<CallRequestsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named generically as 'id' rather than a more descriptive name like 'call_request_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'call_request_id'."
nikolay-klekto_FunScrutContactCenterBot,Keyless Entry,service/src/generated/jooq/by/sf/bot/jooq/tables/Buttons.java,60,60,"public final TableField<ButtonsRecord, Integer> MENU_ID = createField(DSL.name(""menu_id""), SQLDataType.INTEGER, this, ""Идентификатор меню, к которому относится кнопка"");",The MENU_ID column references the MenuInfo table (as indicated by its name and comment) but lacks a foreign key constraint. This allows orphaned records where buttons reference non-existent menus. Add a foreign key constraint referencing MENU_INFO_PKEY to ensure referential integrity.
nikolay-klekto_FunScrutContactCenterBot,Fear of the Unknown,service/src/generated/jooq/by/sf/bot/jooq/tables/MainBotInfo.java,56,56,"public final TableField<MainBotInfoRecord, String> KEY = createField(DSL.name(""key""), SQLDataType.VARCHAR, this, """");",The KEY column is marked as NULLABLE (no .nullable(false) constraint) but appears to be a key-value pair identifier that should never be NULL in practice. Consider adding a NOT NULL constraint to this column if it should always have a value.
nikolay-klekto_FunScrutContactCenterBot,Fear of the Unknown,service/src/generated/jooq/by/sf/bot/jooq/tables/MainBotInfo.java,61,61,"public final TableField<MainBotInfoRecord, String> VALUE = createField(DSL.name(""value""), SQLDataType.VARCHAR, this, """");","The VALUE column is marked as NULLABLE but in a key-value configuration table, having NULL values may cause ambiguity between 'no value set' and 'value intentionally empty'. Consider using NOT NULL with an empty string default if empty values are valid, or keeping NULL but ensuring application code handles it consistently."
nikolay-klekto_FunScrutContactCenterBot,Fear of the Unknown,service/src/generated/jooq/by/sf/bot/jooq/tables/Users.java,60,60,"public final TableField<UsersRecord, Long> TELEGRAM_ID = createField(DSL.name(""telegram_id""), SQLDataType.BIGINT, this, ""Идентификатор пользователя в Telegram"");",The TELEGRAM_ID column is marked as NULLABLE but likely should never be NULL in practice since it represents a Telegram user identifier which is essential for the bot to function. Consider adding .nullable(false) to the column definition or ensuring the column has a NOT NULL constraint in the database.
nikolay-klekto_FunScrutContactCenterBot,Fear of the Unknown,service/src/generated/jooq/by/sf/bot/jooq/tables/Users.java,72,72,"public final TableField<UsersRecord, LocalDate> DATE_CREATED = createField(DSL.name(""date_created""), SQLDataType.LOCALDATE, this, ""Дата создания записи"");","The DATE_CREATED column is marked as NULLABLE but should likely have a default value (e.g., current date) and be NOT NULL since every user record should have a creation date. Consider adding .nullable(false).defaultValue(DSL.currentLocalDate()) to ensure this field always has a meaningful value."
nikolay-klekto_FunScrutContactCenterBot,Implicit Columns,service/src/main/java/by/fc/bot/repository/async/ButtonRepository.java,30,30,dsl.selectFrom(BUTTONS),"Using selectFrom(BUTTONS) fetches all columns from the BUTTONS table, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns instead."
nikolay-klekto_FunScrutContactCenterBot,Implicit Columns,service/src/main/java/by/fc/bot/repository/async/ButtonRepository.java,36,36,dsl.selectFrom(BUTTONS),"Using selectFrom(BUTTONS) fetches all columns from the BUTTONS table, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns instead."
nikolay-klekto_FunScrutContactCenterBot,Implicit Columns,service/src/main/java/by/fc/bot/repository/async/MainBotInfoRepository.java,35,35,dsl.select(MAIN_BOT_INFO.asterisk()),"Using asterisk() fetches all columns from the MAIN_BOT_INFO table, which can retrieve unnecessary data and break code if the table schema changes. Instead, explicitly select only the columns needed, such as `dsl.select(MAIN_BOT_INFO.ID_INFO, MAIN_BOT_INFO.KEY, MAIN_BOT_INFO.VALUE)`."
nikolay-klekto_FunScrutContactCenterBot,Implicit Columns,service/src/main/java/by/fc/bot/repository/async/MenuInfoRepository.java,29,29,dsl.selectFrom(MENU_INFO),"Using selectFrom(MENU_INFO) fetches all columns from the MENU_INFO table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly using dsl.select(MENU_INFO.COLUMN1, MENU_INFO.COLUMN2, ...).from(MENU_INFO)."
nikolay-klekto_FunScrutContactCenterBot,Implicit Columns,service/src/main/java/by/fc/bot/repository/blocking/ButtonBlockingRepository.java,24,24,return dsl.select(BUTTONS.asterisk()).from(BUTTONS),"Using `BUTTONS.asterisk()` fetches all columns from the BUTTONS table, which can retrieve unnecessary data and break if the schema changes. Replace with explicit column selection, e.g., `dsl.select(BUTTONS.BUTTON_ID, BUTTONS.MENU_ID, BUTTONS.LABEL, ...)`."
nikolay-klekto_FunScrutContactCenterBot,Implicit Columns,service/src/main/java/by/fc/bot/repository/blocking/CallRequestRepository.java,29,29,dsl.select(CALL_REQUESTS.asterisk()),"Using asterisk() fetches all columns from the CALL_REQUESTS table, which can retrieve unnecessary data and break if the schema changes. Instead, explicitly select only the columns needed: CALL_REQUESTS.ID, CALL_REQUESTS.NAME, CALL_REQUESTS.PHONE_NUM, CALL_REQUESTS.CALL_TIME, and CALL_REQUESTS.DATE_CREATED."
nikolay-klekto_FunScrutContactCenterBot,Implicit Columns,service/src/main/java/by/fc/bot/repository/blocking/CallRequestRepository.java,53,53,dsl.select(CALL_REQUESTS.asterisk()),"Using asterisk() fetches all columns from the CALL_REQUESTS table, which retrieves unnecessary data and creates fragile code. Explicitly select only the required columns: CALL_REQUESTS.ID, CALL_REQUESTS.NAME, CALL_REQUESTS.PHONE_NUM, CALL_REQUESTS.CALL_TIME, CALL_REQUESTS.DATE_CREATED, and CALL_REQUESTS.IS_ACTIVE."
nikolay-klekto_FunScrutContactCenterBot,Implicit Columns,service/src/main/java/by/fc/bot/repository/blocking/MenuInfoBlockingRepository.java,35,35,dsl.select(MENU_INFO.asterisk()),"Using `asterisk()` fetches all columns from the MENU_INFO table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Replace with an explicit list of required columns, e.g., `dsl.select(MENU_INFO.MENU_ID, MENU_INFO.DESCRIPTION, ...)`."
