Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/article/ArticleReadRepository.java,37,37,dsl.select().from(ARTICLE).where(ARTICLE.ID.eq(id)),"Using `select()` without specifying columns fetches all columns from the ARTICLE table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., `select(ARTICLE.ID, ARTICLE.TITLE, ...)`."
ChatCode9_ChatCode-backend,Poor Man's Search Engine,src/main/java/com/chatcode/repository/article/ArticleReadRepository.java,99,99,"ARTICLE.TITLE.like(""%"" + request.getSearch() + ""%"")","Using LIKE with wildcards on both sides (`%search%`) for text search is inefficient as it cannot use indexes and performs poorly on large datasets. Consider using a full-text search solution like PostgreSQL's `tsvector`/`tsquery`, Elasticsearch, or a dedicated search engine."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/avatar/AvatarReadRepository.java,26,26,dsl.select(),"Using select() without specifying columns fetches all columns from the AVATAR table, which can retrieve unnecessary data and hurt performance. Explicitly list only the required columns, e.g., dsl.select(AVATAR.ID, AVATAR.NICKNAME, ...)."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/avatar/AvatarReadRepository.java,33,33,dsl.select().from(AVATAR),"Using select() without specifying columns fetches all columns from the AVATAR table. Specify only the columns needed, e.g., dsl.select(AVATAR.ID, AVATAR.NICKNAME)."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/avatar/AvatarReadRepository.java,40,40,dsl.select(),Using select() without specifying columns fetches all columns from the AVATAR table for every row. Explicitly specify only the required columns to reduce data transfer and improve query performance.
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/category/CategoryReadRepository.java,27,27,dsl.select().from(CATEGORY),"Using `select()` without specifying columns fetches all columns from the CATEGORY table, which can retrieve unnecessary data and hurt performance. Explicitly list only the required columns, e.g., `dsl.select(CATEGORY.ID, CATEGORY.NAME, ...)`."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/category/CategoryReadRepository.java,33,33,dsl.select().from(CATEGORY),"Using `select()` without specifying columns fetches all columns from the CATEGORY table. Specify only the columns needed, such as `dsl.select(CATEGORY.ID, CATEGORY.NAME, ...)`."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/category/CategoryReadRepository.java,39,39,dsl.select().from(CATEGORY),"Using `select()` without specifying columns fetches all columns from the CATEGORY table, which may include unnecessary data. Explicitly enumerate the required columns in the select clause."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/follow/FollowReadRepository.java,60,60,dsl.select(AVATAR.fields()),"Using AVATAR.fields() selects all columns from the AVATAR table, which fetches unnecessary data and couples the code to the table schema. Instead, explicitly select only the columns needed for the Avatar entity."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/follow/FollowReadRepository.java,67,67,dsl.select(AVATAR.fields()),"Using AVATAR.fields() selects all columns from the AVATAR table, which may retrieve more data than necessary and creates implicit coupling to the table structure. Explicitly list only the required columns in the select clause."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/opinion/OpinionReadRepository.java,18,18,dsl.selectFrom(OPINION),"Using `selectFrom(OPINION)` fetches all columns from the OPINION table, which may retrieve unnecessary data and reduce query performance. Consider explicitly selecting only the required columns using `dsl.select(OPINION.ID, OPINION.COLUMN_NAME, ...).from(OPINION)`."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/role/RoleReadRepository.java,26,26,dsl.selectFrom(ROLE),"Using selectFrom(ROLE) fetches all columns from the ROLE table, which may retrieve unnecessary data. Consider using an explicit column list like dsl.select(ROLE.ID, ROLE.AUTHORITY).from(ROLE) to fetch only the required columns."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/role/RoleReadRepository.java,31,32,"dsl.select()
.from(ROLE)","Using select() without specifying columns fetches all columns from the ROLE table. Consider explicitly listing only the needed columns, e.g., dsl.select(ROLE.ID, ROLE.AUTHORITY).from(ROLE)."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/tag/AvatarInterestTagReadRepository.java,27,27,dsl.select(),"Using select() without specifying columns fetches all columns from the AVATAR_INTEREST_TAG table, which can retrieve unnecessary data and reduce performance. Explicitly list only the required columns, e.g., dsl.select(AVATAR_INTEREST_TAG.ID, AVATAR_INTEREST_TAG.AVATAR_ID, ...)."
ChatCode9_ChatCode-backend,Implicit Columns,src/main/java/com/chatcode/repository/tag/AvatarInterestTagReadRepository.java,34,34,dsl.select(),Using select() without specifying columns fetches all columns from the AVATAR_INTEREST_TAG table instead of only the InterestTag-related fields needed. Explicitly select only the columns required for the InterestTag entity.
