Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/ConsignmentNoteDAO.java,34,34,.select(),"Using select() without specifying columns fetches all columns from both CONSIGNMENT_NOTE and ORGANIZATION tables, which may retrieve unnecessary data and hurt performance. Explicitly list only the columns needed to construct the ConsignmentNote entity."
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/ConsignmentNoteDAO.java,47,47,.select(),"Using select() without specifying columns fetches all columns from both joined tables, potentially retrieving more data than necessary. Specify only the required columns explicitly to improve query efficiency and maintainability."
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/ConsignmentNoteItemDAO.java,35,35,.select(),"Using select() without specifying columns fetches all columns from all joined tables (CONSIGNMENT_NOTE_ITEM, PRODUCT, CONSIGNMENT_NOTE, ORGANIZATION), which is inefficient and may retrieve unnecessary data. Explicitly list only the required columns, e.g., .select(CONSIGNMENT_NOTE_ITEM.ID, CONSIGNMENT_NOTE_ITEM.PRICE, ...)."
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/ConsignmentNoteItemDAO.java,52,52,.select(),"Using select() without specifying columns fetches all columns from all joined tables, which wastes bandwidth and memory, especially when retrieving multiple records. Explicitly specify only the columns needed for creating ConsignmentNoteItem objects."
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/OrganizationDAO.java,35,35,.select(ORGANIZATION.fields()),"Using `ORGANIZATION.fields()` selects all columns from the ORGANIZATION table, which may fetch unnecessary data and break if the schema changes. Explicitly list only the columns needed for the query result."
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/OrganizationDAO.java,82,83,".select(PRODUCT.fields())
.select(ORGANIZATION.fields())","Using `.fields()` on both PRODUCT and ORGANIZATION tables selects all columns from these tables, which may include unnecessary data. Explicitly specify only the required columns for better performance and maintainability."
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/OrganizationDAO.java,108,109,".select(PRODUCT.fields())
.select(ORGANIZATION.fields())",Selecting all columns from PRODUCT and ORGANIZATION tables using `.fields()` fetches potentially unnecessary data. Replace with explicit column selection to improve query efficiency and clarity.
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/OrganizationDAO.java,139,139,.select(),Using `select()` without arguments fetches all columns from the ORGANIZATION table. Explicitly list only the columns needed to construct the Organization entity.
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/OrganizationDAO.java,150,150,.select(),Using `select()` without arguments fetches all columns from the ORGANIZATION table. Specify only the required columns explicitly to avoid fetching unnecessary data.
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/ProductDAO.java,37,37,.select(PRODUCT.fields()),"Using PRODUCT.fields() selects all columns from the PRODUCT table, which can fetch unnecessary data and break if the schema changes. Explicitly list only the required columns like .select(PRODUCT.CODE, PRODUCT.NAME)."
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/ProductDAO.java,69,69,.select(PRODUCT.fields()),"Using PRODUCT.fields() selects all columns from the PRODUCT table, which retrieves potentially unnecessary data and couples the code to the table schema. Explicitly specify only the columns needed for creating the Product entity."
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/ProductDAO.java,97,97,.select(),"Using select() without arguments fetches all columns from the PRODUCT table, which may retrieve unnecessary data and is fragile to schema changes. Replace with explicit column selection like .select(PRODUCT.CODE, PRODUCT.NAME)."
letPeace_VK-homework-6,Implicit Columns,core/src/main/java/dao/ProductDAO.java,108,108,.select(),"Using select() without arguments fetches all columns from the PRODUCT table, which can be inefficient and brittle. Explicitly list the required columns such as .select(PRODUCT.CODE, PRODUCT.NAME)."
letPeace_VK-homework-6,ID Required,jooq/src/main/java/generated/tables/ConsignmentNoteItem.java,58,58,"public final TableField<ConsignmentNoteItemRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic non-descriptive name that doesn't convey the table context. Consider renaming it to 'consignment_note_item_id' or using a natural key based on the combination of consignment_note_id and product_id if that uniquely identifies items."
