Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
MarinaBiryukova_tinkoff-java,ID Required,parent-project/scrapper/src/main/java/ru/tinkoff/edu/domain/jooq/tables/Chat.java,63,64,"public final TableField<ChatRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'ID' column as the primary key when the 'TG_CHAT_ID' column appears to be a natural unique identifier that could serve as the primary key instead. Consider using 'TG_CHAT_ID' as the primary key or renaming 'ID' to something more descriptive like 'CHAT_ID'.
MarinaBiryukova_tinkoff-java,ID Required,parent-project/scrapper/src/main/java/ru/tinkoff/edu/domain/jooq/tables/ChatLink.java,65,66,"public final TableField<ChatLinkRecord, Integer> ID =
    createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","This junction table (CHAT_LINK) has a synthetic auto-increment primary key 'ID' when the natural composite key (CHAT_ID, LINK_ID) would be more appropriate. Consider using a composite primary key on (CHAT_ID, LINK_ID) instead of the synthetic ID column."
MarinaBiryukova_tinkoff-java,ID Required,parent-project/scrapper/src/main/java/ru/tinkoff/edu/domain/jooq/tables/Link.java,64,65,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'link_id' to make it more meaningful and to avoid ambiguity in queries with joins."
MarinaBiryukova_tinkoff-java,Beware of the Unknown,parent-project/scrapper/src/main/java/ru/tinkoff/edu/domain/jooq/tables/Link.java,88,89,"public final TableField<LinkRecord, Integer> OPEN_ISSUES_COUNT =
    createField(DSL.name(""OPEN_ISSUES_COUNT""), SQLDataType.INTEGER, this, """");","The OPEN_ISSUES_COUNT column is marked as NULLABLE but likely represents a count that should never be NULL in practice (counts are typically 0 or more). Consider making it NOT NULL with a default value of 0, or ensure NULL has a clear semantic meaning distinct from 0."
MarinaBiryukova_tinkoff-java,Beware of the Unknown,parent-project/scrapper/src/main/java/ru/tinkoff/edu/domain/jooq/tables/Link.java,94,95,"public final TableField<LinkRecord, Integer> ANSWER_COUNT =
    createField(DSL.name(""ANSWER_COUNT""), SQLDataType.INTEGER, this, """");","The ANSWER_COUNT column is marked as NULLABLE but likely represents a count that should never be NULL in practice (counts are typically 0 or more). Consider making it NOT NULL with a default value of 0, or ensure NULL has a clear semantic meaning distinct from 0."
MarinaBiryukova_tinkoff-java,Implicit Columns,parent-project/scrapper/src/main/java/ru/tinkoff/edu/service/jooq/JooqLinkService.java,93,93,context.select(Tables.LINK.fields()).from(Tables.LINK),"Using `Tables.LINK.fields()` selects all columns from the LINK table, which may fetch unnecessary data and reduce performance. Explicitly specify only the columns needed for the Link class mapping."
MarinaBiryukova_tinkoff-java,Implicit Columns,parent-project/scrapper/src/main/java/ru/tinkoff/edu/service/jooq/JooqLinkService.java,100,100,context.select(Tables.LINK.fields()).from(Tables.LINK),"Using `Tables.LINK.fields()` selects all columns from the LINK table, which couples the query to the table schema and may retrieve unneeded data. Specify only the required columns explicitly."
MarinaBiryukova_tinkoff-java,Implicit Columns,parent-project/scrapper/src/main/java/ru/tinkoff/edu/service/jooq/JooqLinkService.java,107,107,context.select(Tables.CHAT.fields()).from(Tables.CHAT_LINK).join(Tables.CHAT),"Using `Tables.CHAT.fields()` selects all columns from the CHAT table, which may include unnecessary data. List only the specific columns required for the TgChat class."
MarinaBiryukova_tinkoff-java,Implicit Columns,parent-project/scrapper/src/main/java/ru/tinkoff/edu/service/jooq/JooqLinkService.java,122,122,context.select(Tables.LINK.fields()).from(Tables.LINK),Using `Tables.LINK.fields()` fetches all columns from the LINK table implicitly. Explicitly enumerate only the columns needed for the Link DTO to improve maintainability and performance.
MarinaBiryukova_tinkoff-java,Implicit Columns,parent-project/scrapper/src/main/java/ru/tinkoff/edu/service/jooq/JooqLinkService.java,131,131,context.select(Tables.CHAT.fields()).from(Tables.CHAT),"Using `Tables.CHAT.fields()` selects all columns from the CHAT table, which may retrieve more data than necessary. Specify only the columns required for the TgChat class mapping."
MarinaBiryukova_tinkoff-java,Implicit Columns,parent-project/scrapper/src/main/java/ru/tinkoff/edu/service/jooq/JooqTgChatService.java,34,34,context.select(Tables.LINK.fields()),"Using `Tables.LINK.fields()` selects all columns from the LINK table, which may fetch unnecessary data and reduce query performance. Instead, explicitly select only the columns needed for the Link class (e.g., `Tables.LINK.ID, Tables.LINK.URL`)."
MarinaBiryukova_tinkoff-java,Implicit Columns,parent-project/scrapper/src/main/java/ru/tinkoff/edu/service/jooq/JooqTgChatService.java,52,52,context.select(Tables.CHAT.fields()),"Using `Tables.CHAT.fields()` selects all columns from the CHAT table, which couples the query to the table schema and may fetch unnecessary data. Instead, explicitly select only the required columns (e.g., `Tables.CHAT.ID, Tables.CHAT.TG_CHAT_ID`)."
