Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
wbprime_java-mods,ID Required,jooq-usecases/src/main/java/im/wangbo/java/usecases/generated/ddl/tables/Author.java,64,64,"public final TableField<AuthorRecord, Long> ID = createField(DSL.name(""ID""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named simply 'ID', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'author_id' to make it more descriptive and to avoid ambiguity in queries with joins."
wbprime_java-mods,ID Required,jooq-usecases/src/main/java/im/wangbo/java/usecases/generated/ddl/tables/Book.java,63,63,"public final TableField<BookRecord, Long> ID = createField(DSL.name(""ID""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'book_id'. Consider renaming the column to 'book_id' to make it self-documenting and avoid ambiguity in queries with joins.
wbprime_java-mods,Keyless Entry,jooq-usecases/src/main/java/im/wangbo/java/usecases/generated/ddl/tables/Book.java,68,68,"public final TableField<BookRecord, Long> AUTHOR_ID = createField(DSL.name(""AUTHOR_ID""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The AUTHOR_ID column appears to reference the Author table but lacks a foreign key constraint, which means referential integrity is not enforced by the database. Add a foreign key constraint referencing Author.ID to ensure data consistency."
wbprime_java-mods,ID Required,jooq-usecases/src/main/java/im/wangbo/java/usecases/generated/postgresql/tables/Author.java,64,64,"public final TableField<AuthorRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).defaultValue(org.jooq.impl.DSL.field(""nextval('author_id_seq'::regclass)"", org.jooq.impl.SQLDataType.BIGINT)), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'author_id' to make it more descriptive and to avoid ambiguity in queries with joins."
wbprime_java-mods,ID Required,jooq-usecases/src/main/java/im/wangbo/java/usecases/generated/postgresql/tables/Book.java,63,63,"public final TableField<BookRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).defaultValue(org.jooq.impl.DSL.field(""nextval('book_id_seq'::regclass)"", org.jooq.impl.SQLDataType.BIGINT)), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'book_id' to make it more descriptive and to avoid ambiguity in queries with joins."
wbprime_java-mods,Keyless Entry,jooq-usecases/src/main/java/im/wangbo/java/usecases/generated/postgresql/tables/Book.java,68,68,"public final TableField<BookRecord, Long> AUTHOR_ID = createField(DSL.name(""author_id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The 'author_id' column appears to reference the Author table but lacks a foreign key constraint, which means the database cannot enforce referential integrity. Add a foreign key constraint referencing the Author table's primary key (AUTHOR_PKEY) to ensure data consistency."
wbprime_java-mods,Implicit Columns,jooq-usecases/src/test/java/im/wangbo/java/usecases/jooq/GeneratedBasedCrudIT.java,24,24,"dsl.fetchOne(Tables.AUTHOR, Tables.AUTHOR.ID.eq(1993L));","Using fetchOne with a table reference fetches all columns from the AUTHOR table, which can retrieve unnecessary data and impact performance. Consider using selectFrom with explicit column selection or a projection to fetch only the required columns."
wbprime_java-mods,Implicit Columns,jooq-usecases/src/test/java/im/wangbo/java/usecases/jooq/SqlExecutorIT.java,35,35,"final Result<Record> fetch = dsl.fetch(""select * from \"""" + table + ""\"""");","Using SELECT * fetches all columns from the table, which can lead to performance issues and fragile code if the table schema changes. Explicitly list only the columns you need in the SELECT clause."
wbprime_java-mods,Implicit Columns,jooq-usecases/src/test/java/im/wangbo/java/usecases/jooq/SqlExecutorIT.java,87,87,"final Result<Record> fetch = dsl.fetch(""select * from \""user\"""");","Using SELECT * fetches all columns from the 'user' table, which retrieves unnecessary data and makes the code brittle to schema changes. Specify the required columns explicitly, e.g., SELECT ""id"", ""name"", ""created_at""."
wbprime_java-mods,Implicit Columns,jooq-usecases/src/test/java/im/wangbo/java/usecases/jooq/TransactionIT.java,52,52,"final Result<Record> fetch = dsl.fetch(""select * from \"""" + table + ""\"""");","Using SELECT * fetches all columns from the table, which can lead to performance issues and fragile code if the table schema changes. Replace with an explicit column list, e.g., dsl.select(Tables.AUTHOR.ID, Tables.AUTHOR.FIRST_NAME, ...).from(Tables.AUTHOR).fetch()."
