Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ralscha_otodo,Implicit Columns,server/src/main/java/ch/rasc/otodo/controller/AdminController.java,43,43,this.dsl.selectFrom(APP_USER).fetch(),"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the columns needed, such as dsl.select(APP_USER.ID, APP_USER.EMAIL, ...).from(APP_USER).fetch()."
ralscha_otodo,Implicit Columns,server/src/main/java/ch/rasc/otodo/controller/AuthController.java,69,69,AppUserRecord appUserRecord = this.dsl.selectFrom(APP_USER).where(APP_USER.EMAIL.eq(username)).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table into a record, even though only a few fields (PASSWORD_HASH, ENABLED, EXPIRED, ID, AUTHORITY) are actually used. Replace with an explicit select of only the required columns."
ralscha_otodo,Implicit Columns,server/src/main/java/ch/rasc/otodo/controller/ProfileController.java,236,236,return this.dsl.selectFrom(APP_SESSION),"Using `selectFrom(APP_SESSION)` fetches all columns from the APP_SESSION table, which may retrieve unnecessary data. Instead, explicitly select only the required columns: `select(APP_SESSION.ID, APP_SESSION.LAST_ACCESS, APP_SESSION.IP, APP_SESSION.USER_AGENT)`."
ralscha_otodo,ID Required,server/src/main/java/ch/rasc/otodo/db/tables/AppUser.java,65,66,"public final TableField<AppUserRecord, Long> ID = createField(DSL.name(""id""),
 SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key despite having a unique constraint on 'email', which is a natural key suitable for identifying users. Consider using 'email' as the primary key or renaming the synthetic key to something more descriptive like 'app_user_id'."
ralscha_otodo,31 Flavors,server/src/main/java/ch/rasc/otodo/db/tables/AppUser.java,89,90,"public final TableField<AppUserRecord, String> AUTHORITY = createField(DSL.name(""authority""),
 SQLDataType.VARCHAR(10).nullable(false), this, """");","The 'authority' column uses a CHECK constraint to limit values to 'USER' and 'ADMIN', which makes adding new authority types require a schema change. Consider creating a separate 'authority' lookup table and referencing it with a foreign key."
ralscha_otodo,ID Required,server/src/main/java/ch/rasc/otodo/db/tables/Todo.java,64,65,"public final TableField<TodoRecord, Long> ID = createField(DSL.name(""id""),
 SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'todo_id'. Consider renaming the column to 'todo_id' to make it self-documenting and avoid ambiguity in queries with joins.
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/CleanupJobTest.java,35,35,AppUserRecord user = getDsl().selectFrom(APP_USER).where(APP_USER.ID.eq(userId)).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for the assertion, such as APP_USER.ID."
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/CleanupJobTest.java,44,44,user = getDsl().selectFrom(APP_USER).where(APP_USER.ID.eq(userId)).fetchOne();,Using selectFrom(APP_USER) fetches all columns from the APP_USER table when only checking if the user exists. Consider using fetchExists() or selecting only the required columns.
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/CleanupJobTest.java,63,63,AppUserRecord user = getDsl().selectFrom(APP_USER).where(APP_USER.ID.eq(userId)).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for the assertion."
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/CleanupJobTest.java,73,73,user = getDsl().selectFrom(APP_USER).where(APP_USER.ID.eq(userId)).fetchOne();,Using selectFrom(APP_USER) fetches all columns from the APP_USER table when only checking if the user is null. Consider using fetchExists() or selecting only the required columns.
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/CleanupJobTest.java,92,92,AppUserRecord user = getDsl().selectFrom(APP_USER).where(APP_USER.ID.eq(userId)).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for the assertion."
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/CleanupJobTest.java,102,102,user = getDsl().selectFrom(APP_USER).where(APP_USER.ID.eq(userId)).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table. Consider explicitly selecting only the columns needed for the assertions (CONFIRMATION_TOKEN, CONFIRMATION_TOKEN_CREATED, EMAIL_NEW)."
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/CleanupJobTest.java,125,125,AppUserRecord user = getDsl().selectFrom(APP_USER).where(APP_USER.ID.eq(userId)).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table. Consider explicitly selecting only the columns needed for the assertions (ENABLED, PASSWORD_HASH, EXPIRED)."
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/CleanupJobTest.java,137,137,user = getDsl().selectFrom(APP_USER).where(APP_USER.ID.eq(userId)).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table. Consider explicitly selecting only the columns needed for the assertions (ENABLED, PASSWORD_HASH, EXPIRED)."
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/CleanupJobTest.java,161,161,var result = getDsl().selectFrom(APP_SESSION).orderBy(APP_SESSION.ID).fetch();,Using selectFrom(APP_SESSION) fetches all columns from the APP_SESSION table when only the ID column is used in assertions. Consider selecting only APP_SESSION.ID explicitly.
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/ProfileServiceTest.java,54,54,AppSessionRecord record = getDsl().selectFrom(APP_SESSION).fetchOne();,"Using selectFrom(APP_SESSION) fetches all columns from the APP_SESSION table into a record, which retrieves more data than may be needed. Consider using an explicit column selection like select(APP_SESSION.ID, APP_SESSION.LAST_ACCESS, APP_SESSION.IP, APP_SESSION.USER_AGENT).from(APP_SESSION) to fetch only the required columns."
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/TodoServiceTest.java,54,54,var records = getDsl().selectFrom(TODO).fetch();,"This query fetches all columns from the TODO table using selectFrom(), which retrieves unnecessary data. Specify only the required columns explicitly, e.g., `getDsl().select(TODO.ID).from(TODO).fetch()`."
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/TodoServiceTest.java,63,63,var records1 = getDsl().selectFrom(TODO).where(TODO.APP_USER_ID.eq(user1.getId())).fetchMap(TODO.ID);,This query fetches all columns from the TODO table when only specific columns may be needed. Consider selecting only the required columns explicitly instead of using selectFrom().
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/TodoServiceTest.java,64,64,var records2 = getDsl().selectFrom(TODO).where(TODO.APP_USER_ID.eq(user2.getId())).fetchMap(TODO.ID);,This query fetches all columns from the TODO table when only specific columns may be needed. Consider selecting only the required columns explicitly instead of using selectFrom().
ralscha_otodo,Implicit Columns,server/src/test/java/ch/rasc/otodo/TodoServiceTest.java,91,91,TodoRecord todoFromDb = getDsl().selectFrom(TODO),This query fetches all columns from the TODO table into a record. Specify only the columns you need for the comparison instead of using selectFrom().
