Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
alipay_container-auto-tune,Implicit Columns,src/main/java/com/alipay/autotuneservice/dao/impl/AlarmRepositoryImpl.java,75,75,return mDSLContext.select(),"Using select() without specifying columns fetches all columns from the ALARM table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., select(Tables.ALARM.ID, Tables.ALARM.ALARM_NAME, ...)."
alipay_container-auto-tune,Implicit Columns,src/main/java/com/alipay/autotuneservice/dao/impl/AlarmRepositoryImpl.java,95,95,return mDSLContext.select(),"Using select() without specifying columns fetches all columns from the ALARM table, which retrieves unnecessary data. Specify only the required columns explicitly, e.g., select(Tables.ALARM.ID, Tables.ALARM.ALARM_NAME, ...)."
alipay_container-auto-tune,Implicit Columns,src/main/java/com/alipay/autotuneservice/dao/impl/AlarmRepositoryImpl.java,102,102,return mDSLContext.select(),"Using select() without specifying columns fetches all columns from the NOTIFY table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., select(Tables.NOTIFY.ID, Tables.NOTIFY.NAME, ...)."
alipay_container-auto-tune,Implicit Columns,src/main/java/com/alipay/autotuneservice/dao/impl/AppInfoRepositoryImpl.java,54,54,return mDSLContext.select(),"Using select() without specifying columns fetches all columns from APP_INFO table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., select(Tables.APP_INFO.ID, Tables.APP_INFO.APP_NAME, ...)."
alipay_container-auto-tune,Implicit Columns,src/main/java/com/alipay/autotuneservice/dao/impl/AppInfoRepositoryImpl.java,73,73,List<AppInfoRecord> records = mDSLContext.select().from(Tables.APP_INFO).where(Tables.APP_INFO.ID.eq(id)),"Using select() without specifying columns fetches all columns from APP_INFO table. Since only the record is needed, explicitly specify the required columns or use selectFrom() if all columns are intentionally needed."
alipay_container-auto-tune,Implicit Columns,src/main/java/com/alipay/autotuneservice/dao/impl/AppInfoRepositoryImpl.java,83,83,return mDSLContext.select(),Using select() without specifying columns fetches all columns from APP_INFO table. Explicitly list only the columns needed for the AppInfoRecord.
alipay_container-auto-tune,Implicit Columns,src/main/java/com/alipay/autotuneservice/dao/impl/AppInfoRepositoryImpl.java,92,92,return mDSLContext.select(),Using select() without specifying columns fetches all columns from APP_INFO table. Specify only the required columns to improve query performance.
alipay_container-auto-tune,Implicit Columns,src/main/java/com/alipay/autotuneservice/dao/impl/AppInfoRepositoryImpl.java,100,100,return mDSLContext.select().from(Tables.APP_INFO),Using select() without specifying columns fetches all columns from APP_INFO table. Explicitly list only the columns needed for the result.
alipay_container-auto-tune,Implicit Columns,src/main/java/com/alipay/autotuneservice/dao/impl/AppInfoRepositoryImpl.java,109,109,return mDSLContext.select().from(Tables.APP_INFO),Using select() without specifying columns fetches all columns from APP_INFO table. Specify only the required columns to reduce data transfer.
alipay_container-auto-tune,Implicit Columns,src/main/java/com/alipay/autotuneservice/dao/impl/AppInfoRepositoryImpl.java,159,159,List<AppInfoRecord> appInfoRecords = mDSLContext.select(),Using select() without specifying columns fetches all columns from APP_INFO table. Explicitly list only the columns needed for the AppInfoRecord.
