Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
mullerhai_mysql-modeldb,Implicit Columns,src/main/java/edu/mit/csail/db/ml/server/algorithm/DataFrameAncestryComputer.java,37,37,.selectFrom(Tables.TRANSFORMEVENT),"Using selectFrom() fetches all columns from the TRANSFORMEVENT table, but only getNewdf, getOlddf, and getId are used. Select only the required columns (ID, NEWDF, OLDDF) to reduce data transfer and improve performance."
mullerhai_mysql-modeldb,Implicit Columns,src/main/java/edu/mit/csail/db/ml/server/algorithm/DataFrameAncestryComputer.java,108,108,.selectFrom(Tables.TRANSFORMEVENT),Using selectFrom() fetches all columns from the TRANSFORMEVENT table when only ID and TRANSFORMER columns are needed. Select only Tables.TRANSFORMEVENT.ID and Tables.TRANSFORMEVENT.TRANSFORMER explicitly.
mullerhai_mysql-modeldb,Implicit Columns,src/main/java/edu/mit/csail/db/ml/server/algorithm/DataFrameAncestryComputer.java,128,128,.selectFrom(Tables.TRANSFORMER),"Using selectFrom() fetches all columns from the TRANSFORMER table. Consider selecting only the required columns (ID, TRANSFORMERTYPE, TAG, FILEPATH) to improve query efficiency."
mullerhai_mysql-modeldb,Implicit Columns,src/main/java/edu/mit/csail/db/ml/server/algorithm/DataFrameAncestryComputer.java,184,184,.selectFrom(Tables.TRANSFORMERSPEC),"Using selectFrom() fetches all columns from the TRANSFORMERSPEC table when only ID, TRANSFORMERTYPE, and TAG are used. Select only the required columns explicitly."
mullerhai_mysql-modeldb,Implicit Columns,src/main/java/edu/mit/csail/db/ml/server/algorithm/DataFrameAncestryComputer.java,202,202,.selectFrom(Tables.HYPERPARAMETER),"Using selectFrom() fetches all columns from the HYPERPARAMETER table. Select only the required columns (SPEC, PARAMNAME, PARAMVALUE, PARAMTYPE, PARAMMINVALUE, PARAMMAXVALUE) explicitly."
mullerhai_mysql-modeldb,Implicit Columns,src/main/java/edu/mit/csail/db/ml/server/algorithm/DataFrameAncestryComputer.java,272,272,DataframeRecord rec = ctx.selectFrom(Tables.DATAFRAME).where(Tables.DATAFRAME.ID.eq(dfId)).fetchOne();,"Using selectFrom() fetches all columns from the DATAFRAME table, but the record is only used for null-checking. Consider using fetchExists() or select only the ID column if you only need to verify existence."
mullerhai_mysql-modeldb,Implicit Columns,src/main/java/edu/mit/csail/db/ml/server/algorithm/DataFrameAncestryComputer.java,303,303,.selectFrom(Tables.DATAFRAMECOLUMN),"Using selectFrom() fetches all columns from the DATAFRAMECOLUMN table when only DFID, NAME, and TYPE are used. Select only the required columns explicitly."
mullerhai_mysql-modeldb,Implicit Columns,src/main/java/edu/mit/csail/db/ml/server/algorithm/DataFrameAncestryComputer.java,311,311,.selectFrom(Tables.DATAFRAME),"Using selectFrom() fetches all columns from the DATAFRAME table. Select only the required columns (ID, NUMROWS, TAG) explicitly to improve query efficiency."
mullerhai_mysql-modeldb,Implicit Columns,src/main/java/edu/mit/csail/db/ml/server/algorithm/Feature.java,58,58,.selectFrom(Tables.TRANSFORMEVENT),"This query fetches all columns from the TRANSFORMEVENT table using selectFrom(), but only uses a few columns (getNewdf, getOutputcolumns, getInputcolumns, getOlddf). Explicitly select only the required columns to reduce data transfer and improve performance."
mullerhai_mysql-modeldb,Implicit Columns,src/main/java/edu/mit/csail/db/ml/server/algorithm/LinearModelAlgorithms.java,33,33,return ctx.selectFrom(Tables.LINEARMODEL).where(Tables.LINEARMODEL.MODEL.eq(modelId)).fetchOne() != null;,Using `selectFrom(Tables.LINEARMODEL)` fetches all columns from the LINEARMODEL table when only checking for existence. Replace with `ctx.fetchExists(ctx.selectOne().from(Tables.LINEARMODEL).where(...))` or select only the primary key column.
