Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Andrey582_NotificationBot,Implicit Columns,scrapper/src/main/java/edu/java/database/jooq/repository/JooqChatRepository.java,35,35,.select(CHAT),"Selecting the entire CHAT table fetches all columns, which can retrieve unnecessary data and reduce performance. Replace with explicit column selection like `.select(CHAT.ID)` or only the specific columns needed."
Andrey582_NotificationBot,Implicit Columns,scrapper/src/main/java/edu/java/database/jooq/repository/JooqChatRepository.java,44,44,.select(CHAT),"Selecting the entire CHAT table fetches all columns, which transfers unnecessary data when only specific fields may be needed. Replace with explicit column selection such as `.select(CHAT.ID)` to fetch only required columns."
Andrey582_NotificationBot,Implicit Columns,scrapper/src/main/java/edu/java/database/jooq/repository/JooqChatToLinkRepository.java,56,56,".select(LINK, CHAT_TO_LINK)","Selecting entire table references (LINK, CHAT_TO_LINK) fetches all columns from both tables, which may retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., `.select(LINK.ID, LINK.URL, CHAT_TO_LINK.NAME)`."
Andrey582_NotificationBot,Implicit Columns,scrapper/src/main/java/edu/java/database/jooq/repository/JooqChatToLinkRepository.java,66,66,.select(LINK),"Selecting the entire LINK table reference fetches all columns, even if only some are needed. Explicitly list the required columns, e.g., `.select(LINK.ID, LINK.URL)`."
Andrey582_NotificationBot,Implicit Columns,scrapper/src/main/java/edu/java/database/jooq/repository/JooqChatToLinkRepository.java,76,76,".select(CHAT, CHAT_TO_LINK)","Selecting entire table references (CHAT, CHAT_TO_LINK) retrieves all columns from both tables unnecessarily. Specify only the columns you need, e.g., `.select(CHAT.ID, CHAT_TO_LINK.LINK_ID)`."
Andrey582_NotificationBot,Implicit Columns,scrapper/src/main/java/edu/java/database/jooq/repository/JooqChatToLinkRepository.java,86,86,".select(CHAT, LINK)","Selecting entire table references (CHAT, LINK) fetches all columns from both tables, which can be inefficient. Explicitly select only the required columns, e.g., `.select(CHAT.ID, LINK.URL)`."
Andrey582_NotificationBot,Implicit Columns,scrapper/src/main/java/edu/java/database/jooq/repository/JooqLinkRepository.java,49,49,.select(LINK),"Selecting the entire LINK table fetches all columns, which may retrieve unnecessary data and reduce performance. Instead, explicitly select only the required columns, e.g., `.select(LINK.ID, LINK.LINK_URL, LINK.LAST_CHECK_TIME)`."
Andrey582_NotificationBot,Implicit Columns,scrapper/src/main/java/edu/java/database/jooq/repository/JooqLinkRepository.java,57,57,.select(LINK),"Selecting the entire LINK table fetches all columns, which may retrieve unnecessary data and reduce performance. Instead, explicitly select only the required columns, e.g., `.select(LINK.ID, LINK.LINK_URL, LINK.LAST_CHECK_TIME)`."
Andrey582_NotificationBot,Implicit Columns,scrapper/src/main/java/edu/java/database/jooq/repository/JooqLinkRepository.java,64,64,.select(LINK),"Selecting the entire LINK table fetches all columns, which may retrieve unnecessary data and reduce performance. Instead, explicitly select only the required columns, e.g., `.select(LINK.ID, LINK.LINK_URL, LINK.LAST_CHECK_TIME)`."
Andrey582_NotificationBot,ID Required,scrapper/src/main/java/edu/java/database/jooq/tables/Link.java,68,68,"public final TableField<LinkRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'ID' column as the primary key while having a unique constraint on LINK_URL which could serve as a natural primary key. Consider using LINK_URL as the primary key or renaming the ID column to something more descriptive like 'link_id'.
