Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
dianainya_platform-backend,ID Required,src/main/generated/jooq/sadiva/mpi/platformbackend/tables/Dish.java,59,59,"public final TableField<DishRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The table has a synthetic primary key named 'id' even though a natural unique key exists on the 'name' column (DISH_NAME_KEY). Consider using 'name' as the primary key if dish names are immutable, or rename the primary key column to something more descriptive like 'dish_id'."
dianainya_platform-backend,Beware of the Unknown,src/main/generated/jooq/sadiva/mpi/platformbackend/tables/DishIngredients.java,68,68,"public final TableField<DishIngredientsRecord, Integer> AMOUNT = createField(DSL.name(""amount""), SQLDataType.INTEGER.defaultValue(DSL.field(DSL.raw(""1""), SQLDataType.INTEGER)), this, """");","The AMOUNT column has a default value but is implicitly NULLABLE, which means it can accept NULL values even though it has a meaningful default. Consider adding .nullable(false) to the column definition to prevent NULL values from being inserted."
dianainya_platform-backend,ID Required,src/main/generated/jooq/sadiva/mpi/platformbackend/tables/Platform.java,59,59,"public final TableField<PlatformRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The table uses a generic 'id' column as primary key while having a unique constraint on 'code' (PLATFORM_CODE_KEY), which could serve as a natural primary key since platform codes are typically immutable identifiers. Consider using 'code' as the primary key or renaming 'id' to something more descriptive like 'platform_id'."
dianainya_platform-backend,ID Required,src/main/generated/jooq/sadiva/mpi/platformbackend/tables/Prisoner.java,59,59,"public final TableField<PrisonerRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The table uses a generic 'id' column as the primary key while a natural unique key 'passport' already exists (PRISONER_PASSPORT_KEY). Consider using the passport as the primary key since it's a natural identifier for prisoners, or rename the synthetic key to something more descriptive like 'prisoner_id'."
dianainya_platform-backend,ID Required,src/main/generated/jooq/sadiva/mpi/platformbackend/tables/Product.java,58,58,"public final TableField<ProductRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on 'name' (PRODUCT_NAME_KEY) which could serve as a natural key since product names are inherently unique and immutable. Consider using 'name' as the primary key or renaming the synthetic key to something more descriptive like 'product_id'."
dianainya_platform-backend,Implicit Columns,src/main/java/sadiva/mpi/platformbackend/repo/CurrentMenuRepo.java,75,75,DISH.mapping(Dish::new),Using DISH.mapping(Dish::new) fetches all columns from the DISH table to construct the Dish POJO. Consider explicitly selecting only the required columns instead of fetching the entire record.
dianainya_platform-backend,Implicit Columns,src/main/java/sadiva/mpi/platformbackend/repo/CurrentMenuRepo.java,77,77,"select(DISH_INGREDIENTS.AMOUNT, PRODUCT.mapping(Product::new))",Using PRODUCT.mapping(Product::new) fetches all columns from the PRODUCT table to construct the Product POJO. Consider explicitly selecting only the required columns instead of fetching the entire record.
dianainya_platform-backend,Poor Man's Search Engine,src/main/java/sadiva/mpi/platformbackend/repo/DishRepo.java,113,113,"res = res.and(DISH.NAME.likeIgnoreCase(""%"" + filterParam.getName() + ""%""));","Using LIKE with wildcards on both sides for text search is inefficient as it cannot use indexes and performs a full table scan. Consider using a full-text search index (e.g., PostgreSQL's tsvector/tsquery) or a dedicated search engine like Elasticsearch."
dianainya_platform-backend,Implicit Columns,src/main/java/sadiva/mpi/platformbackend/repo/DishRepo.java,78,79,".returning()
                .fetchOneInto(Dish.class);","Using `.returning()` without specifying columns fetches all columns from the DISH table, which may retrieve unnecessary data. Explicitly specify only the required columns, e.g., `.returning(DISH.ID)` since only the ID is used."
dianainya_platform-backend,Implicit Columns,src/main/java/sadiva/mpi/platformbackend/repo/DishRepo.java,137,137,return this.dslContext.selectDistinct().from(DISH).where(DISH.NAME.eq(name)).fetchOneInto(Dish.class);,"Using `selectDistinct()` without specifying columns fetches all columns from the DISH table. Explicitly list only the columns you need, e.g., `selectDistinct(DISH.ID, DISH.NAME, ...)`."
dianainya_platform-backend,Implicit Columns,src/main/java/sadiva/mpi/platformbackend/repo/DishRepo.java,141,141,"return dslContext.insertInto(DISH).set(DISH.NAME, name).returning().fetchOneInto(Dish.class);","Using `.returning()` without specifying columns fetches all columns from the DISH table. Explicitly specify only the required columns in the returning clause, e.g., `.returning(DISH.ID, DISH.NAME)`."
