Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
matco_hotspot-api,Implicit Columns,src/main/java/name/matco/hotspot/api/security/tokens/RevokedTokenRepositoryDb.java,20,20,dsl.selectFrom(REVOKED_TOKEN),"Using selectFrom() fetches all columns from the REVOKED_TOKEN table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the RevokedToken class."
matco_hotspot-api,Keyless Entry,src/main/java/name/matco/hotspot/model/jooq/tables/RevokedToken.java,71,71,"public final TableField<RevokedTokenRecord, Integer> USER_FK = createField(DSL.name(""user_fk""), SQLDataType.INTEGER.nullable(false), this, """");","The USER_FK column references the Users table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing Keys.KEY_USERS_PRIMARY to ensure data consistency."
matco_hotspot-api,ID Required,src/main/java/name/matco/hotspot/model/jooq/tables/Spot.java,66,66,"public final TableField<SpotRecord, Integer> PK = createField(DSL.name(""pk""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The table has a synthetic auto-increment primary key 'pk' even though it has a unique constraint on 'uuid' (KEY_SPOT_SPOT_UUID) which could serve as a natural primary key. Consider using the 'uuid' column as the primary key instead of introducing a surrogate key.
matco_hotspot-api,ID Required,src/main/java/name/matco/hotspot/model/jooq/tables/Stash.java,66,66,"public final TableField<StashRecord, Integer> PK = createField(DSL.name(""pk""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a synthetic auto-increment primary key 'pk' even though it has a unique constraint on 'uuid' (KEY_STASH_STASH_UUID) which could serve as a natural primary key. Consider using the UUID column as the primary key instead, as it already uniquely identifies each record."
matco_hotspot-api,ID Required,src/main/java/name/matco/hotspot/model/jooq/tables/Users.java,66,66,"public final TableField<UsersRecord, Integer> PK = createField(DSL.name(""pk""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key 'pk' even though it has unique constraints on 'handle' and 'email' columns that could serve as natural keys. Consider using 'handle' or 'email' as the primary key instead of the synthetic 'pk' column, or if a surrogate key is truly needed, give it a more meaningful name like 'user_id'."
matco_hotspot-api,Implicit Columns,src/main/java/name/matco/hotspot/repositories/db/SpotRepositoryDb.java,31,31,dsl.selectFrom(SPOT),"Using selectFrom(SPOT) fetches all columns from the SPOT table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns."
matco_hotspot-api,Implicit Columns,src/main/java/name/matco/hotspot/repositories/db/SpotRepositoryDb.java,36,36,dsl.selectFrom(SPOT),"Using selectFrom(SPOT) fetches all columns from the SPOT table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns."
matco_hotspot-api,Poor Man's Search Engine,src/main/java/name/matco/hotspot/repositories/db/SpotRepositoryDb.java,44,44,conditions.add(SPOT.NAME.containsIgnoreCase(search).or(SPOT.DESCRIPTION.containsIgnoreCase(search)));,Using containsIgnoreCase() performs a LIKE '%search%' pattern match which cannot use indexes efficiently for full-text search. Consider using a dedicated full-text search engine or database full-text search capabilities like PostgreSQL's tsvector/tsquery.
matco_hotspot-api,Implicit Columns,src/main/java/name/matco/hotspot/repositories/db/SpotRepositoryDb.java,46,46,dsl.selectFrom(SPOT),"Using selectFrom(SPOT) fetches all columns from the SPOT table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns."
matco_hotspot-api,Implicit Columns,src/main/java/name/matco/hotspot/repositories/db/SpotRepositoryDb.java,76,76,dsl.selectFrom(SPOT),"Using selectFrom(SPOT) fetches all columns from the SPOT table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns."
matco_hotspot-api,Implicit Columns,src/main/java/name/matco/hotspot/repositories/db/StashRepositoryDb.java,28,28,dsl.selectFrom(STASH),"Using selectFrom(STASH) fetches all columns from the STASH table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed, e.g., dsl.select(STASH.UUID, STASH.NAME, ...).from(STASH)."
matco_hotspot-api,Poor Man's Search Engine,src/main/java/name/matco/hotspot/repositories/db/StashRepositoryDb.java,36,36,STASH.NAME.containsIgnoreCase(search).or(STASH.DESCRIPTION.containsIgnoreCase(search)),Using containsIgnoreCase (which translates to LIKE '%search%') for text search is inefficient and cannot use indexes effectively. Consider using a full-text search solution like PostgreSQL's tsvector/tsquery or a dedicated search engine like Elasticsearch.
matco_hotspot-api,Implicit Columns,src/main/java/name/matco/hotspot/repositories/db/StashRepositoryDb.java,38,38,dsl.selectFrom(STASH),"Using selectFrom(STASH) fetches all columns from the STASH table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed, e.g., dsl.select(STASH.UUID, STASH.NAME, ...).from(STASH)."
matco_hotspot-api,Implicit Columns,src/main/java/name/matco/hotspot/repositories/db/UserRepositoryDb.java,24,24,dsl.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed, e.g., dsl.select(USERS.PK, USERS.EMAIL, ...).from(USERS)."
matco_hotspot-api,Implicit Columns,src/main/java/name/matco/hotspot/repositories/db/UserRepositoryDb.java,29,29,dsl.selectFrom(USERS),Using selectFrom(USERS) fetches all columns from the USERS table when only looking up a user by email. Consider explicitly selecting only the required columns for the User class.
matco_hotspot-api,Implicit Columns,src/main/java/name/matco/hotspot/repositories/db/UserRepositoryDb.java,34,34,dsl.selectFrom(USERS),Using selectFrom(USERS) fetches all columns from the USERS table when only looking up a user by handle. Consider explicitly selecting only the required columns for the User class.
