Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
hieplp_vinorsoft-hometest,Implicit Columns,NhanVien/src/main/java/com/vinorsoft/nhanvien/repository/base/BaseRepoImpl.java,70,70,"return Optional.of(context.fetch(table, condition).into(type).get(0));","The `context.fetch(table, condition)` call fetches all columns from the table without specifying which columns are needed. Consider using `context.select(specificFields).from(table).where(condition)` to explicitly specify only the required columns."
hieplp_vinorsoft-hometest,Implicit Columns,NhanVien/src/main/java/com/vinorsoft/nhanvien/repository/base/BaseRepoImpl.java,127,127,return context.selectFrom(table).fetchInto(type);,"The `selectFrom(table)` call fetches all columns from the table, which may retrieve unnecessary data. Consider using `context.select(specificFields).from(table)` to explicitly specify only the columns needed for the target type."
hieplp_vinorsoft-hometest,ID Required,NhanVien/src/main/java/com/vinorsoft/nhanvien/repository/generate/tables/NhanVien.java,33,33,"public final TableField<NhanVienRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, while unique constraints already exist on EMAIL, MA_NHAN_VIEN, and SDT columns. Consider using MA_NHAN_VIEN (employee code) as a natural primary key since it's already unique and meaningful to the business domain."
hieplp_vinorsoft-hometest,Keyless Entry,NhanVien/src/main/java/com/vinorsoft/nhanvien/repository/generate/tables/NhanVien.java,37,37,"public final TableField<NhanVienRecord, String> CHUC_VU_ID = createField(DSL.name(""chuc_vu_id""), SQLDataType.VARCHAR(10).defaultValue(DSL.inline(""NULL"", SQLDataType.VARCHAR)), this, """");",The CHUC_VU_ID column appears to reference the ChucVu table (which has KEY_CHUC_VU_PRIMARY on CHUC_VU_ID) but lacks a foreign key constraint. Add a foreign key constraint referencing ChucVu.CHUC_VU_ID to ensure referential integrity.
hieplp_vinorsoft-hometest,Keyless Entry,NhanVien/src/main/java/com/vinorsoft/nhanvien/repository/generate/tables/NhanVien.java,61,61,"public final TableField<NhanVienRecord, String> PHONG_BAN_ID = createField(DSL.name(""phong_ban_id""), SQLDataType.VARCHAR(10).defaultValue(DSL.inline(""NULL"", SQLDataType.VARCHAR)), this, """");",The PHONG_BAN_ID column appears to reference the PhongBan table (which has KEY_PHONG_BAN_PRIMARY on PHONG_BAN_ID) but lacks a foreign key constraint. Add a foreign key constraint referencing PhongBan.PHONG_BAN_ID to ensure referential integrity.
hieplp_vinorsoft-hometest,Beware of the Unknown,NhanVien/src/main/java/com/vinorsoft/nhanvien/repository/generate/tables/PhongBan.java,37,37,"public final TableField<PhongBanRecord, String> CHUC_NANG = createField(DSL.name(""chuc_nang""), SQLDataType.VARCHAR(100).defaultValue(DSL.inline(""NULL"", SQLDataType.VARCHAR)), this, """");","The column CHUC_NANG has a default value but is implicitly nullable, meaning it can never be NULL in practice when using the default. Consider either making the column NOT NULL if a default is always applied, or removing the default value if NULL is a valid state."
hieplp_vinorsoft-hometest,Beware of the Unknown,NhanVien/src/main/java/com/vinorsoft/nhanvien/repository/generate/tables/PhongBan.java,41,41,"public final TableField<PhongBanRecord, String> TEN_PHONG_BAN = createField(DSL.name(""ten_phong_ban""), SQLDataType.VARCHAR(100).defaultValue(DSL.inline(""NULL"", SQLDataType.VARCHAR)), this, """");","The column TEN_PHONG_BAN has a default value but is implicitly nullable. Since this column is part of a unique key (KEY_PHONG_BAN_UK_87REOME3QODVJNX84F1OJIF94), it should likely be NOT NULL to ensure data integrity. Consider making the column NOT NULL."
hieplp_vinorsoft-hometest,Implicit Columns,NhanVien/src/main/java/com/vinorsoft/nhanvien/repository/impl/NhanVienRepositoryImpl.java,98,98,.select(NHAN_VIEN_.fields()),"Using `fields()` selects all columns from the NHAN_VIEN_ table, which fetches more data than may be needed and can cause performance issues. Explicitly list only the required columns instead of using `fields()`."
hieplp_vinorsoft-hometest,Implicit Columns,NhanVien/src/main/java/com/vinorsoft/nhanvien/repository/impl/NhanVienRepositoryImpl.java,116,116,.select(NHAN_VIEN_.fields()),"Using `fields()` selects all columns from the NHAN_VIEN_ table, which retrieves unnecessary data and increases network overhead. Replace with an explicit list of only the columns needed for the response."
hieplp_vinorsoft-hometest,Poor Man's Search Engine,NhanVien/src/main/java/com/vinorsoft/nhanvien/repository/impl/NhanVienRepositoryImpl.java,143,143,condition = condition.and(searchField.contains(searchValue));,"The `contains()` method generates a LIKE '%value%' pattern for full-text search, which cannot use indexes efficiently and causes full table scans. Consider using a proper full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch."
