Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
AntonioRusan_LinkTracker,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Link.java,79,79,"public final TableField<LinkRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key while a unique constraint on 'URL' (CONSTRAINT_23) already exists, which could serve as a natural key. Consider using the URL as the primary key or renaming the ID column to something more descriptive like 'link_id'."
AntonioRusan_LinkTracker,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/StackoverflowLink.java,75,75,"public final TableField<StackoverflowLinkRecord, Long> LINK_ID = createField(DSL.name(""LINK_ID""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses LINK_ID as a synthetic primary key (referencing the LINK table's ID), but LINK_ID itself serves as both the primary key and foreign key. Since this is essentially a 1:1 extension table where LINK_ID uniquely identifies records and references LINK.ID, the natural key (LINK_ID as FK) is already suitable as the primary key without needing a separate synthetic ID. Consider documenting this design choice or evaluating if a separate surrogate key adds unnecessary complexity."
AntonioRusan_LinkTracker,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqChatLinkRepository.java,23,23,return dsl.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table, which fetches more data than may be needed and couples the code to the table schema. Consider explicitly listing only the required columns in the select clause."
AntonioRusan_LinkTracker,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqChatLinkRepository.java,33,33,return dsl.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Consider explicitly specifying only the columns needed for the Chat model."
AntonioRusan_LinkTracker,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqChatRepository.java,22,22,return dsl.selectFrom(CHAT),"Using selectFrom(CHAT) fetches all columns from the CHAT table, which can retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns, e.g., dsl.select(CHAT.ID, ...).from(CHAT)."
AntonioRusan_LinkTracker,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqChatRepository.java,29,29,return dsl.select(asterisk()).from(CHAT).fetch().into(Chat.class);,"Using asterisk() selects all columns from the CHAT table, which may fetch more data than needed and can break if the schema changes. Consider explicitly listing the required columns in the select statement."
AntonioRusan_LinkTracker,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqGitHubLinkRepository.java,22,22,return dsl.selectFrom(GITHUB_LINK),"Using `selectFrom(GITHUB_LINK)` fetches all columns from the GITHUB_LINK table, which may retrieve unnecessary data. Consider using `select()` with only the specific columns needed, such as `dsl.select(GITHUB_LINK.LINK_ID, GITHUB_LINK.LAST_PULL_REQUEST_DATE).from(GITHUB_LINK)`."
AntonioRusan_LinkTracker,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqLinkRepository.java,24,24,return dsl.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which can retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns, e.g., dsl.select(LINK.ID, LINK.URL, ...).from(LINK)."
AntonioRusan_LinkTracker,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqLinkRepository.java,31,31,return dsl.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which can retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns needed for the Link class."
AntonioRusan_LinkTracker,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqLinkRepository.java,38,38,return dsl.select(asterisk()).from(LINK).fetch().into(Link.class);,"Using asterisk() selects all columns from the LINK table, which can lead to performance issues and maintenance problems if the table schema changes. Consider explicitly listing the required columns instead."
AntonioRusan_LinkTracker,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqLinkRepository.java,61,61,return dsl.select(asterisk()).from(LINK).where(LINK.LAST_CHECK_TIME.lessThan(minTime)).fetch().into(Link.class);,"Using asterisk() selects all columns from the LINK table, which retrieves potentially unnecessary data. Consider explicitly selecting only the columns needed for the Link class."
AntonioRusan_LinkTracker,Implicit Columns,scrapper/src/main/java/edu/java/repositories/jooq/JooqStackOverflowLinkRepository.java,21,21,return dsl.selectFrom(STACKOVERFLOW_LINK),"Using `selectFrom()` fetches all columns from the STACKOVERFLOW_LINK table, which may retrieve unnecessary data. Replace with an explicit column selection like `dsl.select(STACKOVERFLOW_LINK.LINK_ID, STACKOVERFLOW_LINK.LAST_ANSWER_DATE).from(STACKOVERFLOW_LINK)` to fetch only the required columns."
