Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
jsflzhong_cjSpringboot-demo,ID Required,jooq/src/main/java/com/cj/jooq/jooq/tables/CustDeviceInfo.java,61,61,"public final TableField<CustDeviceInfoRecord, Integer> ID = createField(""ID"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'ID', which is a generic non-descriptive name that doesn't convey the table context. Consider renaming it to something more meaningful like 'cust_device_info_id' or 'device_info_id' to improve clarity when joining tables."
jsflzhong_cjSpringboot-demo,ID Required,jooq/src/main/java/com/cj/jooq/jooq/tables/CustDevicePushLog.java,61,61,"public final TableField<CustDevicePushLogRecord, Integer> ID = createField(""ID"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'push_log_id' or 'cust_device_push_log_id' to make the schema more self-documenting and avoid ambiguity in joins.
jsflzhong_cjSpringboot-demo,ID Required,jooq/src/main/java/com/cj/jooq/jooq/tables/UPermission.java,59,59,"public final TableField<UPermissionRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(32).nullable(false), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'permission_id' to make it more meaningful and to avoid ambiguity in queries with joins."
jsflzhong_cjSpringboot-demo,Keyless Entry,jooq/src/main/java/com/cj/jooq/jooq/tables/UPermission.java,79,79,"public final TableField<UPermissionRecord, String> PARENTID = createField(""parentId"", org.jooq.impl.SQLDataType.VARCHAR(32), this, ""父编号"");",The 'parentId' column appears to reference another permission record (self-referencing relationship) but lacks a foreign key constraint. Add a foreign key constraint referencing the 'u_permission' table's primary key to ensure referential integrity.
jsflzhong_cjSpringboot-demo,ID Required,jooq/src/main/java/com/cj/jooq/jooq/tables/URole.java,59,59,"public final TableField<URoleRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(32).nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'role_id'. Consider renaming the column to 'role_id' or using the natural key 'role' (which is described as a unique identifier) as the primary key instead.
jsflzhong_cjSpringboot-demo,ID Required,jooq/src/main/java/com/cj/jooq/jooq/tables/URolePermission.java,59,59,"public final TableField<URolePermissionRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(32).nullable(false), this, """");","The primary key is named 'id' which is a generic, non-descriptive name. This is a junction table linking roles and permissions, so a composite primary key on (RID, PID) would be more appropriate, or rename the column to something like 'role_permission_id'."
jsflzhong_cjSpringboot-demo,Keyless Entry,jooq/src/main/java/com/cj/jooq/jooq/tables/URolePermission.java,64,64,"public final TableField<URolePermissionRecord, String> RID = createField(""rid"", org.jooq.impl.SQLDataType.VARCHAR(32), this, ""角色ID"");","The RID column references a role (角色ID) but lacks a foreign key constraint to the u_role table, which has a primary key (KEY_U_ROLE_PRIMARY). Add a foreign key constraint referencing URole.ID to ensure referential integrity."
jsflzhong_cjSpringboot-demo,Keyless Entry,jooq/src/main/java/com/cj/jooq/jooq/tables/URolePermission.java,69,69,"public final TableField<URolePermissionRecord, String> PID = createField(""pid"", org.jooq.impl.SQLDataType.VARCHAR(32), this, ""权限ID"");","The PID column references a permission (权限ID) but lacks a foreign key constraint to the u_permission table, which has a primary key (KEY_U_PERMISSION_PRIMARY). Add a foreign key constraint referencing UPermission.ID to ensure referential integrity."
jsflzhong_cjSpringboot-demo,ID Required,jooq/src/main/java/com/cj/jooq/jooq/tables/UserT.java,59,59,"public final TableField<UserTRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");",The primary key column is named generically as 'id' rather than a more descriptive name like 'user_id'. Consider renaming the column to 'user_id' or 'user_t_id' to make it self-documenting and avoid ambiguity in queries with joins.
jsflzhong_cjSpringboot-demo,ID Required,jooq/src/main/java/com/cj/jooq/jooq/tables/UUser.java,60,60,"public final TableField<UUserRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.VARCHAR(32).nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to something more descriptive like 'user_id' to make queries with joins more readable and self-documenting."
