Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/LoginRepository.java,45,45,LoginsRecord record = jooq.selectFrom(table),Using selectFrom(table) fetches all columns from the Logins table into a LoginsRecord. Consider explicitly selecting only the required columns using select(...).from(table) to improve query performance and reduce data transfer.
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/LoginRepository.java,52,52,LoginsRecord record = jooq.selectFrom(table),Using selectFrom(table) fetches all columns from the Logins table into a LoginsRecord. Consider explicitly selecting only the required columns using select(...).from(table) to improve query performance and reduce data transfer.
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/LoginRepository.java,61,61,Result<LoginsRecord> records = jooq.selectFrom(table),Using selectFrom(table) fetches all columns from the Logins table into LoginsRecords. Consider explicitly selecting only the required columns using select(...).from(table) to improve query performance and reduce data transfer.
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/LoginRepository.java,68,68,Result<LoginsRecord> records = jooq.selectFrom(table),Using selectFrom(table) fetches all columns from the Logins table into LoginsRecords. Consider explicitly selecting only the required columns using select(...).from(table) to improve query performance and reduce data transfer.
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/LoginRepository.java,75,75,Result<LoginsRecord> records = jooq.selectFrom(table),Using selectFrom(table) fetches all columns from the Logins table into LoginsRecords. Consider explicitly selecting only the required columns using select(...).from(table) to improve query performance and reduce data transfer.
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/PageRepository.java,41,41,PagesRecord record = jooq.selectFrom(table),"Using selectFrom(table) fetches all columns from the Pages table into a PagesRecord, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns instead."
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/PageRepository.java,48,48,Result<PagesRecord> records = jooq.selectFrom(table),Using selectFrom(table) fetches all columns from the Pages table when only specific fields may be needed. Consider using an explicit select() to specify only the required columns.
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/UserRepository.java,43,43,UsersRecord record = jooq.selectFrom(table),"Using selectFrom(table) fetches all columns from the Users table into a UsersRecord, which can be inefficient if only specific columns are needed. Consider using select() with explicit column names instead."
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/UserRepository.java,50,50,UsersRecord record = jooq.selectFrom(table),"Using selectFrom(table) fetches all columns from the Users table into a UsersRecord, which can be inefficient if only specific columns are needed. Consider using select() with explicit column names instead."
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/UserRepository.java,57,57,UsersRecord record = jooq.selectFrom(table),"Using selectFrom(table) fetches all columns from the Users table into a UsersRecord, which can be inefficient if only specific columns are needed. Consider using select() with explicit column names instead."
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/UserRepository.java,65,65,Result<UsersRecord> records = jooq.selectFrom(table),"Using selectFrom(table) fetches all columns from the Users table into UsersRecords, which can be inefficient if only specific columns are needed. Consider using select() with explicit column names instead."
whizvox_wsite,Implicit Columns,src/main/java/me/whizvox/wsite/database/UserRepository.java,72,72,Result<UsersRecord> records = jooq.selectFrom(table),"Using selectFrom(table) fetches all columns from the Users table into UsersRecords, which can be inefficient if only specific columns are needed. Consider using select() with explicit column names instead."
whizvox_wsite,Keyless Entry,src/main/java/me/whizvox/wsite/generated/tables/Logins.java,67,67,"public final TableField<LoginsRecord, String> USER_ID = createField(""user_id"", org.jooq.impl.SQLDataType.CHAR(36).nullable(false), this, """");","The USER_ID column appears to reference the Users table (based on the CHAR(36) type matching Users.ID) but lacks a foreign key constraint, which could lead to orphaned login records referencing non-existent users. Add a foreign key constraint from logins.user_id to users.id to ensure referential integrity."
whizvox_wsite,ID Required,src/main/java/me/whizvox/wsite/generated/tables/Users.java,62,62,"public final TableField<UsersRecord, String> ID = createField(""id"", org.jooq.impl.SQLDataType.CHAR(36), this, """");","The table uses a generic 'id' column as the primary key, even though the 'username' column has a unique constraint and could serve as a natural primary key. Consider using 'username' as the primary key or renaming the synthetic key to something more descriptive like 'user_id'."
