Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
teragrep_pth_06,ID Required,src/main/java/com/teragrep/pth_06/jooq/generated/bloomdb/tables/Filtertype.java,109,109,"public final TableField<FiltertypeRecord, ULong> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on (expectedElements, targetFpp, pattern) that could serve as a natural composite key. Consider using this natural key as the primary key or renaming the synthetic key to something more descriptive like 'filtertype_id'."
teragrep_pth_06,ID Required,src/main/java/com/teragrep/pth_06/jooq/generated/journaldb/tables/Bucket.java,109,109,"public final TableField<BucketRecord, UShort> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.SMALLINTUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on the 'name' column (KEY_BUCKET_UIX_BUCKET_NAME) which could serve as a natural primary key since bucket names are inherently unique and immutable identifiers. Consider using 'name' as the primary key or renaming the synthetic key to something more descriptive like 'bucket_id'."
teragrep_pth_06,ID Required,src/main/java/com/teragrep/pth_06/jooq/generated/journaldb/tables/Host.java,109,109,"public final TableField<HostRecord, UShort> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.SMALLINTUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there is already a unique constraint on the 'name' column (KEY_HOST_UIX_HOST_NAME) which could serve as a natural primary key since host names are inherently unique and immutable. Consider using 'name' as the primary key or renaming the synthetic key to something more descriptive like 'host_id'."
teragrep_pth_06,ID Required,src/main/java/com/teragrep/pth_06/jooq/generated/journaldb/tables/Logfile.java,112,112,"public final TableField<LogfileRecord, ULong> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is named generically 'id' instead of a more descriptive name like 'logfile_id'. Consider renaming the column to 'logfile_id' to make it self-documenting and avoid ambiguity in joins.
teragrep_pth_06,ID Required,src/main/java/com/teragrep/pth_06/jooq/generated/streamdb/tables/Host.java,109,109,"public final TableField<HostRecord, UInteger> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'host_id'. Consider renaming the column to 'host_id' to make it self-documenting and avoid ambiguity in queries with joins.
teragrep_pth_06,ID Required,src/main/java/com/teragrep/pth_06/jooq/generated/streamdb/tables/LogGroup.java,109,109,"public final TableField<LogGroupRecord, UInteger> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'log_group_id'. Consider renaming the column to 'log_group_id' to make it self-documenting and avoid ambiguity in queries with joins.
teragrep_pth_06,ID Required,src/main/java/com/teragrep/pth_06/jooq/generated/streamdb/tables/Stream.java,109,109,"public final TableField<StreamRecord, UInteger> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'stream_id'. Consider renaming the column to 'stream_id' to make it self-documenting and avoid ambiguity in JOIN queries.
teragrep_pth_06,Implicit Columns,src/main/java/com/teragrep/pth_06/planner/bloomfilter/TableFilterTypesFromMetadata.java,104,105,"List<Field<?>> selectFieldsList = Arrays
        .asList(BLOOMDB.FILTERTYPE.ID, table.field(""expectedElements""), table.field(""targetFpp""), table.field(""pattern""));","Using `table.field(""fieldName"")` retrieves fields dynamically without type safety, and the query selects columns from a joined table without explicit column definitions. Consider using strongly-typed generated table fields instead of string-based field lookups to ensure compile-time safety and explicit column selection."
teragrep_pth_06,Poor Man's Search Engine,src/main/java/com/teragrep/pth_06/planner/walker/conditions/HostCondition.java,70,70,"condition = STREAMDB.HOST.NAME.like(value.replace('*', '%'));",Using LIKE with a wildcard pattern derived from user input can lead to inefficient full-text searches when the pattern contains wildcards in the middle or at the beginning. Consider using a dedicated full-text search index or restricting patterns to prefix-only searches.
teragrep_pth_06,Poor Man's Search Engine,src/main/java/com/teragrep/pth_06/planner/walker/conditions/HostCondition.java,73,73,"condition = GetArchivedObjectsFilterTable.host.like(value.replace('*', '%').toLowerCase());",Using LIKE with a wildcard pattern derived from user input can lead to inefficient full-text searches when the pattern contains wildcards in the middle or at the beginning. Consider using a dedicated full-text search index or restricting patterns to prefix-only searches.
