Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
yihaozhong_BuyUp,Keyless Entry,src/main/java/com/skillup/infrastructure/jooq/tables/Order.java,66,66,"public final TableField<OrderRecord, String> PROMOTION_ID = createField(DSL.name(""promotion_id""), SQLDataType.VARCHAR(36).nullable(false), this, """");",The PROMOTION_ID column appears to reference the Promotion table (which has KEY_PROMOTION_PRIMARY on PROMOTION_ID) but lacks a foreign key constraint. Add a foreign key constraint referencing the Promotion table to ensure referential integrity.
yihaozhong_BuyUp,Keyless Entry,src/main/java/com/skillup/infrastructure/jooq/tables/Order.java,76,76,"public final TableField<OrderRecord, String> USER_ID = createField(DSL.name(""user_id""), SQLDataType.VARCHAR(36).nullable(false), this, """");",The USER_ID column appears to reference the User table (which has KEY_USER_PRIMARY on USER_ID) but lacks a foreign key constraint. Add a foreign key constraint referencing the User table to ensure referential integrity.
yihaozhong_BuyUp,Keyless Entry,src/main/java/com/skillup/infrastructure/jooq/tables/Promotion.java,66,66,"public final TableField<PromotionRecord, String> COMMODITY_ID = createField(DSL.name(""commodity_id""), SQLDataType.VARCHAR(36).nullable(false), this, """");","The COMMODITY_ID column appears to reference the Commodity table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing the Commodity.COMMODITY_ID primary key."
yihaozhong_BuyUp,ID Required,src/main/java/com/skillup/infrastructure/jooq/tables/User.java,53,53,"public final TableField<UserRecord, String> USER_ID = createField(DSL.name(""user_id""), SQLDataType.VARCHAR(36).nullable(false), this, """");","The table has a synthetic primary key 'user_id' even though 'user_name' has a unique constraint that could serve as a natural primary key. Consider using 'user_name' as the primary key if it is stable and immutable, or rename 'user_id' to something more descriptive like 'user_uuid'."
yihaozhong_BuyUp,Implicit Columns,src/main/java/com/skillup/infrastructure/repoImpl/JooqCommodityRepo.java,36,36,dslContext.selectFrom(COMMODITY_T),"Using selectFrom() fetches all columns from the COMMODITY_T table, which retrieves more data than necessary. Consider using select() with only the specific columns needed (e.g., COMMODITY_ID, COMMODITY_NAME, DESCRIPTION, PRICE, IMAGE_URL) instead of selectFrom()."
yihaozhong_BuyUp,Implicit Columns,src/main/java/com/skillup/infrastructure/repoImpl/JooqOrderRepo.java,27,27,dslContext.selectFrom(OT),"Using selectFrom(OT) fetches all columns from the Order table, which can retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns, e.g., dslContext.select(OT.ORDER_NUMBER, OT.ORDER_STATUS, ...).from(OT)."
yihaozhong_BuyUp,Implicit Columns,src/main/java/com/skillup/infrastructure/repoImpl/JooqPromotionRepo.java,35,35,dslContext.selectFrom(P_T),"Using selectFrom(P_T) fetches all columns from the Promotion table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed, e.g., dslContext.select(P_T.PROMOTION_ID, P_T.PROMOTION_NAME, ...).from(P_T)."
yihaozhong_BuyUp,Implicit Columns,src/main/java/com/skillup/infrastructure/repoImpl/JooqPromotionRepo.java,41,41,dslContext.selectFrom(P_T),Using selectFrom(P_T) fetches all columns from the Promotion table when querying by status. Consider explicitly selecting only the required columns using select(...).from(P_T) to improve query efficiency.
yihaozhong_BuyUp,Implicit Columns,src/main/java/com/skillup/infrastructure/repoImpl/JooqUserRepo.java,38,38,dslContext.selectFrom(USER_T),"Using selectFrom(USER_T) fetches all columns from the User table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed, e.g., dslContext.select(USER_T.USER_ID, USER_T.USER_NAME, USER_T.PASSWORD).from(USER_T)."
yihaozhong_BuyUp,Implicit Columns,src/main/java/com/skillup/infrastructure/repoImpl/JooqUserRepo.java,46,46,dslContext.selectFrom(USER_T),"Using selectFrom(USER_T) fetches all columns from the User table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed, e.g., dslContext.select(USER_T.USER_ID, USER_T.USER_NAME, USER_T.PASSWORD).from(USER_T)."
