Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
jOOQ_demo,31 Flavors,jOOQ-demo-oss/jOOQ-demo-java/src/main/java/org/jooq/demo/java/db/tables/Film.java,124,124,"public final TableField<FilmRecord, MpaaRating> RATING = createField(DSL.name(""rating""), SQLDataType.VARCHAR.defaultValue(DSL.field(DSL.raw(""'G'::mpaa_rating""), SQLDataType.VARCHAR)).asEnumDataType(MpaaRating.class), this, """");","The 'rating' column uses an ENUM type (MpaaRating) to restrict allowed values, which makes adding or removing ratings difficult and requires schema changes. Consider creating a separate 'mpaa_rating' lookup table with a foreign key reference instead."
jOOQ_demo,ID Required,jOOQ-demo-oss/jOOQ-demo-java/src/main/java/org/jooq/demo/java/db/tables/Language.java,61,61,"public final TableField<LanguageRecord, Long> LANGUAGE_ID = createField(DSL.name(""language_id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The 'language' table uses a synthetic auto-generated primary key 'language_id' when the 'name' column (which stores unique language names like 'English', 'French') could serve as a natural primary key since language names are immutable and unique. Consider using 'name' as the primary key or renaming 'language_id' to something more descriptive like 'language_id'."
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo01Querying.java,118,118,ctx.selectFrom(ACTOR),"Using selectFrom(ACTOR) fetches all columns from the ACTOR table, which may retrieve unnecessary data and reduce query performance. Consider explicitly selecting only the required columns, e.g., ctx.select(ACTOR.FIRST_NAME, ACTOR.LAST_NAME).from(ACTOR)."
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo01Querying.java,349,349,"ctx.select(CUSTOMER, CUSTOMER.address().city().country())","Projecting entire tables (CUSTOMER and country) fetches all columns from both tables, which is inefficient if only a few fields are needed. Consider selecting only the specific columns required, such as CUSTOMER.FIRST_NAME, CUSTOMER.LAST_NAME, and the country name."
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo04DML.java,35,35,ctx.selectFrom(ACTOR),"Using selectFrom(ACTOR) fetches all columns from the ACTOR table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed, or if all columns are truly required, this is acceptable for UpdatableRecord use cases."
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,32,32,"ctx.fetch(ACTOR, ACTOR.ACTOR_ID.gt(200L));","This fetch retrieves all columns from the ACTOR table, which may include unnecessary data and reduce performance. Consider using selectFrom with explicit column selection or select specific columns needed."
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,48,48,"c.dsl().fetchOne(ACTOR, ACTOR.ACTOR_ID.eq(201L));",This fetchOne retrieves all columns from the ACTOR table into a record. Specify only the required columns using select() to improve query efficiency.
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,56,56,"ctx.fetch(ACTOR, ACTOR.ACTOR_ID.gt(200L));","This fetch retrieves all columns from the ACTOR table, which may transfer unnecessary data. Use explicit column selection to fetch only the columns you need."
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,83,83,"ctx.fetch(ACTOR, ACTOR.ACTOR_ID.gt(200L));",This fetch retrieves all columns from the ACTOR table. Consider selecting only the specific columns required for your use case.
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,91,91,"ctx.fetch(ACTOR, ACTOR.ACTOR_ID.gt(200L));",This fetch retrieves all columns from the ACTOR table. Specify explicit columns in a select statement to avoid fetching unnecessary data.
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,101,101,"ctx.fetch(ACTOR, ACTOR.ACTOR_ID.gt(200L));",This fetch retrieves all columns from the ACTOR table. Use explicit column selection to improve performance and clarity.
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,130,130,"ctx.fetch(ACTOR, ACTOR.ACTOR_ID.gt(200L));",This fetch retrieves all columns from the ACTOR table. Select only the columns you need to reduce data transfer overhead.
jOOQ_demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,141,141,"ctx.fetch(ACTOR, ACTOR.ACTOR_ID.gt(200L));",This fetch retrieves all columns from the ACTOR table. Consider using ctx.select(...).from(ACTOR).where(...) with explicit columns.
