Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
APSfurizon_fz-backend,Implicit Columns,application/src/main/java/net/furizon/backend/feature/membership/finder/JooqPersonalInfoFinder.java,72,73,"PostgresDSL
                .select(
                    MEMBERSHIP_INFO.USER_ID
                ).from(MEMBERSHIP_INFO)","The query selects only USER_ID but then attempts to access INFO_ID_EXPIRY from the result on line 79, which was not included in the select clause. This will cause a runtime error or return null. Add MEMBERSHIP_INFO.INFO_ID_EXPIRY to the select clause."
APSfurizon_fz-backend,Poor Man's Search Engine,application/src/main/java/net/furizon/backend/feature/user/finder/JooqUserFinder.java,155,160,"searchFursonaQueryCondition = PostgresDSL.concat(
    PostgresDSL.concat(AUTHENTICATIONS.AUTHENTICATION_EMAIL, "" ""),
    PostgresDSL.concat(MEMBERSHIP_INFO.INFO_FIRST_NAME, "" ""),
    PostgresDSL.concat(MEMBERSHIP_INFO.INFO_LAST_NAME, "" ""),
    MEMBERSHIP_INFO.INFO_FIRST_NAME //First name repeated two times so both A B and B A return results
).likeIgnoreCase(""%"" + s + ""%"");","Using LIKE with wildcards on both sides for searching across email, first name, and last name fields is inefficient and won't scale well. Consider using PostgreSQL's full-text search capabilities (tsvector/tsquery) or a dedicated search engine like Elasticsearch."
APSfurizon_fz-backend,Poor Man's Search Engine,application/src/main/java/net/furizon/backend/feature/user/finder/JooqUserFinder.java,162,163,"searchFursonaQueryCondition = searchFursonaQueryCondition
    .or(USERS.USER_FURSONA_NAME.likeIgnoreCase(""%"" + inputQuery + ""%""));",Using LIKE with wildcards on both sides for fursona name search prevents index usage and performs poorly on large datasets. Consider implementing PostgreSQL full-text search with ts_vector or using a trigram index (pg_trgm extension).
APSfurizon_fz-backend,Poor Man's Search Engine,application/src/main/java/net/furizon/backend/feature/user/finder/JooqUserFinder.java,172,173,"searchFursonaQueryCondition =
    USERS.USER_FURSONA_NAME.likeIgnoreCase(""%"" + inputQuery + ""%"")",Using LIKE with wildcards on both sides for fursona name search is inefficient for full-text searching. Consider using PostgreSQL's full-text search features or a trigram index for better performance.
APSfurizon_fz-backend,Implicit Columns,application/src/main/java/net/furizon/backend/feature/user/finder/JooqUserFinder.java,298,298,PostgresDSL.select(PostgresDSL.asterisk()),"Using SELECT * fetches all columns from the table, which can retrieve unnecessary data and break if the table schema changes. Explicitly list only the required columns: USER_ID, USER_FURSONA_NAME, MEDIA_PATH, MEDIA_TYPE, and MEDIA_ID."
APSfurizon_fz-backend,Beware of the Unknown,jooq-common/src/main/java/net/furizon/jooq/generated/tables/Authentications.java,88,88,"public final TableField<Record, OffsetDateTime> AUTHENTICATION_EMAIL_VERIFICATION_CREATION = createField(DSL.name(""authentication_email_verification_creation""), SQLDataType.TIMESTAMPWITHTIMEZONE(6).defaultValue(DSL.field(DSL.raw(""now()""), SQLDataType.TIMESTAMPWITHTIMEZONE)), this, """");","The column AUTHENTICATION_EMAIL_VERIFICATION_CREATION has a default value of now() but is marked as NULLABLE, which means it can never be NULL in practice when inserted without an explicit value. Consider making this column NOT NULL since it always has a meaningful default value."
APSfurizon_fz-backend,ID Required,jooq-common/src/main/java/net/furizon/jooq/generated/tables/Events.java,80,80,"public final TableField<Record, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id' which is a generic, non-descriptive name that doesn't convey what entity it identifies. Consider renaming it to 'event_id' to be consistent with the table's naming convention and to make joins more readable."
APSfurizon_fz-backend,ID Required,jooq-common/src/main/java/net/furizon/jooq/generated/tables/MembershipInfo.java,78,78,"public final TableField<Record, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'membership_info_id' to make it more meaningful and avoid ambiguity in joins."
APSfurizon_fz-backend,31 Flavors,jooq-common/src/main/java/net/furizon/jooq/generated/tables/MembershipInfo.java,183,183,"public final TableField<Record, IdType> INFO_ID_TYPE = createField(DSL.name(""info_id_type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(IdType.class), this, """");","Using an ENUM type for ID document types limits flexibility; adding new document types requires a schema change. Consider creating a lookup table (e.g., 'id_types') to store allowed values, which allows modifications without altering the schema."
APSfurizon_fz-backend,31 Flavors,jooq-common/src/main/java/net/furizon/jooq/generated/tables/MembershipInfo.java,198,198,"public final TableField<Record, ShirtSize> INFO_SHIRT_SIZE = createField(DSL.name(""info_shirt_size""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(ShirtSize.class), this, """");","Using an ENUM type for shirt sizes restricts the ability to add new sizes without a schema migration. Consider using a lookup table (e.g., 'shirt_sizes') to store allowed values, making it easier to add or modify sizes."
