Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ArcaHozota_nasb1995edv3,ID Required,src/main/java/app/preach/gospel/jooq/tables/Authorities.java,65,65,"public final TableField<AuthoritiesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).defaultValue(DSL.field(DSL.raw(""'0'::bigint""), SQLDataType.BIGINT)), this, ""ID"");","The table uses a generic 'id' column as the primary key while having natural unique constraints on 'name' and 'title' columns that could serve as primary keys. Consider using a more descriptive name like 'authority_id' or using one of the existing unique columns (e.g., 'name') as the primary key instead."
ArcaHozota_nasb1995edv3,ID Required,src/main/java/app/preach/gospel/jooq/tables/Books.java,60,60,"public final TableField<BooksRecord, Short> ID = createField(DSL.name(""id""), SQLDataType.SMALLINT.nullable(false).defaultValue(DSL.field(DSL.raw(""'0'::smallint""), SQLDataType.SMALLINT)), this, ""書別ID"");",The primary key column is generically named 'id' instead of a more descriptive name like 'book_id'. Consider renaming the primary key to 'book_id' to make it self-documenting and to avoid ambiguity when joining tables.
ArcaHozota_nasb1995edv3,ID Required,src/main/java/app/preach/gospel/jooq/tables/Chapters.java,63,63,"public final TableField<ChaptersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).defaultValue(DSL.field(DSL.raw(""0""), SQLDataType.INTEGER)), this, ""章節ID"");",The primary key column is generically named 'id' instead of a more descriptive name like 'chapter_id'. Consider renaming the primary key to 'chapter_id' to make it self-documenting and easier to identify in queries involving multiple tables.
ArcaHozota_nasb1995edv3,ID Required,src/main/java/app/preach/gospel/jooq/tables/Hymns.java,66,66,"public final TableField<HymnsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).defaultValue(DSL.field(DSL.raw(""'0'::bigint""), SQLDataType.BIGINT)), this, ""ID"");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'hymn_id' to make it more descriptive and to avoid ambiguity in queries with joins."
ArcaHozota_nasb1995edv3,ID Required,src/main/java/app/preach/gospel/jooq/tables/HymnsWork.java,65,65,"public final TableField<HymnsWorkRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, ""ID"");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'hymns_work_id' to make it more descriptive and avoid ambiguity in joins.
ArcaHozota_nasb1995edv3,ID Required,src/main/java/app/preach/gospel/jooq/tables/Phrases.java,62,62,"public final TableField<PhrasesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).defaultValue(DSL.field(DSL.raw(""'0'::bigint""), SQLDataType.BIGINT)), this, ""節ID"");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'phrase_id' to make it more descriptive and avoid ambiguity in queries with joins."
ArcaHozota_nasb1995edv3,Rounding Errors,src/main/java/app/preach/gospel/jooq/tables/Receipts.java,71,71,"public final TableField<ReceiptsRecord, Float> KINNGAKU = createField(DSL.name(""kinngaku""), SQLDataType.REAL.nullable(false).defaultValue(DSL.field(DSL.raw(""0""), SQLDataType.REAL)), this, """");","The 'kinngaku' column uses REAL (floating-point) type for storing monetary amounts, which can lead to rounding errors in financial calculations. Change the column type to DECIMAL or NUMERIC with appropriate precision and scale (e.g., DECIMAL(19,4)) to ensure accurate monetary calculations."
ArcaHozota_nasb1995edv3,ID Required,src/main/java/app/preach/gospel/jooq/tables/Roles.java,66,66,"public final TableField<RolesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).defaultValue(DSL.field(DSL.raw(""'0'::bigint""), SQLDataType.BIGINT)), this, ""ID"");",The primary key column is named generically as 'id' instead of a more descriptive name like 'role_id'. Consider renaming the column to 'role_id' to make it self-documenting and easier to identify in queries involving multiple tables.
ArcaHozota_nasb1995edv3,ID Required,src/main/java/app/preach/gospel/jooq/tables/Students.java,67,67,"public final TableField<StudentsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).defaultValue(DSL.field(DSL.raw(""'0'::bigint""), SQLDataType.BIGINT)), this, ""ID"");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'student_id' to make it more descriptive and to avoid ambiguity in queries with joins."
ArcaHozota_nasb1995edv3,Implicit Columns,src/main/java/app/preach/gospel/listener/ProjectUserDetailsService.java,44,44,this.dslContext.selectFrom(STUDENTS),"Using selectFrom(STUDENTS) fetches all columns from the STUDENTS table, even though only specific fields are needed for the StudentDto. Consider using select() with only the required columns like STUDENTS.ID, STUDENTS.LOGIN_ACCOUNT, STUDENTS.USERNAME, etc."
