Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
boomzin_dbservice,Poor Man's Search Engine,src/main/java/ru/mediatel/icc/dbservice/common/search/JooqSearchUtils.java,17,17,"public static final BiFunction<Field<String>, String, Condition> STR_LIKE = (f, v) -> f.like(likeWrap(v));","The STR_LIKE function wraps user input with '%' wildcards (via likeWrap) to perform full-text search using LIKE, which is inefficient for large datasets and doesn't support relevance ranking. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch."
boomzin_dbservice,Poor Man's Search Engine,src/main/java/ru/mediatel/icc/dbservice/common/search/JooqSearchUtils.java,18,18,"public static final BiFunction<Field<String>, String, Condition> STR_LIKE_IC = (f, v) -> f.likeIgnoreCase(likeWrap(v));","The STR_LIKE_IC function uses likeIgnoreCase with '%' wildcards (via likeWrap) for case-insensitive full-text search, which cannot use indexes efficiently and scales poorly. Consider using a proper full-text search engine or database-native full-text search capabilities."
boomzin_dbservice,ID Required,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Carts.java,78,78,"public final TableField<CartsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""uuid_generate_v4()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'cart_id'. Consider renaming the column to 'cart_id' to make foreign key references self-documenting and avoid ambiguity in queries with multiple joined tables.
boomzin_dbservice,31 Flavors,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Carts.java,88,88,"public final TableField<CartsRecord, CartStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(CartStatus.class), this, """");","The 'status' column uses an ENUM type (CartStatus) to restrict allowed values, which makes adding or removing status values difficult without schema changes. Consider creating a separate 'cart_statuses' lookup table with a foreign key reference to allow easier maintenance of status values."
boomzin_dbservice,ID Required,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Claims.java,74,74,"public final TableField<ClaimsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""uuid_generate_v4()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'claim_id'. Consider renaming the primary key to 'claim_id' to make it self-documenting and avoid ambiguity in joins.
boomzin_dbservice,31 Flavors,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Claims.java,84,84,"public final TableField<ClaimsRecord, ClaimStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(ClaimStatus.class), this, """");","The 'status' column uses an ENUM type (ClaimStatus) which makes it difficult to add, modify, or remove status values without altering the table schema. Consider creating a separate 'claim_statuses' lookup table with a foreign key reference to allow easier maintenance of status values."
boomzin_dbservice,ID Required,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Interactions.java,77,77,"public final TableField<InteractionsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""uuid_generate_v4()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'interaction_id'. Consider renaming the primary key to 'interaction_id' to make it self-documenting and avoid ambiguity in joins.
boomzin_dbservice,31 Flavors,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Interactions.java,92,92,"public final TableField<InteractionsRecord, InteractionStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(InteractionStatus.class), this, """");","The 'status' column uses an ENUM type to restrict allowed values, which makes adding or removing status values difficult without schema changes. Consider creating a separate 'interaction_statuses' lookup table with a foreign key reference instead."
boomzin_dbservice,ID Required,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Orders.java,81,81,"public final TableField<OrdersRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""uuid_generate_v4()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'order_id'. Consider renaming the column to 'order_id' to make it self-documenting and avoid ambiguity when joining tables.
boomzin_dbservice,31 Flavors,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Orders.java,91,91,"public final TableField<OrdersRecord, OrderStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(OrderStatus.class), this, """");","The 'status' column uses an ENUM type (OrderStatus) to restrict allowed values, which makes adding or removing status values difficult without schema changes. Consider creating a separate 'order_statuses' lookup table and referencing it with a foreign key."
boomzin_dbservice,ID Required,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Products.java,74,74,"public final TableField<ProductsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""uuid_generate_v4()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'product_id'. Consider renaming the column to 'product_id' to make it self-documenting and avoid ambiguity in joins.
boomzin_dbservice,ID Required,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Tools.java,67,67,"public final TableField<ToolsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'tool_id'. Consider renaming the column to 'tool_id' to make it self-documenting and avoid ambiguity in queries with joins.
boomzin_dbservice,ID Required,src/main/java/ru/mediatel/icc/dbservice/db/generated/tables/Users.java,75,75,"public final TableField<UsersRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""uuid_generate_v4()""), SQLDataType.UUID)), this, """");",The table uses a synthetic primary key named 'id' even though the 'phone' column has a unique constraint and could serve as a natural primary key since phone numbers are virtually immutable identifiers for users. Consider using 'phone' as the primary key or renaming the synthetic key to something more descriptive like 'user_id'.
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqCartRepository.java,76,78,"CartsRecord record = db.fetchOptional(
    CARTS,
    CARTS.ID.eq(cart.getId()))","Using `db.fetchOptional(CARTS, ...)` fetches all columns from the CARTS table into a record, even though only specific columns may be needed for the update. Consider selecting only the required columns explicitly or using `selectFrom` with specific fields."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqCartRepository.java,88,88,.selectFrom(CARTS),"Using `selectFrom(CARTS)` fetches all columns from the CARTS table. Consider explicitly selecting only the columns needed for the Cart mapping: `select(CARTS.ID, CARTS.USER_ID, CARTS.STATUS, CARTS.CREATED_AT, CARTS.UPDATED_AT, CARTS.CUSTOMER_COMMENT)`."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqCartRepository.java,98,98,SelectWhereStep<?> step = db.selectFrom(CARTS);,Using `selectFrom(CARTS)` fetches all columns from the CARTS table. Consider explicitly selecting only the columns required for the Cart mapping to improve query performance.
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqCartRepository.java,129,129,CartsRecord cart = db.selectFrom(CARTS),"Using `selectFrom(CARTS)` fetches all columns from the CARTS table into a CartsRecord. Consider selecting only the specific columns needed for building CartDetailsDto: ID, USER_ID, CREATED_AT, UPDATED_AT, STATUS, and CUSTOMER_COMMENT."
boomzin_dbservice,Poor Man's Search Engine,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqClaimRepository.java,52,52,".filter(""customer_comment"", CLAIMS.CUSTOMER_COMMENT, STR_LIKE_IC)",Using LIKE with case-insensitive matching (STR_LIKE_IC) for searching customer comments is inefficient and doesn't scale well for full-text search. Consider using a dedicated full-text search engine like PostgreSQL's tsvector/tsquery or Elasticsearch for better performance and relevance ranking.
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqClaimRepository.java,71,72,"ClaimsRecord record = db.fetchOptional(
            CLAIMS,","Using db.fetchOptional(CLAIMS, ...) fetches all columns from the CLAIMS table, which is inefficient if only specific columns are needed for the update. Consider selecting only the required columns explicitly or using a more targeted query."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqClaimRepository.java,83,83,.selectFrom(CLAIMS),"Using selectFrom(CLAIMS) fetches all columns from the CLAIMS table. Consider explicitly selecting only the columns needed for the Claim mapping (id, order_id, status, created_at, updated_at, customer_comment) using .select(...).from(CLAIMS)."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqClaimRepository.java,93,93,SelectWhereStep<?> step = db.selectFrom(CLAIMS);,Using selectFrom(CLAIMS) fetches all columns from the CLAIMS table for the search operation. Consider explicitly selecting only the columns required for the Claim mapping to improve query performance.
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqInteractionRepository.java,73,74,"InteractionsRecord record = db.fetchOptional(
            INTERACTIONS,","Using `db.fetchOptional(INTERACTIONS, ...)` fetches all columns from the INTERACTIONS table into a record. Consider selecting only the columns needed for the update operation, or use explicit column selection."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqInteractionRepository.java,85,85,.selectFrom(INTERACTIONS),"Using `selectFrom(INTERACTIONS)` fetches all columns from the INTERACTIONS table. Consider explicitly selecting only the columns needed: id, cart_id, order_id, status, created_at, updated_at, and customer_comment."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqInteractionRepository.java,95,95,SelectWhereStep<?> step = db.selectFrom(INTERACTIONS);,Using `selectFrom(INTERACTIONS)` fetches all columns from the INTERACTIONS table. Consider explicitly selecting only the columns required by the mapper to improve query performance.
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqOrderRepository.java,74,76,"OrdersRecord record = db.fetchOptional(
        ORDERS,
        ORDERS.ID.eq(order.getId()))","Using db.fetchOptional with a table reference fetches all columns from the ORDERS table, which is inefficient if only specific columns are needed. Consider using an explicit select statement with only the required columns, or if all columns are truly needed, this pattern is acceptable."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqOrderRepository.java,86,86,.selectFrom(ORDERS),"Using selectFrom(ORDERS) fetches all columns from the ORDERS table. Consider explicitly selecting only the columns needed for the Order mapping (id, user_id, status, created_at, updated_at, customer_comment)."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqOrderRepository.java,96,96,SelectWhereStep<?> step = db.selectFrom(ORDERS);,Using selectFrom(ORDERS) fetches all columns from the ORDERS table when only specific columns are mapped. Consider using db.select() with explicit column references matching the mapper's requirements.
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqProductInCartRepository.java,44,44,return db.selectFrom(PRODUCTS_IN_CARTS),"Using selectFrom() fetches all columns from the PRODUCTS_IN_CARTS table, even though only cart_id, product_id, and quantity are needed. Replace with an explicit select() specifying only the required columns: db.select(PRODUCTS_IN_CARTS.CART_ID, PRODUCTS_IN_CARTS.PRODUCT_ID, PRODUCTS_IN_CARTS.QUANTITY).from(PRODUCTS_IN_CARTS)."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqProductRepository.java,64,66,"ProductsRecord record = db.fetchOptional(
            PRODUCTS,
            PRODUCTS.ID.eq(product.getId()))","Using `db.fetchOptional(PRODUCTS, ...)` fetches all columns from the PRODUCTS table into a record. Consider selecting only the columns needed for the update operation, or use a more targeted query."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqProductRepository.java,76,76,.selectFrom(PRODUCTS),"Using `selectFrom(PRODUCTS)` fetches all columns from the PRODUCTS table. Consider explicitly selecting only the required columns (id, quantity, price, description) used by the mapper."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqProductRepository.java,86,86,SelectWhereStep<?> step = db.selectFrom(PRODUCTS);,"Using `selectFrom(PRODUCTS)` fetches all columns from the PRODUCTS table. Consider explicitly selecting only the columns needed: PRODUCTS.ID, PRODUCTS.QUANTITY, PRODUCTS.PRICE, PRODUCTS.DESCRIPTION."
boomzin_dbservice,Implicit Columns,src/main/java/ru/mediatel/icc/dbservice/db/repository/JooqProductRepository.java,108,108,ProductsRecord product = db.selectFrom(PRODUCTS),Using `selectFrom(PRODUCTS)` fetches all columns when only the quantity is needed. Consider selecting only PRODUCTS.QUANTITY to improve query efficiency.
