Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
SavageSyrop_VK-courses,ID Required,task-6/entities/src/main/java/generatedEntities/tables/Receipt.java,59,59,"public final TableField<ReceiptRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'receipt_id' to make it more meaningful and to avoid ambiguity in queries with joins."
SavageSyrop_VK-courses,ID Required,task-6/entities/src/main/java/generatedEntities/tables/ReceiptItem.java,58,58,"public final TableField<ReceiptItemRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning and can cause ambiguity in joins. Consider renaming it to 'receipt_item_id' or using a natural key like a composite of (receipt_id, product_code) if that combination is unique."
SavageSyrop_VK-courses,Implicit Columns,task-6/src/main/java/ru/vk/dao/OrganisationDAO.java,24,24,return getContext().select(getTableName().fields()),"Using `getTableName().fields()` selects all columns from the ORGANISATION table, which can fetch unnecessary data and reduce performance. Explicitly list only the columns needed for this query instead of using `.fields()`."
SavageSyrop_VK-courses,Implicit Columns,task-6/src/main/java/ru/vk/dao/OrganisationDAO.java,35,35,return getContext().select(getTableName().fields()),"Using `getTableName().fields()` selects all columns from the ORGANISATION table, which can fetch unnecessary data and reduce performance. Explicitly list only the columns needed for this query instead of using `.fields()`."
SavageSyrop_VK-courses,Beware of the Unknown,task-6/src/main/java/ru/vk/dao/ProductDAO.java,76,76,".where((RECEIPT.CREATION_DATE.isNull()).or(RECEIPT.CREATION_DATE.between(from, to)))","The RIGHT JOIN with ORGANISATION can produce NULL values for RECEIPT_ITEM and PRODUCT columns when there's no matching receipt, but the query still returns these rows with NULL product information. Consider using a LEFT JOIN from ORGANISATION instead, or filter out rows where essential product data is NULL."
SavageSyrop_VK-courses,Implicit Columns,task-7/dao/src/main/java/ru/vk/CompanyDAO.java,16,16,getContext().selectFrom(getTableName()),"Using selectFrom() fetches all columns from the COMPANY table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed, such as select(COMPANY.ID, COMPANY.NAME).from(COMPANY)."
SavageSyrop_VK-courses,ID Required,task-7/entities/src/main/java/generatedEntities/tables/Company.java,56,56,"public final TableField<CompanyRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'company_id'. Consider renaming the primary key to 'company_id' to make it self-documenting and easier to identify in queries involving multiple tables.
SavageSyrop_VK-courses,ID Required,task-7/entities/src/main/java/generatedEntities/tables/Product.java,56,56,"public final TableField<ProductRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'product_id' to make it more descriptive and to avoid ambiguity when joining tables.
SavageSyrop_VK-courses,Keyless Entry,task-7/entities/src/main/java/generatedEntities/tables/Product.java,66,66,"public final TableField<ProductRecord, String> COMPANY_NAME = createField(DSL.name(""company_name""), SQLDataType.VARCHAR.nullable(false), this, """");","The 'company_name' column appears to reference the Company table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Consider adding a foreign key constraint to Company.ID or changing this to a proper company_id column with a foreign key relationship."
SavageSyrop_VK-courses,ID Required,task-7/entities/src/main/java/generatedEntities/tables/Role.java,56,56,"public final TableField<RoleRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' as the primary key name, which is uninformative and can cause ambiguity in queries with joins. Consider renaming it to 'role_id' to make it more descriptive and self-documenting."
