Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAgencyIDListAPIImpl.java,125,125,fields.addAll(Arrays.asList(AGENCY_ID_LIST.fields()));,Fetching all columns from AGENCY_ID_LIST table using `fields()` creates a blind projection that will break if the table schema changes. Explicitly list only the required columns instead of using `AGENCY_ID_LIST.fields()`.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAgencyIDListAPIImpl.java,142,142,fields.addAll(Arrays.asList(AGENCY_ID_LIST.fields()));,Fetching all columns from AGENCY_ID_LIST table using `fields()` creates a blind projection that will break if the table schema changes. Explicitly list only the required columns instead of using `AGENCY_ID_LIST.fields()`.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAgencyIDListAPIImpl.java,173,173,fields.addAll(Arrays.asList(AGENCY_ID_LIST.fields()));,Fetching all columns from AGENCY_ID_LIST table using `fields()` creates a blind projection that will break if the table schema changes. Explicitly list only the required columns instead of using `AGENCY_ID_LIST.fields()`.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAgencyIDListAPIImpl.java,195,195,fields.addAll(Arrays.asList(AGENCY_ID_LIST.fields()));,Fetching all columns from AGENCY_ID_LIST table using `fields()` creates a blind projection that will break if the table schema changes. Explicitly list only the required columns instead of using `AGENCY_ID_LIST.fields()`.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAgencyIDListValueAPIImpl.java,76,76,agencyIdListValueManifestRecord = dslContext.selectFrom(AGENCY_ID_LIST_VALUE_MANIFEST),"Using selectFrom() fetches all columns from the AGENCY_ID_LIST_VALUE_MANIFEST table, but only a subset of fields are needed for the copy operation. Consider using select() with only the required columns instead."
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAgencyIDListValueAPIImpl.java,113,113,dslContext.selectFrom(AGENCY_ID_LIST_VALUE_MANIFEST),Using selectFrom() fetches all columns from the AGENCY_ID_LIST_VALUE_MANIFEST table when only specific fields are needed for the mapper. Consider using select() with explicit column names to improve query efficiency.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAgencyIDListValueAPIImpl.java,116,116,AgencyIdListValueRecord agencyIdListValueRecord = dslContext.selectFrom(AGENCY_ID_LIST_VALUE),Using selectFrom() fetches all columns from the AGENCY_ID_LIST_VALUE table. Consider using select() with only the columns required by the mapper method to reduce data transfer.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAgencyIDListValueAPIImpl.java,126,126,Result<AgencyIdListValueManifestRecord> agencyIdListValueManifestResult = dslContext.selectFrom(AGENCY_ID_LIST_VALUE_MANIFEST),Using selectFrom() fetches all columns from the AGENCY_ID_LIST_VALUE_MANIFEST table. Consider using select() with explicit column names to fetch only the fields needed for processing.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAgencyIDListValueAPIImpl.java,129,129,dslContext.selectFrom(AGENCY_ID_LIST_VALUE),Using selectFrom() fetches all columns from the AGENCY_ID_LIST_VALUE table. Consider using select() with only the columns required by the mapper method to improve performance.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAppUserAPIImpl.java,32,32,return dslContext.selectFrom(APP_USER).fetch(record -> mapper(record));,"Using `selectFrom(APP_USER)` fetches all columns from the APP_USER table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns: APP_USER_ID, LOGIN_ID, NAME, ORGANIZATION, IS_DEVELOPER, IS_ADMIN, and IS_ENABLED."
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAppUserAPIImpl.java,37,37,AppUserRecord appUserRecord = dslContext.selectFrom(APP_USER),Using `selectFrom(APP_USER)` fetches all columns from the APP_USER table when only specific fields are needed. Consider using an explicit select with only the required columns to improve query efficiency.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAppUserAPIImpl.java,45,45,AppUserRecord appUserRecord = dslContext.selectFrom(APP_USER),Using `selectFrom(APP_USER)` fetches all columns from the APP_USER table when only specific fields are needed. Consider using an explicit select with only the required columns to improve query efficiency.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAppUserAPIImpl.java,141,141,ReleaseRecord publishedRelease = dslContext.selectFrom(RELEASE),Using `selectFrom(RELEASE)` fetches all columns from the RELEASE table when only the RELEASE_ID is used later. Consider selecting only the required columns explicitly.
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAppUserAPIImpl.java,357,357,List<DtScManifestRecord> dtScManifestList = dslContext.selectFrom(DT_SC_MANIFEST),"Using `selectFrom(DT_SC_MANIFEST)` fetches all columns when only RELEASE_ID, DT_SC_ID, and DT_SC_MANIFEST_ID are used. Consider explicitly selecting only the required columns."
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextAppUserAPIImpl.java,393,393,List<DtManifestRecord> dtManifestList = dslContext.selectFrom(DT_MANIFEST),"Using `selectFrom(DT_MANIFEST)` fetches all columns when only RELEASE_ID, DT_ID, and DT_MANIFEST_ID are used. Consider explicitly selecting only the required columns."
OAGi_Score,Implicit Columns,score-e2e/src/main/java/org/oagi/score/e2e/impl/api/DSLContextBusinessContextAPIImpl.java,29,29,BizCtxRecord bizCtx = dslContext.selectFrom(BIZ_CTX),"Using selectFrom() fetches all columns from the BIZ_CTX table, which may retrieve more data than needed. Consider using an explicit select() with only the required columns (BIZ_CTX_ID, GUID, NAME, CREATED_BY, LAST_UPDATED_BY, CREATION_TIMESTAMP, LAST_UPDATE_TIMESTAMP)."
