Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
skyleedevzero86_Spring_lee_Module,ID Required,맹_Study/dstudy_19/src/generated/org/jooq/generated/tables/JBillingDetails.java,55,55,"public final TableField<BillingDetailsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'billing_details_id'. Consider renaming the column to 'billing_details_id' or another meaningful name that clearly identifies what entity it represents.
skyleedevzero86_Spring_lee_Module,ID Required,맹_Study/dstudy_19/src/generated/org/jooq/generated/tables/JKstudyFiles.java,76,76,"public final TableField<KstudyFilesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'kstudy_file_id'. Consider renaming the primary key to include the table name for better clarity and to avoid ambiguity in joins.
skyleedevzero86_Spring_lee_Module,Keyless Entry,맹_Study/dstudy_19/src/generated/org/jooq/generated/tables/JKstudyFiles.java,61,61,"public final TableField<KstudyFilesRecord, Long> AUTHOR_ID = createField(DSL.name(""author_id""), SQLDataType.BIGINT, this, """");","The 'author_id' column appears to reference another table (likely a student or user table) but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Consider adding a foreign key constraint to KEY_STUDENT_PRIMARY or an appropriate user table."
skyleedevzero86_Spring_lee_Module,31 Flavors,맹_Study/dstudy_19/src/generated/org/jooq/generated/tables/JKstudyFiles.java,116,116,"public final TableField<KstudyFilesRecord, KstudyFilesStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR(7).nullable(false).asEnumDataType(KstudyFilesStatus.class), this, """");","The 'status' column uses an ENUM type (KstudyFilesStatus) which embeds allowed values in the column definition, making it difficult to add or modify status values without schema changes. Consider creating a separate lookup table for status values."
skyleedevzero86_Spring_lee_Module,ID Required,맹_Study/dstudy_19/src/generated/org/jooq/generated/tables/JLecture.java,67,67,"public final TableField<LectureRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as part of its primary key, which is a meaningless surrogate identifier. Consider renaming it to something more descriptive like 'subject_id' since it references the subject table, or use the natural key columns directly."
skyleedevzero86_Spring_lee_Module,ID Required,맹_Study/dstudy_19/src/generated/org/jooq/generated/tables/JPaymentCancel.java,78,78,"public final TableField<PaymentCancelRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'payment_cancel_id' or another descriptive name that reflects the entity."
skyleedevzero86_Spring_lee_Module,ID Required,맹_Study/dstudy_19/src/generated/org/jooq/generated/tables/JPayments.java,91,91,"public final TableField<PaymentsRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'payment_id'. Consider renaming the column to 'payment_id' to make foreign key relationships more self-documenting and to avoid ambiguity in queries with multiple joined tables.
skyleedevzero86_Spring_lee_Module,31 Flavors,맹_Study/dstudy_19/src/generated/org/jooq/generated/tables/JPayments.java,121,121,"public final TableField<PaymentsRecord, PaymentsStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR(16).nullable(false).asEnumDataType(PaymentsStatus.class), this, """");","The 'status' column uses an ENUM type (PaymentsStatus) to restrict allowed values, which makes adding or removing status values difficult and requires schema changes. Consider creating a separate 'payment_statuses' lookup table with a foreign key reference instead."
skyleedevzero86_Spring_lee_Module,ID Required,맹_Study/dstudy_19/src/generated/org/jooq/generated/tables/JSubject.java,72,72,"public final TableField<SubjectRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'subject_id'. Consider renaming the column to 'subject_id' to make it self-documenting and avoid ambiguity in queries with joins.
skyleedevzero86_Spring_lee_Module,Implicit Columns,맹_Study/dstudy_19/src/main/java/com/dstudy/dstudy_01/subject/SubjectRepository.java,20,20,return dslContext.select(SUBJECT.fields()),"Using `SUBJECT.fields()` selects all columns from the Subject table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Instead, explicitly list only the columns needed for the query."
skyleedevzero86_Spring_lee_Module,Implicit Columns,맹_Study/dstudy_19/src/main/java/com/dstudy/dstudy_01/subject/SubjectRepository.java,36,37,"DSL.row(SUBJECT.fields()),
DSL.row(STUDENT.fields())","Using `fields()` on both SUBJECT and STUDENT tables selects all columns from both tables, which retrieves potentially unnecessary data and creates tight coupling to the table schemas. Explicitly specify only the required columns from each table."
