Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Arden30_TinkoffJavaBackendSpring23-24,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Chat.java,66,67,"public final TableField<ChatRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'chat_id'. Consider renaming the column to 'chat_id' to make foreign key references more self-documenting and to avoid ambiguity in queries with multiple tables.
Arden30_TinkoffJavaBackendSpring23-24,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Link.java,67,68,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as primary key while having a unique constraint on 'URL' (CONSTRAINT_23), which could serve as a natural primary key. Consider using 'URL' as the primary key or renaming the synthetic key to something more descriptive like 'link_id'."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqChatRepository.java,18,18,dsl.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which can fetch unnecessary data and break if the schema changes. Explicitly list only the required columns, e.g., dsl.select(CHAT.ID, CHAT.CREATED_AT)."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqChatRepository.java,25,25,dsl.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which couples the query to the full table schema. Specify only the columns needed, such as dsl.select(CHAT.ID, CHAT.CREATED_AT)."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqChatRepository.java,35,35,dsl.select(CHAT.fields()),"Using CHAT.fields() retrieves all columns from the CHAT table, making the code fragile to schema changes. Replace with explicit column selection like dsl.select(CHAT.ID, CHAT.CREATED_AT)."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqChatRepository.java,45,45,.returning(CHAT.fields()),"Using CHAT.fields() in the returning clause fetches all columns from the CHAT table. Explicitly specify only the columns you need to return, e.g., .returning(CHAT.ID, CHAT.CREATED_AT)."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqGitHubRepository.java,17,17,return dsl.selectFrom(GITHUB_REPOS),"Using `selectFrom(GITHUB_REPOS)` fetches all columns from the GITHUB_REPOS table, which may retrieve unnecessary data. Consider using `select()` with only the specific columns needed (LINK_ID, STARS, ISSUES) instead."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,21,21,return dsl.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table, which can fetch unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the required columns, e.g., dsl.select(LINK.ID, LINK.URL, LINK.UPDATED_AT)."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,32,32,return dsl.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve more data than needed. Replace with an explicit select statement listing only the columns required for mapToLink (ID, URL, UPDATED_AT)."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,39,39,return dsl.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table implicitly. Specify only the needed columns explicitly, such as dsl.select(LINK.ID, LINK.URL, LINK.UPDATED_AT)."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,68,68,boolean exists = dsl.selectFrom(LINK_TO_CHAT),"Using selectFrom(LINK_TO_CHAT) fetches all columns when only checking for existence. Use dsl.fetchExists() instead, which is more efficient and semantically clearer for existence checks."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,72,72,".values(chatId, linkId)","Using LINK_TO_CHAT.fields() in insertInto relies on implicit column ordering, which can break if the table schema changes. Explicitly specify the columns being inserted, e.g., dsl.insertInto(LINK_TO_CHAT, LINK_TO_CHAT.CHAT_ID, LINK_TO_CHAT.LINK_ID)."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,86,86,return dsl.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table when only checking for existence. Use dsl.fetchExists() instead, or select only the necessary columns."
Arden30_TinkoffJavaBackendSpring23-24,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,105,105,return dsl.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table implicitly. Explicitly list only the columns needed for the Link mapping (ID, URL, UPDATED_AT)."
