Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
lsn03_java-2023-backend-second-semester,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/tables/Chat.java,72,72,"public final TableField<ChatRecord, Boolean> ACTIVE = createField(DSL.name(""ACTIVE""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""TRUE""), SQLDataType.BOOLEAN)), this, """");","The ACTIVE column has a default value of TRUE but is marked as NULLABLE, which means it can never be NULL in practice yet allows NULL values. Consider making this column NOT NULL since it has a meaningful default value."
lsn03_java-2023-backend-second-semester,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/GithubCommit.java,71,71,"public final TableField<GithubCommitRecord, Long> COMMIT_ID = createField(DSL.name(""COMMIT_ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key (COMMIT_ID) even though a natural unique key (LINK_ID, SHA) already exists via GITHUB_COMMIT_PK, which would be suitable as a primary key. Consider removing the synthetic COMMIT_ID column and using the composite key (LINK_ID, SHA) as the primary key instead."
lsn03_java-2023-backend-second-semester,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Link.java,71,71,"public final TableField<LinkRecord, Long> LINK_ID = createField(DSL.name(""LINK_ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key (LINK_ID) even though there's already a unique constraint on URI (LINK_PK2) which could serve as a natural primary key. Consider using URI as the primary key since it's already unique and immutable by nature, eliminating the need for the synthetic LINK_ID column."
lsn03_java-2023-backend-second-semester,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/tables/Link.java,81,81,"public final TableField<LinkRecord, LocalDateTime> CREATED_AT = createField(DSL.name(""CREATED_AT""), SQLDataType.LOCALDATETIME(6), this, """");","The CREATED_AT column is nullable but should logically always have a value representing when the link was created. Consider adding a NOT NULL constraint with a default value of the current timestamp, or ensure the column is always populated on insert."
lsn03_java-2023-backend-second-semester,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/tables/Link.java,86,86,"public final TableField<LinkRecord, LocalDateTime> LAST_UPDATE = createField(DSL.name(""LAST_UPDATE""), SQLDataType.LOCALDATETIME(6), this, """");","The LAST_UPDATE column is nullable but should logically always have a value tracking when the link was last updated. Consider adding a NOT NULL constraint with a default value of the current timestamp, or ensure the column is always populated on insert and update."
lsn03_java-2023-backend-second-semester,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqChatRepository.java,42,42,return dslContext.selectFrom(Chat.CHAT),"Using selectFrom(Chat.CHAT) fetches all columns from the CHAT table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the ChatDto mapping."
lsn03_java-2023-backend-second-semester,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqChatRepository.java,47,47,return dslContext.selectFrom(Chat.CHAT),Using selectFrom(Chat.CHAT) fetches all columns when only checking for existence. Replace with fetchExists() or select only the primary key column to improve query efficiency.
lsn03_java-2023-backend-second-semester,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqGitHubRepository.java,63,63,return dslContext.selectFrom(GithubCommit.GITHUB_COMMIT),"Using `selectFrom()` fetches all columns from the GITHUB_COMMIT table, which may retrieve unnecessary data and reduce performance. Consider using `select()` with only the specific columns needed for the GitHubCommitDto mapping."
lsn03_java-2023-backend-second-semester,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqLinkRepository.java,74,74,return dslContext.selectFrom(Link.LINK),"Using selectFrom() fetches all columns from the LINK table, which retrieves unnecessary data and can impact performance. Replace with an explicit column selection like dslContext.select(Link.LINK.LINK_ID, Link.LINK.URI, ...).from(Link.LINK)."
lsn03_java-2023-backend-second-semester,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqStackOverFlowRepository.java,68,68,return dslContext.selectFrom(StackoverflowAnswer.STACKOVERFLOW_ANSWER),"Using selectFrom() fetches all columns from the STACKOVERFLOW_ANSWER table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed for the StackOverFlowAnswerDto mapping."
